lambda flux fluxErr
9752.1719 1.25978e-18 3.41895e-19
9753.2579 1.34459e-18 3.14059e-19
9754.3439 6.59677e-19 2.95905e-19
9755.4299 8.17754e-19 2.93950e-19
9756.5158 1.82800e-18 3.24528e-19
9757.6018 1.00104e-18 3.24429e-19
9758.6878 7.55734e-19 3.27799e-19
9759.7738 6.95482e-19 3.16340e-19
9760.8597 1.60590e-19 3.12346e-19
9761.9457 1.52302e-18 3.11882e-19
9763.0317 8.62050e-19 3.57940e-19
9764.1176 6.21164e-19 3.51112e-19
9765.2036 8.99912e-19 2.80626e-19
9766.2896 8.97213e-19 2.82706e-19
9767.3756 5.40607e-19 2.70548e-19
9768.4615 8.97067e-19 2.79774e-19
9769.5475 1.17025e-18 3.17924e-19
9770.6335 8.71195e-19 3.11017e-19
9771.7195 8.32777e-19 2.69246e-19
9772.8054 5.29309e-19 2.53862e-19
9773.8914 6.48815e-19 2.79211e-19
9774.9774 1.30375e-18 2.78367e-19
9776.0633 1.06576e-18 2.69649e-19
9777.1493 5.86541e-19 2.54963e-19
9778.2353 4.65196e-19 2.60232e-19
9779.3213 7.35214e-19 2.63674e-19
9780.4072 1.27873e-18 2.74761e-19
9781.4932 6.52164e-19 3.13532e-19
9782.5792 1.09471e-18 3.27543e-19
9783.6652 1.26603e-18 2.92930e-19
9784.7511 8.37190e-19 2.77631e-19
9785.8371 9.66479e-19 2.74562e-19
9786.9231 9.72546e-19 2.70651e-19
9788.0090 6.28014e-19 2.77167e-19
9789.0950 1.06367e-18 3.53109e-19
9790.1810 8.86141e-19 5.46054e-19
9791.2670 -5.30732e-19 -9.48252e-19
9792.3529 1.49369e-19 1.37260e-18
9793.4389 -1.99179e-19 -1.47033e-18
9794.5249 -7.63745e-19 -1.43823e-18
9795.6109 3.42513e-18 1.24126e-18
9796.6968 1.46382e-18 8.36100e-19
9797.7828 4.76318e-19 7.15072e-19
9798.8688 1.43838e-18 7.05863e-19
9799.9548 4.35682e-19 5.85315e-19
9801.0407 2.02836e-19 7.78418e-19
9802.1267 5.13166e-19 8.09376e-19
9803.2127 -7.88800e-19 -8.05813e-19
9804.2986 1.02751e-18 7.08060e-19
9805.3846 1.19321e-18 4.22646e-19
9806.4706 6.99995e-19 2.82313e-19
9807.5566 1.21251e-18 3.23692e-19
9808.6425 1.19911e-18 3.94378e-19
9809.7285 1.35560e-19 4.24837e-19
9810.8145 -4.96357e-20 -4.08649e-19
9811.9005 5.14965e-19 4.36301e-19
9812.9864 -2.75751e-20 -4.83715e-19
9814.0724 8.39588e-19 5.21770e-19
9815.1584 1.29153e-18 5.26241e-19
9816.2443 5.71866e-19 4.86910e-19
9817.3303 1.20555e-18 4.14761e-19
9818.4163 9.43723e-19 4.06208e-19
9819.5023 1.27984e-18 4.30666e-19
9820.5882 5.17452e-19 4.19936e-19
9821.6742 1.61477e-18 3.94465e-19
9822.7602 9.61474e-19 3.31840e-19
9823.8462 -8.20766e-20 -2.74697e-19
