lambda flux fluxErr
9752.1719 1.21416e-18 4.03921e-19
9753.2579 1.39752e-18 3.67260e-19
9754.3439 7.43465e-19 3.38873e-19
9755.4299 -2.91782e-19 -3.45101e-19
9756.5158 -3.26315e-20 -3.59643e-19
9757.6018 -1.92942e-19 -3.67857e-19
9758.6878 7.44545e-19 3.74104e-19
9759.7738 8.34268e-20 3.87600e-19
9760.8597 7.60167e-19 3.85317e-19
9761.9457 4.33377e-19 3.31616e-19
9763.0317 1.67699e-19 3.14852e-19
9764.1176 -7.84086e-20 -3.16870e-19
9765.2036 8.52871e-19 3.18848e-19
9766.2896 4.09713e-19 3.04007e-19
9767.3756 3.17949e-19 3.09722e-19
9768.4615 9.61553e-19 3.08573e-19
9769.5475 7.32955e-19 3.12790e-19
9770.6335 7.16568e-19 3.07364e-19
9771.7195 5.73547e-19 3.07186e-19
9772.8054 6.28734e-19 3.02778e-19
9773.8914 1.13433e-19 3.00341e-19
9774.9774 1.86670e-19 3.00233e-19
9776.0633 -2.96010e-19 -3.04054e-19
9777.1493 9.87392e-19 3.11129e-19
9778.2353 4.23930e-19 3.03099e-19
9779.3213 9.19696e-20 3.02859e-19
9780.4072 -1.29400e-19 -3.08170e-19
9781.4932 -1.60834e-19 -3.24278e-19
9782.5792 -1.56923e-19 -3.18618e-19
9783.6652 2.18237e-19 3.09567e-19
9784.7511 1.12028e-20 3.04450e-19
9785.8371 -2.82438e-19 -3.06568e-19
9786.9231 2.35393e-19 3.05737e-19
9788.0090 5.23797e-19 3.32067e-19
9789.0950 2.35028e-19 4.46475e-19
9790.1810 -4.96577e-19 -7.08517e-19
9791.2670 8.15934e-19 1.18213e-18
9792.3529 7.39365e-19 1.63147e-18
9793.4389 1.40262e-18 1.74491e-18
9794.5249 -1.48731e-18 -2.42526e-18
9795.6109 -2.83210e-19 -2.10992e-18
9796.6968 -9.32802e-20 -8.55574e-19
9797.7828 8.61689e-19 4.74388e-19
9798.8688 2.07411e-19 4.86575e-19
9799.9548 6.66189e-19 7.16426e-19
9801.0407 8.94663e-19 9.30337e-19
9802.1267 -4.59911e-20 -9.58141e-19
9803.2127 -1.05248e-18 -9.45323e-19
9804.2986 1.08557e-18 8.39517e-19
9805.3846 1.98608e-19 5.14770e-19
9806.4706 7.82603e-19 3.42733e-19
9807.5566 7.87156e-19 3.86797e-19
9808.6425 4.16456e-19 4.64046e-19
9809.7285 -8.56149e-19 -5.03196e-19
9810.8145 5.14280e-19 4.90954e-19
9811.9005 9.50235e-19 5.49036e-19
9812.9864 7.51307e-19 6.14532e-19
9814.0724 8.90894e-19 6.26845e-19
9815.1584 1.37316e-18 7.86164e-19
9816.2443 1.05573e-18 7.40252e-19
9817.3303 -2.72200e-19 -5.98421e-19
9818.4163 1.02029e-18 5.79184e-19
9819.5023 1.40117e-18 5.96220e-19
9820.5882 9.68897e-19 5.84746e-19
9821.6742 1.07634e-18 4.81177e-19
9822.7602 4.27358e-19 4.09955e-19
9823.8462 2.96143e-19 3.39237e-19
9824.9321 6.71730e-19 3.26830e-19
9826.0181 1.43714e-19 3.16868e-19
9827.1041 1.02080e-19 3.31043e-19
9828.1900 5.12283e-19 3.75331e-19
9829.2760 5.16956e-19 4.11536e-19
9830.3620 6.64402e-19 4.29533e-19
9831.4480 -4.36412e-19 -4.17194e-19
9832.5339 -3.46122e-19 -3.96663e-19
9833.6199 1.92260e-19 3.58142e-19
9834.7059 3.47580e-19 3.27149e-19
9835.7919 3.82533e-19 3.17351e-19
9836.8778 2.69988e-19 3.06201e-19
9837.9638 6.27032e-19 2.99067e-19
9839.0498 7.11952e-19 2.95929e-19
9840.1357 1.46338e-19 2.86691e-19
9841.2217 -1.91247e-19 -2.81029e-19
9842.3077 7.70726e-19 2.81011e-19
9843.3937 3.55657e-19 2.68073e-19
9844.4796 2.42920e-19 2.76703e-19
9845.5656 -8.32730e-20 -2.92169e-19
9846.6516 -4.25908e-19 -3.03189e-19
9847.7376 -2.41135e-20 -3.72104e-19
9848.8235 4.80217e-19 6.18440e-19
9849.9095 1.28043e-18 8.16418e-19
9850.9955 -4.05300e-19 -9.93331e-19
9852.0814 -1.83922e-20 -9.67874e-19
9853.1674 1.06173e-18 6.95382e-19
9854.2534 4.98789e-19 4.21410e-19
9855.3394 -1.49685e-19 -3.02813e-19
9856.4253 6.60334e-20 2.88245e-19
9857.5113 3.22226e-19 2.91242e-19
9858.5973 4.35791e-19 2.74247e-19
9859.6833 2.06576e-19 2.73531e-19
9860.7692 -4.68166e-19 -2.75080e-19
9861.8552 -8.24311e-20 -2.62610e-19
9862.9412 4.62960e-19 2.68954e-19
9864.0271 1.71237e-19 2.72256e-19
