lambda flux fluxErr
9752.1719 1.00823e-18 3.71233e-19
9753.2579 7.30768e-19 3.18780e-19
9754.3439 9.65374e-19 3.12422e-19
9755.4299 1.62198e-18 3.31564e-19
9756.5158 8.18166e-19 3.48776e-19
9757.6018 4.29545e-19 3.89098e-19
9758.6878 8.67567e-19 3.77965e-19
9759.7738 8.69868e-19 4.52305e-19
9760.8597 4.61832e-19 4.12453e-19
9761.9457 6.74293e-19 3.18286e-19
9763.0317 1.30288e-18 3.24550e-19
9764.1176 5.75142e-19 3.15107e-19
9765.2036 -8.68516e-20 -3.10795e-19
9766.2896 6.87119e-19 3.02819e-19
9767.3756 5.63004e-19 3.02891e-19
9768.4615 6.99862e-19 2.98833e-19
9769.5475 -1.05506e-19 -2.91312e-19
9770.6335 8.97090e-19 2.92006e-19
9771.7195 3.04493e-19 2.90866e-19
9772.8054 8.63156e-19 2.83121e-19
9773.8914 1.19769e-18 2.88458e-19
9774.9774 1.25338e-18 2.94156e-19
9776.0633 1.85548e-20 2.90861e-19
9777.1493 2.03455e-20 2.88434e-19
9778.2353 8.60430e-19 2.80234e-19
9779.3213 6.90259e-19 2.81759e-19
9780.4072 3.35844e-19 2.78425e-19
9781.4932 5.51717e-19 2.93200e-19
9782.5792 4.40694e-19 2.93691e-19
9783.6652 3.19187e-19 3.45083e-19
9784.7511 5.76008e-19 3.58774e-19
9785.8371 1.18116e-19 2.91202e-19
9786.9231 2.59195e-19 2.86465e-19
9788.0090 1.01499e-18 2.98332e-19
9789.0950 7.28498e-19 3.62576e-19
9790.1810 7.63875e-20 5.34642e-19
9791.2670 1.48545e-20 9.81881e-19
9792.3529 -2.03197e-18 -1.36178e-18
9793.4389 -1.18363e-18 -1.47642e-18
9794.5249 -6.95269e-19 -1.44490e-18
9795.6109 3.97823e-19 1.15882e-18
9796.6968 3.85075e-19 6.45640e-19
9797.7828 6.21047e-19 3.84308e-19
9798.8688 6.24214e-19 4.06067e-19
9799.9548 1.03624e-18 6.09435e-19
9801.0407 1.36494e-18 7.89873e-19
9802.1267 3.24013e-19 8.26112e-19
9803.2127 5.84994e-20 8.09601e-19
9804.2986 2.74804e-19 6.69273e-19
9805.3846 4.87673e-19 4.15079e-19
9806.4706 5.38297e-19 2.92664e-19
9807.5566 8.37414e-19 3.36869e-19
9808.6425 4.84857e-19 4.03404e-19
9809.7285 6.53359e-19 4.41652e-19
9810.8145 4.29199e-19 4.22504e-19
9811.9005 3.29197e-19 4.42061e-19
9812.9864 1.49246e-19 4.84636e-19
9814.0724 4.89059e-20 5.11964e-19
9815.1584 3.55884e-19 5.17103e-19
9816.2443 5.89351e-19 4.93212e-19
9817.3303 5.17096e-19 4.24186e-19
9818.4163 1.04320e-18 4.44610e-19
9819.5023 7.12691e-19 4.64137e-19
9820.5882 1.61434e-19 4.31394e-19
9821.6742 2.42897e-19 3.87421e-19
9822.7602 3.39398e-19 3.25329e-19
9823.8462 5.91738e-19 2.82225e-19
9824.9321 8.29017e-19 2.77701e-19
