lambda flux fluxErr
9752.1719 -1.98766e-19 -3.28402e-19
9753.2579 4.31034e-20 3.04230e-19
9754.3439 -4.59540e-19 -2.93204e-19
9755.4299 4.78355e-19 3.07830e-19
9756.5158 5.26275e-19 3.27190e-19
9757.6018 -1.79953e-19 -3.50306e-19
9758.6878 3.78904e-19 3.35855e-19
9759.7738 2.53444e-19 3.32446e-19
9760.8597 1.40641e-18 3.28818e-19
9761.9457 6.28053e-19 3.09880e-19
9763.0317 6.14778e-19 2.96417e-19
9764.1176 3.48317e-19 2.88672e-19
9765.2036 1.06552e-18 2.95288e-19
9766.2896 1.23943e-18 3.02373e-19
9767.3756 6.87935e-19 2.88395e-19
9768.4615 6.80822e-19 2.79522e-19
9769.5475 4.65496e-19 2.77903e-19
9770.6335 6.97249e-19 2.86410e-19
9771.7195 3.54561e-19 2.74588e-19
9772.8054 3.37644e-19 2.71510e-19
9773.8914 1.92698e-21 2.72596e-19
9774.9774 4.52224e-19 2.69631e-19
9776.0633 4.99785e-19 2.78368e-19
9777.1493 1.12247e-18 2.78196e-19
9778.2353 4.50378e-19 2.73535e-19
9779.3213 3.49664e-19 3.40642e-19
9780.4072 5.48358e-19 3.64512e-19
9781.4932 9.21136e-19 2.97276e-19
9782.5792 4.96218e-19 2.98823e-19
9783.6652 3.65882e-19 2.79269e-19
9784.7511 2.99521e-20 2.80010e-19
9785.8371 5.02490e-19 2.75009e-19
9786.9231 4.67202e-19 2.73025e-19
9788.0090 1.04481e-18 2.84113e-19
9789.0950 5.91954e-19 3.53676e-19
9790.1810 1.33423e-18 5.73891e-19
9791.2670 1.50596e-18 1.02716e-18
9792.3529 8.18347e-19 1.38986e-18
9793.4389 -9.17802e-19 -1.44235e-18
9794.5249 1.18653e-18 1.40303e-18
9795.6109 1.18900e-18 1.17010e-18
9796.6968 1.15940e-18 5.81585e-19
9797.7828 6.74987e-19 3.75481e-19
9798.8688 1.11975e-18 4.02774e-19
9799.9548 7.35707e-19 6.24341e-19
9801.0407 8.76953e-19 7.94183e-19
9802.1267 1.05097e-18 1.37272e-18
9803.2127 -1.17729e-18 -1.36529e-18
9804.2986 3.28306e-19 6.83164e-19
9805.3846 3.05903e-19 3.82025e-19
9806.4706 2.56908e-19 2.82181e-19
9807.5566 9.78934e-19 3.33120e-19
9808.6425 1.43962e-19 3.98556e-19
