lambda flux fluxErr
9752.1719 1.61658e-18 3.62372e-19
9753.2579 1.95081e-18 3.34734e-19
9754.3439 1.47448e-18 3.11526e-19
9755.4299 1.24348e-18 3.11197e-19
9756.5158 1.45695e-18 3.18261e-19
9757.6018 1.25960e-18 3.37035e-19
9758.6878 6.66221e-19 3.21337e-19
9759.7738 1.23962e-18 3.35448e-19
9760.8597 1.09970e-18 3.30873e-19
9761.9457 1.80522e-18 3.49500e-19
9763.0317 1.47191e-18 3.35639e-19
9764.1176 1.03694e-18 3.25678e-19
9765.2036 9.25826e-19 3.24432e-19
9766.2896 1.06341e-18 3.20799e-19
9767.3756 1.37862e-18 3.16689e-19
9768.4615 1.34076e-18 3.07590e-19
9769.5475 1.47566e-18 4.12087e-19
9770.6335 1.28055e-18 4.09833e-19
9771.7195 1.26678e-18 3.04213e-19
9772.8054 1.50968e-18 3.07527e-19
9773.8914 1.84534e-18 3.10577e-19
9774.9774 1.04037e-18 2.92500e-19
9776.0633 1.17580e-18 2.91443e-19
9777.1493 7.29935e-19 2.95135e-19
9778.2353 1.53570e-18 3.08908e-19
9779.3213 1.35184e-18 3.03070e-19
9780.4072 1.52945e-18 3.04400e-19
9781.4932 1.26775e-18 3.08922e-19
9782.5792 2.01219e-18 3.32852e-19
9783.6652 2.27901e-18 3.25437e-19
9784.7511 1.36312e-18 3.03998e-19
9785.8371 1.08065e-18 2.95763e-19
9786.9231 1.39651e-18 2.91858e-19
9788.0090 1.57244e-18 3.03495e-19
9789.0950 1.67835e-18 3.78686e-19
9790.1810 1.43079e-18 5.94377e-19
9791.2670 1.62035e-18 9.69291e-19
9792.3529 1.67706e-18 1.36991e-18
9793.4389 1.54375e-18 1.43859e-18
9794.5249 5.54685e-19 1.41634e-18
9795.6109 2.70525e-18 1.28118e-18
9796.6968 1.17377e-18 7.70775e-19
9797.7828 5.85982e-19 4.13318e-19
9798.8688 1.35299e-18 4.16078e-19
9799.9548 4.26976e-19 5.99993e-19
9801.0407 8.29087e-19 7.90959e-19
9802.1267 1.49730e-18 8.79719e-19
9803.2127 5.20241e-20 8.64098e-19
9804.2986 5.66243e-19 7.59351e-19
9805.3846 6.87392e-19 5.67900e-19
9806.4706 8.89606e-19 3.78063e-19
9807.5566 9.23203e-19 3.42490e-19
9808.6425 7.58235e-19 4.08203e-19
9809.7285 8.12713e-19 8.06418e-19
9810.8145 1.63227e-18 7.76611e-19
9811.9005 1.58900e-18 4.58691e-19
9812.9864 8.10351e-19 5.48617e-19
9814.0724 1.89407e-18 5.61434e-19
9815.1584 1.81457e-18 7.10170e-19
9816.2443 6.45278e-19 6.91653e-19
9817.3303 -2.19378e-19 -6.06774e-19
9818.4163 1.70196e-19 5.76312e-19
9819.5023 9.61085e-19 4.40901e-19
9820.5882 4.49924e-19 4.29037e-19
9821.6742 1.28224e-18 4.09741e-19
9822.7602 1.13797e-18 3.46842e-19
9823.8462 1.12490e-18 2.95028e-19
9824.9321 9.34130e-19 2.76309e-19
9826.0181 6.56864e-19 3.34030e-19
9827.1041 4.86850e-19 3.44572e-19
9828.1900 1.41388e-18 3.40007e-19
9829.2760 1.33698e-18 3.59026e-19
9830.3620 1.54856e-18 3.82597e-19
9831.4480 8.92827e-19 4.37370e-19
9832.5339 6.55023e-19 4.09548e-19
9833.6199 1.61739e-18 3.38213e-19
9834.7059 1.57932e-18 3.12757e-19
9835.7919 9.36091e-19 3.80204e-19
9836.8778 8.97379e-19 3.70582e-19
9837.9638 1.11811e-18 3.61259e-19
9839.0498 5.60313e-19 3.74432e-19
9840.1357 1.72368e-18 3.72965e-19
9841.2217 2.08635e-18 3.64923e-19
9842.3077 7.30555e-19 6.93014e-19
9843.3937 3.42653e-18 6.65845e-19
9844.4796 6.78316e-19 3.56133e-19
9845.5656 4.23575e-19 3.54500e-19
9846.6516 8.45438e-19 3.66835e-19
9847.7376 9.32053e-19 3.05262e-19
9848.8235 1.57531e-18 5.29255e-19
9849.9095 3.76336e-19 6.94632e-19
9850.9955 1.15423e-18 7.14080e-19
9852.0814 -2.39229e-19 -7.13924e-19
9853.1674 1.24842e-18 6.83248e-19
9854.2534 1.82486e-18 4.10957e-19
9855.3394 1.01093e-18 2.78039e-19
9856.4253 6.44029e-19 2.59403e-19
9857.5113 1.31876e-18 2.66149e-19
9858.5973 1.09782e-18 2.58677e-19
9859.6833 1.74918e-18 2.77438e-19
9860.7692 1.17432e-18 2.57698e-19
9861.8552 1.30304e-18 2.54571e-19
9862.9412 8.30409e-19 2.51188e-19
9864.0271 1.12519e-18 2.50083e-19
9865.1131 1.47076e-18 2.61111e-19
9866.1991 1.00841e-18 2.46144e-19
9867.2851 1.07297e-18 2.54710e-19
9868.3710 1.02815e-18 2.56614e-19
9869.4570 1.21805e-18 2.74410e-19
9870.5430 9.14175e-19 2.82104e-19
9871.6290 5.01380e-19 4.01643e-19
9872.7149 1.68654e-19 9.39395e-19
9873.8009 1.89510e-18 1.16699e-18
9874.8869 1.96935e-18 1.16815e-18
9875.9729 1.28507e-18 1.17784e-18
