lambda flux fluxErr
9752.1719 7.29445e-19 3.33970e-19
9753.2579 2.86320e-19 3.07103e-19
9754.3439 -1.52952e-21 -2.96733e-19
9755.4299 -4.63157e-19 -3.00739e-19
9756.5158 1.05150e-18 3.16153e-19
9757.6018 2.57768e-19 3.86665e-19
9758.6878 1.65022e-19 4.00182e-19
9759.7738 1.12941e-18 5.61859e-19
9760.8597 -8.00091e-20 -5.42767e-19
9761.9457 8.53210e-19 2.95777e-19
9763.0317 1.00784e-18 3.01418e-19
9764.1176 9.72121e-19 3.01360e-19
9765.2036 4.01173e-19 2.93308e-19
9766.2896 4.65900e-19 2.78512e-19
9767.3756 -2.79170e-20 -2.74842e-19
9768.4615 2.70495e-19 2.71460e-19
9769.5475 4.82416e-20 2.77319e-19
9770.6335 3.24839e-19 2.74058e-19
9771.7195 5.42750e-20 2.70539e-19
9772.8054 5.94440e-19 2.67637e-19
9773.8914 3.63578e-19 3.20226e-19
9774.9774 3.59635e-20 3.28278e-19
9776.0633 2.79935e-19 2.77646e-19
9777.1493 1.27332e-19 2.62097e-19
9778.2353 5.64522e-19 2.72950e-19
9779.3213 3.13726e-19 2.67227e-19
9780.4072 9.26387e-19 2.74218e-19
9781.4932 6.83452e-19 2.90445e-19
9782.5792 -6.09572e-20 -2.86339e-19
9783.6652 3.28318e-19 2.68285e-19
9784.7511 6.68387e-19 2.70109e-19
9785.8371 3.83158e-19 2.63639e-19
9786.9231 2.42080e-19 2.65762e-19
9788.0090 7.75360e-20 2.65445e-19
9789.0950 3.70261e-19 3.27574e-19
9790.1810 4.18035e-19 5.15376e-19
9791.2670 -6.36515e-19 -9.11690e-19
9792.3529 1.55282e-18 1.26000e-18
9793.4389 -9.67454e-20 -1.30818e-18
9794.5249 1.88416e-18 2.18263e-18
9795.6109 2.07483e-18 1.95464e-18
9796.6968 1.64297e-19 6.14084e-19
9797.7828 -4.01350e-19 -3.58893e-19
9798.8688 2.68814e-20 3.72090e-19
9799.9548 -4.55575e-19 -5.57236e-19
9801.0407 3.53700e-19 7.16294e-19
9802.1267 2.46312e-19 7.21688e-19
9803.2127 5.69987e-19 7.19009e-19
9804.2986 8.08742e-19 6.57005e-19
9805.3846 9.12545e-20 3.90121e-19
9806.4706 4.44480e-19 2.70714e-19
9807.5566 5.24860e-19 3.10784e-19
9808.6425 8.09965e-19 3.84568e-19
9809.7285 6.36077e-19 4.07690e-19
9810.8145 3.61863e-19 3.83523e-19
9811.9005 -5.36935e-20 -4.15447e-19
9812.9864 4.64762e-19 4.65535e-19
9814.0724 -9.09497e-19 -4.70809e-19
9815.1584 -7.07936e-21 -4.66406e-19
9816.2443 8.85834e-19 4.60603e-19
9817.3303 6.93823e-19 3.99546e-19
9818.4163 2.08926e-19 3.79606e-19
9819.5023 -3.90750e-19 -4.01521e-19
9820.5882 -3.94815e-19 -3.92696e-19
9821.6742 3.73728e-20 3.66620e-19
9822.7602 6.14291e-19 3.13477e-19
9823.8462 -2.43003e-19 -2.59203e-19
9824.9321 2.75415e-19 2.62462e-19
9826.0181 4.55353e-20 2.59892e-19
9827.1041 9.98955e-19 2.79291e-19
9828.1900 1.80487e-19 3.06094e-19
9829.2760 -8.28677e-20 -3.33253e-19
9830.3620 4.80594e-19 3.43368e-19
9831.4480 4.72248e-19 3.35353e-19
9832.5339 2.23005e-19 3.15452e-19
9833.6199 5.92247e-19 5.02772e-19
9834.7059 -4.06442e-20 -4.46531e-19
9835.7919 3.11549e-19 2.66261e-19
9836.8778 4.33248e-19 2.71523e-19
9837.9638 7.92693e-19 3.03892e-19
9839.0498 5.71024e-19 2.92901e-19
9840.1357 5.20723e-19 2.49955e-19
9841.2217 5.31026e-19 2.38597e-19
9842.3077 4.31128e-19 2.34025e-19
9843.3937 4.91880e-19 2.31319e-19
9844.4796 4.09149e-19 2.40464e-19
9845.5656 4.51094e-19 2.39252e-19
9846.6516 -5.04974e-19 -4.74758e-19
9847.7376 7.13750e-21 5.40830e-19
9848.8235 1.72403e-19 4.82742e-19
9849.9095 3.33474e-19 6.38720e-19
9850.9955 3.72953e-19 6.58200e-19
9852.0814 8.27173e-19 6.42073e-19
9853.1674 2.94787e-19 5.76006e-19
9854.2534 -4.30388e-19 -5.85985e-19
9855.3394 6.15914e-19 4.17952e-19
9856.4253 7.06490e-19 2.41591e-19
9857.5113 6.84582e-19 2.41089e-19
9858.5973 5.12818e-19 2.40113e-19
9859.6833 5.90223e-19 2.44921e-19
9860.7692 1.03385e-19 2.38696e-19
9861.8552 7.84727e-19 2.34783e-19
9862.9412 -2.52249e-19 -2.28273e-19
9864.0271 2.48689e-19 3.99436e-19
9865.1131 -1.28672e-19 -3.91020e-19
9866.1991 5.23842e-19 2.33874e-19
9867.2851 5.15475e-19 2.42659e-19
9868.3710 1.08402e-19 2.44924e-19
9869.4570 -3.63996e-19 -2.47790e-19
9870.5430 -4.46922e-19 -3.03775e-19
9871.6290 1.36491e-19 4.65140e-19
9872.7149 3.31745e-19 8.58351e-19
9873.8009 1.77809e-18 1.07310e-18
9874.8869 5.36502e-19 1.06386e-18
9875.9729 -2.09824e-18 -1.09418e-18
9877.0588 7.57273e-19 8.72071e-19
9878.1448 4.32795e-19 3.94862e-19
9879.2308 4.68332e-19 2.64062e-19
9880.3167 4.21553e-19 2.31066e-19
9881.4027 2.46911e-19 2.33406e-19
9882.4887 -3.68598e-21 -2.39933e-19
9883.5747 2.50310e-19 2.35923e-19
9884.6606 8.93567e-20 2.41360e-19
9885.7466 3.40230e-19 2.65830e-19
9886.8326 4.73418e-19 3.58471e-19
9887.9186 -1.09369e-19 -5.88023e-19
9889.0045 4.96367e-19 5.53071e-19
9890.0905 6.21572e-19 3.10278e-19
9891.1765 2.81239e-19 2.77750e-19
9892.2624 -9.97177e-21 -2.35037e-19
9893.3484 7.46898e-20 2.25594e-19
9894.4344 -3.75816e-19 -3.33753e-19
9895.5204 5.43846e-19 6.11228e-19
9896.6063 6.86609e-19 7.12558e-19
9897.6923 9.87559e-19 7.25906e-19
9898.7783 -5.70742e-19 -1.20767e-18
9899.8643 3.54405e-19 9.25495e-19
9900.9502 7.37006e-19 5.32230e-19
9902.0362 7.82071e-19 2.58336e-19
9903.1222 4.15864e-19 2.51855e-19
9904.2081 1.75413e-19 2.49378e-19
9905.2941 5.86124e-19 2.42167e-19
9906.3801 -2.46043e-19 -2.23485e-19
9907.4661 3.03503e-19 2.16401e-19
9908.5520 2.15638e-19 2.14529e-19
9909.6380 4.70731e-19 2.20021e-19
9910.7240 6.26028e-19 2.24384e-19
9911.8100 3.24541e-19 2.20545e-19
9912.8959 6.07039e-19 2.35190e-19
9913.9819 -1.43331e-19 -3.47155e-19
9915.0679 8.33152e-19 7.85161e-19
9916.1538 3.64059e-19 1.23604e-18
9917.2398 1.80050e-18 1.26128e-18
9918.3258 -8.89848e-19 -1.04616e-18
9919.4118 -3.27984e-19 -8.93500e-19
9920.4977 -4.59679e-19 -4.39818e-19
9921.5837 6.07733e-19 3.90661e-19
9922.6697 -1.75595e-19 -3.59175e-19
9923.7557 7.30974e-19 2.32410e-19
9924.8416 5.73863e-19 2.23638e-19
9925.9276 3.06977e-19 2.23614e-19
9927.0136 2.64016e-19 2.18596e-19
9928.0995 5.56918e-19 2.20298e-19
9929.1855 4.90420e-19 2.19183e-19
9930.2715 5.88206e-19 2.25743e-19
9931.3575 5.37032e-19 2.17132e-19
9932.4434 8.40378e-19 2.16558e-19
9933.5294 5.96657e-19 2.15327e-19
9934.6154 2.73737e-19 2.56082e-19
9935.7014 1.87044e-21 2.57177e-19
9936.7873 5.67517e-19 2.59282e-19
9937.8733 4.29728e-19 2.18191e-19
9938.9593 1.91404e-19 2.22021e-19
9940.0452 2.90759e-19 2.34223e-19
9941.1312 5.92403e-19 3.07829e-19
9942.2172 9.64944e-19 6.28896e-19
9943.3032 1.91133e-18 8.50349e-19
9944.3891 -1.87911e-19 -8.77414e-19
9945.4751 -8.76612e-19 -1.59554e-18
9946.5611 -1.82818e-18 -1.75492e-18
9947.6471 -5.45638e-19 -1.13559e-18
9948.7330 -1.28283e-18 -1.17822e-18
9949.8190 1.90635e-19 1.18448e-18
9950.9050 -2.89785e-19 -1.06664e-18
9951.9910 -6.51252e-19 -7.73798e-19
9953.0769 1.00724e-22 5.34067e-19
9954.1629 7.05371e-19 4.29377e-19
9955.2489 3.93122e-19 3.08976e-19
9956.3348 1.45441e-19 4.25387e-19
9957.4208 -1.92028e-19 -8.55314e-19
9958.5068 -1.40243e-19 -9.69753e-19
9959.5928 1.05594e-18 9.86951e-19
9960.6787 1.89159e-18 9.74754e-19
9961.7647 1.15402e-18 8.09536e-19
9962.8507 7.55610e-19 7.95866e-19
9963.9367 1.37545e-18 8.62750e-19
9965.0226 1.38169e-19 8.51151e-19
9966.1086 2.25595e-19 7.88455e-19
9967.1946 4.43474e-19 5.47897e-19
