lambda f_lambda fErr_lambda
9139.469999999797 9.164518857575951e-19 0.0
9140.569999999798 9.164518857575951e-19 0.0
9141.669999999798 9.164518857575951e-19 0.0
9142.769999999799 9.164518857575951e-19 0.0
9143.869999999799 9.164518857575951e-19 0.0
9144.9699999998 9.164518857575951e-19 0.0
9146.0699999998 9.164518857575951e-19 0.0
9147.1699999998 9.164518857575951e-19 0.0
9148.2699999998 9.164518857575951e-19 0.0
9149.3699999998 9.164518857575951e-19 0.0
9150.469999999801 9.164518857575951e-19 0.0
9151.569999999801 9.164518857575951e-19 0.0
9152.669999999802 9.164518857575951e-19 0.0
9153.769999999802 9.164518857575951e-19 0.0
9154.869999999803 9.164518857575951e-19 0.0
9155.969999999803 9.164518857575951e-19 0.0
9157.069999999803 9.164518857575951e-19 0.0
9158.169999999804 9.164518857575951e-19 0.0
9159.269999999804 9.164518857575951e-19 0.0
9160.369999999804 9.164518857575951e-19 0.0
9161.469999999805 9.164518857575951e-19 0.0
9162.569999999805 9.164518857575951e-19 0.0
9163.669999999805 9.164518857575951e-19 0.0
9164.769999999806 9.164518857575951e-19 0.0
9165.869999999806 9.164518857575951e-19 0.0
9166.969999999807 9.164518857575951e-19 0.0
9168.069999999807 9.164518857575951e-19 0.0
9169.169999999807 9.164518857575951e-19 0.0
9170.269999999808 9.164518857575951e-19 0.0
9171.369999999808 9.164518857575951e-19 0.0
9172.469999999808 9.164518857575951e-19 0.0
9173.569999999809 9.164518857575951e-19 0.0
9174.669999999809 9.164518857575951e-19 0.0
9175.76999999981 9.164518857575951e-19 0.0
9176.86999999981 9.164518857575951e-19 0.0
9177.96999999981 9.164518857575951e-19 0.0
9179.06999999981 9.164518857575951e-19 0.0
9180.16999999981 9.164518857575951e-19 0.0
9181.269999999811 9.164518857575951e-19 0.0
9182.369999999812 9.164518857575951e-19 0.0
9183.469999999812 9.164518857575951e-19 0.0
9184.569999999812 9.164518857575951e-19 0.0
9185.669999999813 9.164518857575951e-19 0.0
9186.769999999813 9.164518857575951e-19 0.0
9187.869999999813 9.164518857575951e-19 0.0
9188.969999999814 9.164518857575951e-19 0.0
9190.069999999814 9.164518857575951e-19 0.0
9191.169999999815 9.164518857575951e-19 0.0
9192.269999999815 9.164518857575951e-19 0.0
9193.369999999815 9.164518857575951e-19 0.0
9194.469999999816 9.164518857575951e-19 0.0
9195.569999999816 9.164518857575951e-19 0.0
9196.669999999816 9.164518857575951e-19 0.0
9197.769999999817 9.164518857575951e-19 0.0
9198.869999999817 9.164518857575951e-19 0.0
9199.969999999817 9.164518857575951e-19 0.0
9201.069999999818 9.164518857575951e-19 0.0
9202.169999999818 9.164518857575951e-19 0.0
