lambda flux fluxErr
9752.1719 2.44024e-18 4.67012e-19
9753.2579 1.94967e-18 4.28296e-19
9754.3439 1.41468e-18 4.15447e-19
9755.4299 1.74221e-18 4.04809e-19
9756.5158 1.25608e-18 4.13375e-19
9757.6018 1.90029e-18 5.21798e-19
9758.6878 2.92884e-18 5.96548e-19
9759.7738 1.95580e-18 5.10422e-19
9760.8597 1.48724e-18 4.20319e-19
9761.9457 1.48390e-18 3.95398e-19
9763.0317 1.59743e-18 4.80908e-19
9764.1176 1.63376e-18 4.82114e-19
9765.2036 1.59838e-18 3.78310e-19
9766.2896 1.64205e-18 3.70417e-19
9767.3756 2.44422e-18 3.92468e-19
9768.4615 2.10630e-18 3.79878e-19
9769.5475 1.25379e-18 4.19327e-19
9770.6335 2.50847e-18 5.08713e-19
9771.7195 2.36021e-18 4.69789e-19
9772.8054 2.31373e-18 3.69294e-19
9773.8914 2.53165e-18 3.71017e-19
9774.9774 2.37457e-18 3.72890e-19
9776.0633 1.86249e-18 3.59389e-19
9777.1493 1.62626e-18 3.47903e-19
9778.2353 1.88242e-18 3.53564e-19
9779.3213 1.50529e-18 3.45367e-19
9780.4072 1.65514e-18 3.54569e-19
9781.4932 1.06080e-18 3.59435e-19
9782.5792 7.95194e-19 3.69702e-19
9783.6652 1.96542e-18 3.76850e-19
9784.7511 1.67091e-18 3.57899e-19
9785.8371 1.25006e-18 3.37158e-19
9786.9231 1.79728e-18 3.48161e-19
9788.0090 2.64746e-18 3.75680e-19
9789.0950 2.32904e-18 4.36385e-19
9790.1810 1.95774e-18 6.28429e-19
9791.2670 2.51927e-18 1.11700e-18
9792.3529 1.87081e-18 1.54530e-18
9793.4389 3.41430e-18 1.67683e-18
9794.5249 1.02047e-18 1.64178e-18
9795.6109 7.41547e-19 1.35733e-18
9796.6968 2.85775e-18 8.00587e-19
9797.7828 1.75604e-18 4.48647e-19
9798.8688 1.79335e-18 4.72040e-19
9799.9548 1.48430e-18 6.84173e-19
