lambda flux fluxErr
9752.1719 -6.19218e-19 -5.38168e-19
9753.2579 -6.07120e-19 -4.95253e-19
9754.3439 -1.57185e-19 -3.40797e-19
9755.4299 1.46859e-19 3.54745e-19
9756.5158 9.80377e-19 3.70985e-19
9757.6018 5.02584e-19 3.79895e-19
9758.6878 -5.78587e-19 -3.89094e-19
9759.7738 3.53342e-19 3.85422e-19
9760.8597 -4.99302e-19 -4.75543e-19
9761.9457 -2.15798e-18 -5.14496e-19
9763.0317 -4.61747e-19 -3.62936e-19
9764.1176 3.97753e-19 3.42276e-19
9765.2036 3.53704e-19 3.33197e-19
9766.2896 3.57570e-19 3.26413e-19
9767.3756 4.25477e-20 3.22815e-19
9768.4615 -8.71936e-20 -3.15917e-19
9769.5475 2.12016e-20 3.09058e-19
9770.6335 4.20174e-20 3.46472e-19
9771.7195 1.68817e-19 3.47728e-19
9772.8054 1.94813e-19 3.41589e-19
9773.8914 2.13256e-19 3.93248e-19
9774.9774 7.33416e-19 5.26952e-19
9776.0633 2.96355e-19 4.32822e-19
9777.1493 7.41185e-19 3.13600e-19
9778.2353 1.07082e-18 3.15499e-19
9779.3213 7.40853e-19 3.14044e-19
9780.4072 2.39873e-20 3.04352e-19
9781.4932 -3.40606e-20 -3.14091e-19
9782.5792 1.12452e-19 3.18253e-19
9783.6652 -1.23695e-20 -3.02651e-19
9784.7511 4.32081e-19 4.40531e-19
9785.8371 -9.51997e-20 -4.45054e-19
9786.9231 2.81278e-19 3.00690e-19
9788.0090 3.88851e-19 3.04437e-19
9789.0950 1.00247e-18 3.70417e-19
9790.1810 6.66191e-19 5.64606e-19
9791.2670 2.35814e-19 1.00236e-18
9792.3529 3.03063e-18 1.44942e-18
9793.4389 2.62238e-18 1.57525e-18
9794.5249 1.20917e-18 1.52597e-18
9795.6109 5.88678e-19 1.23476e-18
9796.6968 -2.43601e-20 -6.65015e-19
9797.7828 9.67943e-19 5.68294e-19
9798.8688 1.18720e-18 6.08330e-19
9799.9548 -4.48773e-20 -6.15707e-19
9801.0407 -5.31994e-19 -8.18600e-19
9802.1267 3.56154e-21 8.62416e-19
9803.2127 4.90947e-19 8.54558e-19
9804.2986 1.09645e-18 7.35546e-19
9805.3846 1.08333e-18 4.40223e-19
9806.4706 3.27213e-19 3.02593e-19
9807.5566 -4.45462e-19 -3.41430e-19
