lambda flux fluxErr
9752.1719 1.15575e-18 3.57461e-19
9753.2579 1.12732e-18 3.35328e-19
9754.3439 7.65673e-19 3.27422e-19
9755.4299 4.18851e-20 3.29600e-19
9756.5158 2.09838e-19 3.59539e-19
9757.6018 5.83452e-19 3.69326e-19
9758.6878 7.29550e-19 4.99293e-19
9759.7738 6.35659e-19 4.90777e-19
9760.8597 1.88888e-18 4.93189e-19
9761.9457 8.24919e-19 3.28550e-19
9763.0317 9.58881e-19 3.21010e-19
9764.1176 6.31570e-19 3.62770e-19
9765.2036 1.14639e-18 3.71190e-19
9766.2896 5.13765e-19 3.16645e-19
9767.3756 1.15683e-18 3.13708e-19
9768.4615 6.08256e-19 3.08743e-19
9769.5475 4.61495e-19 3.01917e-19
9770.6335 1.13004e-18 3.04407e-19
9771.7195 4.36607e-19 4.12380e-19
9772.8054 -1.65064e-19 -4.07417e-19
9773.8914 1.02262e-18 2.99345e-19
9774.9774 5.15028e-19 4.57594e-19
9776.0633 1.37811e-18 4.66749e-19
9777.1493 9.60730e-19 4.50855e-19
9778.2353 1.11442e-18 4.69747e-19
9779.3213 7.73298e-19 2.99418e-19
9780.4072 1.31863e-18 3.15144e-19
9781.4932 1.06832e-18 3.15591e-19
9782.5792 1.12258e-18 3.09936e-19
9783.6652 1.39303e-19 2.91514e-19
9784.7511 5.93045e-19 2.98894e-19
9785.8371 5.82420e-19 2.84723e-19
9786.9231 3.34274e-19 2.81586e-19
9788.0090 1.21312e-18 2.94459e-19
9789.0950 5.13356e-19 1.07968e-18
9790.1810 -1.21589e-18 -1.65336e-18
9791.2670 -6.02825e-19 -9.15919e-19
9792.3529 1.76573e-18 1.29359e-18
9793.4389 -2.35295e-19 -1.38126e-18
9794.5249 -2.41853e-19 -1.34429e-18
9795.6109 9.45736e-19 1.10184e-18
9796.6968 1.12047e-18 5.41878e-19
9797.7828 7.36537e-19 3.71715e-19
9798.8688 9.79684e-19 3.86148e-19
9799.9548 5.27119e-19 5.75110e-19
9801.0407 -2.97100e-19 -7.37260e-19
9802.1267 1.13838e-18 7.51256e-19
9803.2127 1.18573e-18 7.46752e-19
9804.2986 4.32499e-19 6.38045e-19
9805.3846 -5.16662e-20 -3.71132e-19
9806.4706 1.23588e-18 2.92192e-19
9807.5566 1.10423e-18 3.39209e-19
9808.6425 7.14820e-19 4.00692e-19
9809.7285 9.59620e-19 4.13978e-19
9810.8145 1.02278e-18 5.52962e-19
9811.9005 1.43434e-18 5.96916e-19
9812.9864 9.83693e-19 4.74123e-19
9814.0724 1.59626e-18 5.24613e-19
9815.1584 1.34733e-18 5.09046e-19
9816.2443 8.27976e-19 4.71970e-19
9817.3303 1.01731e-18 4.03103e-19
9818.4163 4.28728e-19 3.96510e-19
9819.5023 6.54533e-19 4.17304e-19
9820.5882 9.97175e-19 4.19047e-19
9821.6742 7.49257e-19 3.78841e-19
9822.7602 1.44794e-18 3.32999e-19
9823.8462 5.31314e-19 3.14159e-19
9824.9321 5.32095e-19 3.10197e-19
9826.0181 6.15987e-19 2.82614e-19
9827.1041 6.78716e-19 3.00319e-19
9828.1900 6.56902e-19 3.26591e-19
9829.2760 4.46060e-19 3.53238e-19
9830.3620 4.31741e-19 3.58786e-19
9831.4480 4.81555e-19 3.55088e-19
9832.5339 6.04378e-19 3.37585e-19
9833.6199 9.74345e-19 4.90249e-19
9834.7059 1.11758e-18 4.91816e-19
9835.7919 9.88385e-19 2.91816e-19
9836.8778 1.20267e-18 3.32081e-19
9837.9638 3.54879e-20 5.44603e-19
9839.0498 1.06818e-18 3.63784e-19
9840.1357 7.05509e-19 2.70742e-19
9841.2217 8.04164e-19 2.58753e-19
9842.3077 6.66824e-19 2.61774e-19
9843.3937 6.38339e-19 2.61661e-19
9844.4796 8.43747e-20 2.59327e-19
9845.5656 4.48047e-19 2.66319e-19
9846.6516 7.51159e-19 3.70551e-19
9847.7376 3.67978e-19 4.10442e-19
9848.8235 1.15578e-18 5.02770e-19
9849.9095 1.03904e-18 6.62849e-19
9850.9955 1.13434e-18 6.79974e-19
9852.0814 8.71726e-19 6.69593e-19
9853.1674 4.53742e-19 5.55622e-19
9854.2534 1.07782e-18 3.19763e-19
9855.3394 1.22833e-19 2.84323e-19
9856.4253 8.56621e-19 3.70386e-19
9857.5113 1.46414e-18 3.89517e-19
9858.5973 5.31676e-19 2.69586e-19
9859.6833 7.06066e-19 2.64220e-19
9860.7692 9.19454e-19 2.57586e-19
9861.8552 8.89953e-19 2.59088e-19
9862.9412 8.33089e-19 2.56847e-19
9864.0271 1.14506e-18 2.58084e-19
9865.1131 9.11758e-19 2.60218e-19
9866.1991 8.20716e-19 2.60816e-19
9867.2851 4.63039e-19 2.88827e-19
9868.3710 1.12253e-18 3.01325e-19
9869.4570 1.10950e-18 2.75430e-19
9870.5430 9.87348e-19 2.77480e-19
9871.6290 8.59975e-19 3.93024e-19
9872.7149 7.46129e-20 8.60383e-19
9873.8009 1.30131e-18 1.09858e-18
9874.8869 6.02836e-19 1.09466e-18
9875.9729 4.94274e-19 1.07951e-18
9877.0588 2.10267e-18 8.00089e-19
9878.1448 1.34538e-18 3.64389e-19
9879.2308 1.06392e-18 2.79887e-19
9880.3167 8.58988e-19 2.63135e-19
