lambda flux fluxErr
9908.5520 3.26103e-17 2.05412e-18
9909.6380 3.23902e-17 2.04029e-18
9910.7240 3.29855e-17 2.07805e-18
9911.8100 3.35442e-17 2.11186e-18
9912.8959 3.39895e-17 2.14042e-18
9913.9819 3.32144e-17 2.10654e-18
9915.0679 3.24403e-17 2.15881e-18
9916.1538 3.23438e-17 2.27685e-18
9917.2398 3.17705e-17 2.26499e-18
9918.3258 3.23240e-17 2.28439e-18
9919.4118 3.21203e-17 2.18432e-18
9920.4977 3.28987e-17 2.09880e-18
9921.5837 3.27055e-17 2.05976e-18
9922.6697 3.33031e-17 2.09695e-18
9923.7557 3.36915e-17 2.11996e-18
9924.8416 3.39169e-17 2.13331e-18
9925.9276 3.30256e-17 2.07882e-18
9927.0136 3.31736e-17 2.10135e-18
9928.0995 3.38402e-17 2.14777e-18
9929.1855 3.34320e-17 2.10658e-18
9930.2715 3.34191e-17 2.10365e-18
9931.3575 3.27752e-17 2.06319e-18
9932.4434 3.28942e-17 2.07068e-18
9933.5294 3.37402e-17 2.12305e-18
9934.6154 3.39457e-17 2.13487e-18
9935.7014 3.35133e-17 2.10764e-18
9936.7873 3.27975e-17 2.06446e-18
9937.8733 3.33403e-17 2.09797e-18
9938.9593 3.41648e-17 2.14914e-18
9940.0452 3.55293e-17 2.23512e-18
9941.1312 3.52085e-17 2.22362e-18
9942.2172 3.42651e-17 2.22553e-18
9943.3032 3.36820e-17 2.27198e-18
9944.3891 3.47043e-17 2.34822e-18
9945.4751 3.46024e-17 2.36332e-18
9946.5611 3.46398e-17 2.38927e-18
9947.6471 3.31933e-17 2.45949e-18
9948.7330 3.24641e-17 2.45316e-18
9949.8190 3.53068e-17 2.61270e-18
9950.9050 3.51396e-17 2.43895e-18
9951.9910 3.45781e-17 2.29300e-18
9953.0769 3.40174e-17 2.19241e-18
9954.1629 3.43933e-17 2.20325e-18
9955.2489 3.39590e-17 2.15518e-18
9956.3348 3.42871e-17 2.20915e-18
9957.4208 3.42533e-17 2.29473e-18
9958.5068 3.39646e-17 2.34664e-18
9959.5928 3.49252e-17 2.40586e-18
9960.6787 3.47161e-17 2.38080e-18
9961.7647 3.33063e-17 2.21929e-18
9962.8507 3.42911e-17 2.34985e-18
9963.9367 3.45000e-17 2.43277e-18
9965.0226 3.35655e-17 2.37583e-18
9966.1086 3.33821e-17 2.32089e-18
9967.1946 3.44001e-17 2.24635e-18
9968.2805 3.42588e-17 2.17029e-18
9969.3665 3.41218e-17 2.14412e-18
9970.4525 3.37352e-17 2.12105e-18
9971.5385 3.40326e-17 2.14329e-18
9972.6244 3.22308e-17 2.07178e-18
9973.7104 3.21733e-17 2.11426e-18
9974.7964 3.32388e-17 2.15858e-18
9975.8824 3.36792e-17 2.18283e-18
9976.9683 3.36651e-17 2.16150e-18
9978.0543 3.37665e-17 2.13759e-18
9979.1403 3.41190e-17 2.21821e-18
9980.2262 3.47792e-17 2.26295e-18
9981.3122 3.48024e-17 2.27046e-18
9982.3982 3.35244e-17 2.12427e-18
9983.4842 3.33680e-17 2.10726e-18
9984.5701 3.42500e-17 2.15599e-18
9985.6561 3.39930e-17 2.13607e-18
9986.7421 3.29294e-17 2.06964e-18
9987.8281 3.35496e-17 2.10878e-18
9988.9140 3.37171e-17 2.11805e-18
9990.0000 3.40226e-17 2.13615e-18
9991.0860 3.41508e-17 2.14390e-18
9992.1719 3.38874e-17 2.12864e-18
9993.2579 3.31904e-17 2.09840e-18
9994.3439 3.33879e-17 2.10933e-18
9995.4299 3.42164e-17 2.14814e-18
9996.5158 3.37237e-17 2.11983e-18
9997.6018 3.34344e-17 2.10235e-18
9998.6878 3.29787e-17 2.07381e-18
9999.7738 3.30114e-17 2.08104e-18
10000.8600 3.30871e-17 2.10282e-18
10001.9460 3.39915e-17 2.17256e-18
10003.0320 3.44847e-17 2.20485e-18
10004.1180 3.47639e-17 2.22097e-18
10005.2040 3.37341e-17 2.13879e-18
10006.2900 3.32869e-17 2.09584e-18
10007.3760 3.34995e-17 2.10825e-18
10008.4620 3.30840e-17 2.08103e-18
10009.5480 3.36615e-17 2.11636e-18
10010.6330 3.37959e-17 2.12328e-18
10011.7190 3.33757e-17 2.11454e-18
10012.8050 3.40949e-17 2.24294e-18
10013.8910 3.38741e-17 2.41759e-18
10014.9770 3.33696e-17 2.48003e-18
10016.0630 3.38589e-17 2.51349e-18
10017.1490 3.47810e-17 2.49271e-18
10018.2350 3.53947e-17 2.35494e-18
10019.3210 3.62705e-17 2.30348e-18
10020.4070 3.39257e-17 2.17482e-18
10021.4930 3.33469e-17 2.14085e-18
10022.5790 3.38302e-17 2.13402e-18
10023.6650 3.32596e-17 2.10086e-18
10024.7510 3.50071e-17 2.21289e-18
10025.8370 3.46979e-17 2.23583e-18
10026.9230 3.39009e-17 2.24136e-18
10028.0090 3.49400e-17 2.31106e-18
10029.0950 3.46189e-17 2.28875e-18
10030.1810 3.38773e-17 2.20650e-18
10031.2670 3.35005e-17 2.11819e-18
10032.3530 3.38628e-17 2.12613e-18
10033.4390 3.45371e-17 2.16923e-18
10034.5250 3.46236e-17 2.17526e-18
