lambda flux fluxErr
9752.1719 1.06738e-18 3.74326e-19
9753.2579 5.37195e-19 3.09183e-19
9754.3439 4.35481e-19 3.13620e-19
9755.4299 3.53947e-19 3.28164e-19
9756.5158 3.78157e-19 3.45083e-19
9757.6018 3.05419e-19 4.06524e-19
9758.6878 6.15454e-19 5.15054e-19
9759.7738 2.12840e-19 6.87481e-19
9760.8597 6.59079e-19 7.06805e-19
9761.9457 6.96595e-19 4.87046e-19
9763.0317 7.54176e-19 6.88100e-19
9764.1176 -4.07861e-19 -5.00009e-19
9765.2036 4.56211e-19 5.52682e-19
9766.2896 2.31618e-19 5.48139e-19
9767.3756 1.45453e-19 3.65119e-19
9768.4615 4.62577e-19 3.13553e-19
9769.5475 1.06955e-19 3.00909e-19
9770.6335 4.22857e-19 2.79320e-19
9771.7195 -4.39885e-19 -3.14748e-19
9772.8054 -2.20346e-19 -3.20650e-19
9773.8914 5.69601e-19 3.84283e-19
9774.9774 -2.07499e-20 -3.83826e-19
9776.0633 -1.71181e-19 -2.90614e-19
9777.1493 -3.22429e-19 -2.74207e-19
9778.2353 -5.53607e-19 -2.71725e-19
9779.3213 -9.73698e-20 -2.69064e-19
9780.4072 7.36190e-20 2.66832e-19
9781.4932 2.75530e-19 2.78714e-19
9782.5792 2.67419e-19 2.80469e-19
9783.6652 2.10911e-19 2.79024e-19
9784.7511 5.11992e-19 2.81373e-19
9785.8371 -2.09864e-19 -2.72797e-19
9786.9231 6.72241e-19 2.78016e-19
9788.0090 -4.61361e-19 -3.48260e-19
9789.0950 -8.13754e-20 -4.64952e-19
9790.1810 -4.41140e-20 -6.27336e-19
9791.2670 -5.61701e-19 -1.04786e-18
9792.3529 1.88227e-18 1.48807e-18
9793.4389 7.68549e-19 1.85076e-18
9794.5249 1.18433e-18 1.74958e-18
9795.6109 6.79996e-19 1.29943e-18
9796.6968 1.06365e-18 7.81180e-19
9797.7828 -3.53753e-19 -4.25712e-19
9798.8688 -5.94255e-19 -4.49292e-19
9799.9548 -1.16714e-18 -7.02272e-19
9801.0407 -5.07620e-19 -8.78099e-19
9802.1267 3.52085e-19 8.58098e-19
9803.2127 1.82029e-19 8.44354e-19
9804.2986 4.09593e-20 7.43388e-19
9805.3846 -6.08329e-19 -4.79728e-19
9806.4706 -2.36905e-19 -3.02304e-19
9807.5566 -2.00978e-19 -3.31375e-19
9808.6425 -4.74100e-19 -7.08814e-19
9809.7285 3.91959e-20 7.71761e-19
9810.8145 5.90397e-20 4.35523e-19
9811.9005 1.04962e-19 4.71207e-19
9812.9864 -4.10394e-19 -5.19423e-19
9814.0724 -5.38127e-19 -5.34683e-19
9815.1584 -5.60554e-19 -5.32199e-19
9816.2443 -7.14951e-19 -5.11941e-19
9817.3303 -6.55522e-21 -4.40670e-19
9818.4163 3.31919e-19 4.25569e-19
9819.5023 2.64008e-19 4.49023e-19
9820.5882 4.19298e-19 4.49104e-19
9821.6742 7.95368e-20 4.07903e-19
9822.7602 1.76704e-19 3.39512e-19
9823.8462 -1.90344e-19 -2.90537e-19
9824.9321 2.52599e-19 2.79189e-19
9826.0181 2.21717e-20 2.88340e-19
9827.1041 5.40222e-20 3.04995e-19
9828.1900 -4.52970e-20 -3.44173e-19
9829.2760 2.98179e-19 3.56929e-19
9830.3620 3.38221e-19 3.75562e-19
9831.4480 3.16962e-19 3.75055e-19
9832.5339 1.05022e-19 3.50840e-19
9833.6199 4.15571e-19 3.45350e-19
9834.7059 3.60874e-19 3.87457e-19
9835.7919 4.87452e-19 3.38860e-19
9836.8778 2.81518e-19 2.85263e-19
9837.9638 1.95360e-19 2.72523e-19
9839.0498 8.23206e-20 2.60987e-19
9840.1357 5.81233e-19 2.54311e-19
9841.2217 2.98082e-19 2.44949e-19
9842.3077 -8.58178e-21 -2.41695e-19
9843.3937 8.92744e-20 2.40959e-19
9844.4796 1.20229e-19 2.38766e-19
9845.5656 4.19593e-19 2.50094e-19
