lambda flux fluxErr
9908.5520 1.07679e-18 2.86075e-19
9909.6380 1.31064e-18 2.88878e-19
9910.7240 1.22507e-18 2.89193e-19
9911.8100 1.37402e-18 2.90149e-19
9912.8959 9.05151e-19 3.02247e-19
9913.9819 1.13250e-18 4.29575e-19
9915.0679 1.21911e-18 9.70336e-19
9916.1538 1.64976e-18 1.28520e-18
9917.2398 1.16016e-18 1.33097e-18
9918.3258 8.56113e-19 1.29981e-18
9919.4118 1.44938e-18 1.02373e-18
9920.4977 1.51179e-18 5.31728e-19
9921.5837 1.14845e-18 3.04570e-19
9922.6697 1.90340e-18 3.03619e-19
9923.7557 2.06220e-18 3.01521e-19
9924.8416 2.10035e-18 3.56087e-19
9925.9276 2.25945e-18 3.63305e-19
9927.0136 1.59525e-18 2.99495e-19
9928.0995 1.34855e-18 2.93999e-19
9929.1855 1.13879e-18 2.78843e-19
9930.2715 1.38800e-18 2.91076e-19
9931.3575 1.55497e-18 2.98081e-19
9932.4434 1.54743e-18 2.89802e-19
9933.5294 1.87965e-18 3.91108e-19
9934.6154 1.99928e-18 3.90549e-19
9935.7014 1.66722e-18 2.98519e-19
9936.7873 1.58983e-18 2.98986e-19
9937.8733 1.17205e-18 2.87071e-19
9938.9593 1.89885e-18 3.06759e-19
9940.0452 1.76704e-18 3.18764e-19
9941.1312 1.53214e-18 3.85188e-19
9942.2172 1.89213e-18 7.98662e-19
9943.3032 7.66460e-19 1.07974e-18
9944.3891 1.29488e-18 1.13329e-18
9945.4751 7.05519e-19 1.18401e-18
9946.5611 -4.30353e-20 -1.26556e-18
9947.6471 2.43116e-18 1.45257e-18
9948.7330 1.28681e-18 1.51498e-18
9949.8190 2.97515e-18 1.48822e-18
9950.9050 2.31198e-18 1.31301e-18
9951.9910 5.31121e-19 9.40073e-19
9953.0769 1.09268e-18 6.40165e-19
9954.1629 2.12375e-18 5.05635e-19
9955.2489 1.22472e-18 3.99621e-19
9956.3348 1.14254e-18 6.49036e-19
9957.4208 -1.36170e-19 -1.05132e-18
9958.5068 -7.35284e-19 -1.22402e-18
9959.5928 3.93777e-19 1.23215e-18
9960.6787 3.90754e-19 1.20436e-18
9961.7647 5.88518e-19 9.49635e-19
9962.8507 1.06560e-18 9.90210e-19
9963.9367 2.10551e-18 1.08981e-18
9965.0226 1.42640e-18 1.08023e-18
9966.1086 2.98990e-18 9.89306e-19
9967.1946 1.65234e-18 6.35452e-19
9968.2805 1.90341e-18 3.45452e-19
9969.3665 3.52367e-18 4.14817e-19
9970.4525 1.59836e-18 2.91522e-19
9971.5385 1.56805e-18 3.27150e-19
9972.6244 2.04039e-18 6.07256e-19
9973.7104 1.96332e-18 7.38157e-19
9974.7964 1.51493e-18 7.50918e-19
9975.8824 1.14986e-18 7.25053e-19
9976.9683 9.40641e-19 5.97303e-19
9978.0543 1.30780e-18 4.20648e-19
9979.1403 7.29394e-19 3.96328e-19
9980.2262 1.33557e-18 4.25664e-19
9981.3122 1.12140e-18 4.41134e-19
9982.3982 1.32813e-18 4.32322e-19
9983.4842 1.62702e-18 4.90688e-19
9984.5701 1.90445e-18 4.31260e-19
9985.6561 1.61401e-18 2.97697e-19
9986.7421 1.53128e-18 2.83524e-19
9987.8281 2.03881e-18 2.88103e-19
9988.9140 1.53876e-18 2.69350e-19
9990.0000 1.51684e-18 2.70752e-19
9991.0860 1.39493e-18 2.63418e-19
9992.1719 1.92293e-18 2.81720e-19
9993.2579 1.92506e-18 2.82613e-19
9994.3439 1.75470e-18 2.74781e-19
9995.4299 1.48376e-18 2.65017e-19
9996.5158 1.22716e-18 2.59148e-19
9997.6018 1.63766e-18 2.68388e-19
9998.6878 1.38180e-18 2.61422e-19
9999.7738 1.35419e-18 3.11339e-19
10000.8600 1.73116e-18 4.97358e-19
10001.9460 1.71978e-18 5.69846e-19
10003.0320 1.78427e-18 5.81639e-19
10004.1180 2.02658e-18 5.81825e-19
10005.2040 1.90542e-18 4.53401e-19
10006.2900 1.51281e-18 3.25800e-19
10007.3760 1.04462e-18 2.82519e-19
10008.4620 1.69457e-18 2.74861e-19
10009.5480 1.28225e-18 2.62114e-19
10010.6330 1.62177e-18 2.86574e-19
10011.7190 7.06129e-19 4.44250e-19
10012.8050 9.10647e-19 8.72601e-19
10013.8910 1.72982e-18 1.46632e-18
10014.9770 4.18051e-18 2.28990e-18
10016.0630 1.09664e-18 2.26357e-18
10017.1490 2.46172e-18 1.53346e-18
10018.2350 1.90652e-18 9.89704e-19
10019.3210 2.76556e-18 5.60764e-19
10020.4070 1.58445e-18 3.18286e-19
10021.4930 1.67800e-18 3.08281e-19
10022.5790 1.10204e-18 3.58760e-19
10023.6650 1.23878e-18 3.76838e-19
10024.7510 1.31610e-18 3.99310e-19
10025.8370 1.12605e-18 7.05742e-19
10026.9230 9.36269e-19 8.95214e-19
10028.0090 3.50773e-18 9.46997e-19
10029.0950 1.70005e-18 1.14280e-18
10030.1810 1.35795e-18 9.72941e-19
10031.2670 1.61407e-18 4.01511e-19
10032.3530 1.40896e-18 2.80558e-19
10033.4390 1.11138e-18 2.76841e-19
10034.5250 1.47431e-18 2.92094e-19
10035.6110 1.32476e-18 2.81619e-19
10036.6970 1.44151e-18 2.81739e-19
10037.7830 1.39221e-18 2.88568e-19
10038.8690 1.47299e-18 3.09027e-19
10039.9550 1.44300e-18 3.20334e-19
10041.0410 9.91749e-19 3.71731e-19
10042.1270 9.96204e-19 3.56254e-19
10043.2130 9.61831e-19 3.16304e-19
10044.2990 1.42363e-18 5.26506e-19
10045.3850 1.24522e-18 6.08873e-19
10046.4710 1.53007e-18 6.19273e-19
10047.5570 2.03242e-18 6.06039e-19
10048.6430 1.70838e-18 4.48427e-19
10049.7290 2.03186e-18 2.86197e-19
10050.8140 1.61959e-18 2.49467e-19
10051.9000 1.44233e-18 2.52472e-19
10052.9860 1.52485e-18 2.63198e-19
10054.0720 1.31138e-18 2.63264e-19
10055.1580 1.38062e-18 2.59692e-19
10056.2440 9.68561e-19 2.45632e-19
10057.3300 1.31748e-18 2.49591e-19
10058.4160 1.50789e-18 2.60916e-19
10059.5020 1.36602e-18 3.37486e-19
10060.5880 1.41382e-18 4.58136e-19
10061.6740 6.44553e-19 8.88873e-19
10062.7600 1.30500e-18 9.49291e-19
10063.8460 1.66145e-18 7.83486e-19
10064.9320 9.31369e-19 7.20091e-19
10066.0180 1.04999e-18 4.89975e-19
10067.1040 1.10023e-18 3.67831e-19
10068.1900 1.46067e-18 4.21508e-19
10069.2760 1.92265e-18 4.37530e-19
10070.3620 7.02617e-19 4.50760e-19
10071.4480 1.11863e-18 5.21964e-19
10072.5340 8.22802e-19 5.40009e-19
10073.6200 1.74866e-18 5.45742e-19
10074.7060 1.28291e-18 5.01079e-19
10075.7920 1.67060e-18 4.21469e-19
10076.8780 1.28593e-18 2.90379e-19
10077.9640 1.18148e-18 2.55055e-19
10079.0500 2.04864e-18 2.79134e-19
10080.1360 1.44950e-18 2.76370e-19
10081.2220 1.10188e-18 2.76390e-19
10082.3080 9.23046e-19 4.63681e-19
10083.3940 2.58419e-20 1.08565e-18
10084.4800 1.33695e-18 1.21491e-18
10085.5660 6.87088e-19 1.22249e-18
10086.6520 1.34103e-18 1.23714e-18
10087.7380 9.19636e-19 7.66055e-19
10088.8240 1.57538e-18 3.08355e-19
10089.9100 1.30968e-18 2.60538e-19
10090.9950 1.66065e-18 2.70210e-19
10092.0810 1.61113e-18 3.59024e-19
10093.1670 1.02081e-18 3.34065e-19
10094.2530 1.58636e-18 2.67242e-19
10095.3390 1.20738e-18 2.54469e-19
10096.4250 1.94023e-18 2.75694e-19
10097.5110 1.54700e-18 2.86802e-19
10098.5970 1.51850e-18 3.12396e-19
10099.6830 1.42944e-18 3.18648e-19
10100.7690 1.49431e-18 3.21813e-19
10101.8550 1.16296e-18 3.10077e-19
10102.9410 1.77783e-18 3.20149e-19
10104.0270 7.03195e-19 5.85148e-19
10105.1130 1.38434e-18 8.21382e-19
10106.1990 1.06990e-18 8.59722e-19
10107.2850 1.64603e-18 8.58118e-19
10108.3710 1.87409e-18 7.06995e-19
10109.4570 2.14310e-18 3.38465e-19
10110.5430 2.04252e-18 2.67397e-19
10111.6290 1.23947e-18 2.39294e-19
10112.7150 1.67372e-18 2.46761e-19
10113.8010 1.28163e-18 2.66929e-19
10114.8870 1.49647e-18 2.66649e-19
10115.9730 2.19557e-18 3.61765e-19
10117.0590 1.80506e-18 3.48385e-19
10118.1450 1.43881e-18 2.39630e-19
10119.2310 1.41374e-18 2.34925e-19
10120.3170 9.42208e-19 2.35317e-19
10121.4030 1.33232e-18 2.40924e-19
10122.4890 1.31723e-18 2.67127e-19
10123.5750 1.38213e-18 4.40139e-19
10124.6610 1.78838e-18 1.04737e-18
10125.7470 9.15936e-19 1.34479e-18
10126.8330 1.61298e-18 1.36181e-18
10127.9190 2.78043e-18 1.32254e-18
10129.0050 2.42600e-18 1.01045e-18
10130.0900 1.77637e-18 3.58212e-19
10131.1760 1.41829e-18 2.59060e-19
10132.2620 1.29039e-18 2.62260e-19
10133.3480 1.31908e-18 3.05702e-19
10134.4340 1.29578e-18 3.42765e-19
10135.5200 1.25321e-18 3.43469e-19
10136.6060 1.45676e-18 3.40905e-19
10137.6920 1.30112e-18 3.08214e-19
10138.7780 1.60361e-18 2.71228e-19
10139.8640 2.07239e-18 4.31861e-19
10140.9500 2.18103e-18 4.42481e-19
10142.0360 1.45123e-18 2.51041e-19
10143.1220 1.53541e-18 2.64669e-19
10144.2080 1.52697e-18 3.30737e-19
10145.2940 1.60178e-18 4.01588e-19
10146.3800 1.51236e-18 4.10736e-19
