lambda f_lambda fErr_lambda
9139.667900000377 3.551335110623944e-19 -0.0
9140.753900000376 3.551335110623944e-19 -0.0
9141.839900000376 3.551335110623944e-19 -0.0
9142.925900000375 3.551335110623944e-19 -0.0
9144.011900000374 3.551335110623944e-19 -0.0
9145.097900000374 3.551335110623944e-19 -0.0
9146.183900000373 3.551335110623944e-19 -0.0
9147.269900000372 3.551335110623944e-19 -0.0
9148.355900000372 3.551335110623944e-19 -0.0
9149.44190000037 3.551335110623944e-19 -0.0
9150.52790000037 3.551335110623944e-19 -0.0
9151.61390000037 3.551335110623944e-19 -0.0
9152.699900000369 3.551335110623944e-19 -0.0
9153.785900000368 3.551335110623944e-19 -0.0
9154.871900000368 3.551335110623944e-19 -0.0
9155.957900000367 3.551335110623944e-19 -0.0
9157.043900000366 3.551335110623944e-19 -0.0
9158.129900000366 3.551335110623944e-19 -0.0
9159.215900000365 3.551335110623944e-19 -0.0
9160.301900000364 3.551335110623944e-19 -0.0
9161.387900000364 3.551335110623944e-19 -0.0
9162.473900000363 3.551335110623944e-19 -0.0
9163.559900000362 3.551335110623944e-19 -0.0
9164.645900000362 3.551335110623944e-19 -0.0
9165.73190000036 3.551335110623944e-19 -0.0
9166.81790000036 3.551335110623944e-19 -0.0
9167.90390000036 3.551335110623944e-19 -0.0
9168.989900000359 3.551335110623944e-19 -0.0
9170.075900000358 3.551335110623944e-19 -0.0
9171.161900000357 3.551335110623944e-19 -0.0
9172.247900000357 3.551335110623944e-19 -0.0
9173.333900000356 3.551335110623944e-19 -0.0
9174.419900000355 3.551335110623944e-19 -0.0
9175.505900000355 3.551335110623944e-19 -0.0
9176.591900000354 3.551335110623944e-19 -0.0
9177.677900000353 3.551335110623944e-19 -0.0
9178.763900000353 3.551335110623944e-19 -0.0
9179.849900000352 3.551335110623944e-19 -0.0
9180.935900000351 3.551335110623944e-19 -0.0
9182.02190000035 3.551335110623944e-19 -0.0
9183.10790000035 3.551335110623944e-19 -0.0
9184.19390000035 3.551335110623944e-19 -0.0
9185.279900000349 3.551335110623944e-19 -0.0
9186.365900000348 3.551335110623944e-19 -0.0
9187.451900000347 3.551335110623944e-19 -0.0
9188.537900000347 3.551335110623944e-19 -0.0
9189.623900000346 3.551335110623944e-19 -0.0
9190.709900000345 3.551335110623944e-19 -0.0
9191.795900000345 3.551335110623944e-19 -0.0
9192.881900000344 3.551335110623944e-19 -0.0
9193.967900000343 3.551335110623944e-19 -0.0
9195.053900000343 3.551335110623944e-19 -0.0
9196.139900000342 3.551335110623944e-19 -0.0
9197.225900000341 3.551335110623944e-19 -0.0
9198.31190000034 3.551335110623944e-19 -0.0
9199.39790000034 3.551335110623944e-19 -0.0
9200.48390000034 3.551335110623944e-19 -0.0
9201.569900000339 3.551335110623944e-19 -0.0
9202.655900000338 3.551335110623944e-19 -0.0
9203.741900000337 3.551335110623944e-19 -0.0
9204.827900000337 3.551335110623944e-19 -0.0
9205.913900000336 3.551335110623944e-19 -0.0
9206.999900000335 3.551335110623944e-19 -0.0
9208.085900000335 3.551335110623944e-19 -0.0
9209.171900000334 3.551335110623944e-19 -0.0
9210.257900000333 3.551335110623944e-19 -0.0
9211.343900000333 3.551335110623944e-19 -0.0
9212.429900000332 3.551335110623944e-19 -0.0
9213.515900000331 3.551335110623944e-19 -0.0
9214.60190000033 3.551335110623944e-19 -0.0
9215.68790000033 3.551335110623944e-19 -0.0
9216.77390000033 3.551335110623944e-19 -0.0
9217.859900000329 3.551335110623944e-19 -0.0
9218.945900000328 3.551335110623944e-19 -0.0
9220.031900000327 3.551335110623944e-19 -0.0
9221.117900000327 3.551335110623944e-19 -0.0
9222.203900000326 3.551335110623944e-19 -0.0
9223.289900000325 3.551335110623944e-19 -0.0
9224.375900000325 3.551335110623944e-19 -0.0
9225.461900000324 3.551335110623944e-19 -0.0
9226.547900000323 3.551335110623944e-19 -0.0
9227.633900000323 3.551335110623944e-19 -0.0
9228.719900000322 3.551335110623944e-19 -0.0
9229.805900000321 3.551335110623944e-19 -0.0
9230.89190000032 3.551335110623944e-19 -0.0
9231.97790000032 3.551335110623944e-19 -0.0
9233.06390000032 3.551335110623944e-19 -0.0
9234.149900000319 3.551335110623944e-19 -0.0
9235.235900000318 3.551335110623944e-19 -0.0
9236.321900000317 3.551335110623944e-19 -0.0
9237.407900000317 3.551335110623944e-19 -0.0
9238.493900000316 3.551335110623944e-19 -0.0
9239.579900000315 3.551335110623944e-19 -0.0
9240.665900000315 3.551335110623944e-19 -0.0
9241.751900000314 3.551335110623944e-19 -0.0
9242.837900000313 3.551335110623944e-19 -0.0
9243.923900000313 3.551335110623944e-19 -0.0
9245.009900000312 3.551335110623944e-19 -0.0
9246.095900000311 3.551335110623944e-19 -0.0
9247.18190000031 3.551335110623944e-19 -0.0
9248.26790000031 3.551335110623944e-19 -0.0
9249.35390000031 3.551335110623944e-19 -0.0
9250.439900000309 3.551335110623944e-19 -0.0
9251.525900000308 3.551335110623944e-19 -0.0
9252.611900000307 3.551335110623944e-19 -0.0
9253.697900000307 3.551335110623944e-19 -0.0
9254.783900000306 3.551335110623944e-19 -0.0
9255.869900000305 3.551335110623944e-19 -0.0
9256.955900000305 3.551335110623944e-19 -0.0
9258.041900000304 3.551335110623944e-19 -0.0
9259.127900000303 3.551335110623944e-19 -0.0
9260.213900000303 3.551335110623944e-19 -0.0
9261.299900000302 3.551335110623944e-19 -0.0
9262.385900000301 3.551335110623944e-19 -0.0
9263.4719000003 3.551335110623944e-19 -0.0
