       9750.0000         -NaN         -NaN             NaN
       9751.0860      23416.2      156.898       23416.179
       9752.1719      23754.1      157.977       23754.059
       9753.2579      24453.7      160.296       24453.658
       9754.3439      24948.0      161.870       24947.987
       9755.4299      24987.1      161.986       24987.129
       9756.5158      24899.5      161.726       24899.509
       9757.6018      24984.2      162.052       24984.231
       9758.6878      24830.6      161.524       24830.644
       9759.7738      24976.9      162.092       24976.863
       9760.8597      25151.6      162.486       25151.610
       9761.9457      25917.3      164.993       25917.278
       9763.0317      26481.8      166.569       26481.828
       9764.1176      26282.7      165.968       26282.735
       9765.2036      25782.6      164.420       25782.633
       9766.2896      26059.2      165.333       26059.159
       9767.3756      26813.3      167.564       26813.318
       9768.4615      27517.1      169.449       27517.064
       9769.5475      27784.8      170.484       27784.820
       9770.6335      28034.8      171.321       28034.844
       9771.7195      28267.5      172.029       28267.468
       9772.8054      28576.5      172.918       28576.485
       9773.8914      28468.3      172.475       28468.276
       9774.9774      28461.5      172.395       28461.473
       9776.0633      28400.8      172.290       28400.808
       9777.1493      28479.9      172.435       28479.933
       9778.2353      28549.1      172.650       28549.073
       9779.3213      28650.8      173.052       28650.781
       9780.4072      28666.1      173.083       28666.086
       9781.4932      28715.7      173.236       28715.672
       9782.5792      28999.3      174.066       28999.324
       9783.6652      28565.0      172.755       28564.998
       9784.7511      28279.2      171.941       28279.250
       9785.8371      28746.2      173.444       28746.159
       9786.9231      29319.0      175.167       29318.996
       9788.0090      29779.4      176.453       29779.398
       9789.0950      29872.7      176.884       29872.737
       9790.1810      29871.2      176.801       29871.172
       9791.2670      29763.1      176.611       29763.092
       9792.3529      29904.8      177.170       29904.771
       9793.4389      29795.6      176.692       29795.637
       9794.5249      29393.1      175.390       29393.109
       9795.6109      29491.2      175.573       29491.152
       9796.6968      30039.7      177.116       30039.719
       9797.7828      30499.1      178.556       30499.082
       9798.8688      30560.0      178.614       30559.981
       9799.9548      30853.3      179.554       30853.345
       9801.0407      30978.0      179.930       30977.978
       9802.1267      30598.0      178.829       30598.001
       9803.2127      29943.9      177.076       29943.858
       9804.2986      29131.8      174.663       29131.762
       9805.3846      29810.0      176.837       29809.957
       9806.4706      31062.9      180.035       31062.948
       9807.5566      31193.1      180.518       31193.111
       9808.6425      31159.3      180.335       31159.282
       9809.7285      31241.1      180.677       31241.120
       9810.8145      31795.6      182.104       31795.648
       9811.9005      31805.4      182.049       31805.376
       9812.9864      31750.3      181.939       31750.291
       9814.0724      31863.6      182.315       31863.644
       9815.1584      31501.7      181.402       31501.712
       9816.2443      30952.2      179.791       30952.196
       9817.3303      31363.8      181.075       31363.782
       9818.4163      32003.8      182.757       32003.794
       9819.5023      32259.0      183.440       32258.976
       9820.5882      32416.0      183.924       32415.984
       9821.6742      32499.2      184.251       32499.150
       9822.7602      32352.2      183.803       32352.171
       9823.8462      32520.2      184.163       32520.202
       9824.9321      32467.0      183.884       32467.041
       9826.0181      32099.5      183.058       32099.458
       9827.1041      31905.1      182.427       31905.073
       9828.1900      31879.8      182.390       31879.814
       9829.2760      32343.9      183.632       32343.899
       9830.3620      32808.1      184.960       32808.050
       9831.4480      32965.3      185.415       32965.336
       9832.5339      32932.8      185.511       32932.765
       9833.6199      32970.1      185.716       32970.098
       9834.7059      32883.4      185.315       32883.407
       9835.7919      32875.0      185.096       32875.020
       9836.8778      33357.5      186.451       33357.533
       9837.9638      33460.0      186.927       33460.023
       9839.0498      33257.3      186.387       33257.277
       9840.1357      33313.1      186.463       33313.126
       9841.2217      33147.2      185.921       33147.186
       9842.3077      33586.5      187.085       33586.453
       9843.3937      33530.7      186.861       33530.659
       9844.4796      33245.4      186.062       33245.396
       9845.5656      33416.3      186.784       33416.339
       9846.6516      33355.3      186.427       33355.316
       9847.7376      33565.0      186.890       33565.008
       9848.8235      33691.5      187.326       33691.513
       9849.9095      33384.4      186.504       33384.388
       9850.9955      33731.2      187.538       33731.241
       9852.0814      33603.7      187.267       33603.668
       9853.1674      33427.3      186.705       33427.253
       9854.2534      33477.1      186.789       33477.101
       9855.3394      33938.8      187.881       33938.780
       9856.4253      34058.1      188.291       34058.073
       9857.5113      34074.7      188.338       34074.723
       9858.5973      33868.0      187.787       33867.958
       9859.6833      33711.4      187.366       33711.436
       9860.7692      34218.2      188.909       34218.218
       9861.8552      34623.1      189.908       34623.058
       9862.9412      34562.2      189.660       34562.236
       9864.0271      34674.1      190.017       34674.116
       9865.1131      34697.2      190.521       34697.191
       9866.1991      34789.6      190.717       34789.556
       9867.2851      34646.6      189.829       34646.568
       9868.3710      34682.1      189.925       34682.090
       9869.4570      34804.9      190.475       34804.923
       9870.5430      34783.2      190.329       34783.250
       9871.6290      35197.8      191.354       35197.826
       9872.7149      34926.3      190.925       34926.333
       9873.8009      34933.4      191.050       34933.432
       9874.8869      35341.2      192.114       35341.167
       9875.9729      35192.0      191.690       35192.047
       9877.0588      35268.4      191.648       35268.375
       9878.1448      35334.4      192.113       35334.425
       9879.2308      35243.1      191.897       35243.135
       9880.3167      35522.9      192.258       35522.917
       9881.4027      35578.1      192.396       35578.087
       9882.4887      35676.0      192.650       35675.965
       9883.5747      35695.2      192.809       35695.244
       9884.6606      36097.6      193.707       36097.583
       9885.7466      35741.8      192.792       35741.773
       9886.8326      35591.9      192.448       35591.887
       9887.9186      35531.9      192.327       35531.922
       9889.0045      35650.1      192.644       35650.128
       9890.0905      35967.2      193.642       35967.184
       9891.1765      35800.0      193.170       35800.039
       9892.2624      35952.8      193.328       35952.838
       9893.3484      35964.0      193.385       35964.021
       9894.4344      36288.6      194.200       36288.607
       9895.5204      36531.8      194.810       36531.756
       9896.6063      36239.4      194.255       36239.386
       9897.6923      36001.5      193.417       36001.477
       9898.7783      36386.1      194.578       36386.056
       9899.8643      37164.6      196.611       37164.552
       9900.9502      36980.7      196.094       36980.670
       9902.0362      36928.7      196.020       36928.734
       9903.1222      37107.2      196.397       37107.222
       9904.2081      37079.1      196.397       37079.117
       9905.2941      37087.3      196.546       37087.302
       9906.3801      37314.6      197.184       37314.550
       9907.4661      37676.6      198.150       37676.557
       9908.5520      37724.1      198.148       37724.090
       9909.6380      37815.4      198.219       37815.431
       9910.7240      37936.0      198.512       37936.030
       9911.8100      38123.2      199.119       38123.194
       9912.8959      37990.4      198.808       37990.380
       9913.9819      38062.2      199.022       38062.162
       9915.0679      38187.1      199.447       38187.113
       9916.1538      38730.0      200.951       38729.989
       9917.2398      38578.8      200.516       38578.811
       9918.3258      38607.4      200.549       38607.370
       9919.4118      38852.6      201.006       38852.606
       9920.4977      38923.6      201.089       38923.555
       9921.5837      38841.9      200.822       38841.916
       9922.6697      38852.7      200.761       38852.658
       9923.7557      38745.9      200.694       38745.901
       9924.8416      38992.7      201.251       38992.686
       9925.9276      39360.6      202.100       39360.568
       9927.0136      39298.4      201.971       39298.434
       9928.0995      39004.8      201.234       39004.764
       9929.1855      38569.9      200.250       38569.863
       9930.2715      38785.2      200.687       38785.159
       9931.3575      39482.1      202.583       39482.134
       9932.4434      39477.6      202.525       39477.565
       9933.5294      39533.3      202.644       39533.260
       9934.6154      39769.2      203.319       39769.204
       9935.7014      39682.2      203.102       39682.184
       9936.7873      39868.2      203.516       39868.234
       9937.8733      39977.4      203.803       39977.374
       9938.9593      39917.8      203.757       39917.772
       9940.0452      39224.1      202.293       39224.060
       9941.1312      39590.4      203.362       39590.384
       9942.2172      39953.0      203.716       39953.043
       9943.3032      40056.0      203.891       40055.980
       9944.3891      39826.3      203.533       39826.286
       9945.4751      40421.3      205.125       40421.289
       9946.5611      40553.5      205.530       40553.459
       9947.6471      40271.7      204.646       40271.693
       9948.7330      40344.8      204.880       40344.768
       9949.8190      40309.3      204.933       40309.280
       9950.9050      40532.2      205.337       40532.205
       9951.9910      41097.6      206.512       41097.590
       9953.0769      41454.2      207.511       41454.170
       9954.1629      41419.7      207.356       41419.709
       9955.2489      41405.0      207.337       41405.015
       9956.3348      41522.4      207.783       41522.382
       9957.4208      41662.2      208.143       41662.182
       9958.5068      41510.0      207.845       41509.956
       9959.5928      41715.4      208.378       41715.418
       9960.6787      41766.1      208.423       41766.091
       9961.7647      41882.3      208.543       41882.314
       9962.8507      41927.4      208.628       41927.425
       9963.9367      41791.0      208.344       41791.020
       9965.0226      41835.6      208.423       41835.590
       9966.1086      42089.0      208.973       42088.990
       9967.1946      42293.2      209.365       42293.157
       9968.2805      42267.4      209.255       42267.385
       9969.3665      42240.5      209.335       42240.534
       9970.4525      42467.7      209.749       42467.658
       9971.5385      42359.7      209.561       42359.739
       9972.6244      42546.5      210.104       42546.476
       9973.7104      42570.9      210.221       42570.885
       9974.7964      42716.0      210.493       42716.006
       9975.8824      42769.0      210.469       42769.002
       9976.9683      42920.0      210.856       42919.969
       9978.0543      43115.6      211.369       43115.605
       9979.1403      42794.7      210.634       42794.665
       9980.2262      42643.7      210.192       42643.681
       9981.3122      43276.2      211.814       43276.167
       9982.3982      43443.9      212.139       43443.901
       9983.4842      43500.1      212.347       43500.125
       9984.5701      43396.4      212.025       43396.385
       9985.6561      43273.0      211.703       43273.016
       9986.7421      43271.8      211.771       43271.837
       9987.8281      42983.5      211.080       42983.498
       9988.9140      43367.4      211.981       43367.414
       9990.0000      43225.3      211.637       43225.319
       9991.0860      43159.3      211.429       43159.260
       9992.1719      43080.1      211.268       43080.130
       9993.2579      43098.5      211.233       43098.460
       9994.3439      43250.4      211.613       43250.436
       9995.4299      42993.0      211.035       42992.982
       9996.5158      43329.0      211.835       43329.034
       9997.6018      43332.0      211.956       43331.973
       9998.6878      42745.7      210.518       42745.657
       9999.7738      42458.6      209.837       42458.581
       10000.860      42848.5      210.916       42848.544
       10001.946      43014.3      211.289       43014.306
       10003.032      43112.3      211.423       43112.291
       10004.118      42797.9      210.858       42797.937
       10005.204      42862.6      210.881       42862.618
       10006.290      43060.0      211.199       43060.029
       10007.376      42942.2      211.040       42942.220
       10008.462      43264.5      211.849       43264.547
       10009.548      42811.6      210.699       42811.566
       10010.633      42984.4      211.081       42984.368
       10011.719      42857.7      210.781       42857.681
       10012.805      42663.2      210.494       42663.185
       10013.891      42671.3      210.655       42671.255
       10014.977      42632.1      210.677       42632.068
       10016.063      42879.3      211.537       42879.302
       10017.149      42493.3      210.424       42493.278
       10018.235      41988.4      208.914       41988.393
       10019.321      41852.2      208.384       41852.231
       10020.407      42495.7      209.825       42495.671
       10021.493      42321.8      209.526       42321.756
       10022.579      42429.4      209.680       42429.368
       10023.665      42139.7      209.128       42139.698
       10024.751      41628.2      208.046       41628.160
       10025.837      41766.1      208.311       41766.126
       10026.923      42168.5      209.444       42168.513
       10028.009      41630.3      208.160       41630.332
       10029.095      41107.7      206.937       41107.737
       10030.181      39874.5      203.917       39874.504
       10031.267      40314.9      205.112       40314.875
       10032.353      40148.8      204.295       40148.797
       10033.439      39186.5      201.988       39186.511
       10034.525      38876.1      201.114       38876.092
       10035.611      39051.2      201.509       39051.175
       10036.697      38896.8      201.183       38896.807
       10037.783      38712.6      200.787       38712.574
       10038.869      38100.9      199.232       38100.912
       10039.955      37413.0      197.416       37413.038
       10041.041      36577.0      195.213       36577.041
       10042.127      35988.3      193.548       35988.304
       10043.213      35382.3      192.341       35382.294
       10044.299      34577.4      190.118       34577.395
       10045.385      33871.8      188.106       33871.799
       10046.471      32813.0      185.277       32812.978
       10047.557      32268.2      183.701       32268.248
       10048.643      31629.9      181.988       31629.864
       10049.729      30944.4      179.913       30944.375
       10050.814      30542.5      178.744       30542.539
       10051.900      30226.2      178.339       30226.207
       10052.986      30770.9      179.404       30770.948
       10054.072      30878.2      179.487       30878.212
       10055.158      30958.3      180.138       30958.255
       10056.244      32265.5      183.766       32265.523
       10057.330      33641.7      187.401       33641.653
       10058.416      34846.4      190.773       34846.355
       10059.502      35918.9      193.604       35918.861
       10060.588      36398.5      194.855       36398.502
       10061.674      37264.3      197.127       37264.267
       10062.760      38115.4      199.302       38115.440
       10063.846      38900.2      201.396       38900.217
       10064.932      39376.3      202.211       39376.259
       10066.018      39207.6      201.873       39207.562
       10067.104      39347.8      202.244       39347.754
       10068.190      40566.0      205.112       40566.042
       10069.276      40992.4      206.133       40992.374
       10070.362      41922.0      208.446       41922.012
       10071.448      41889.9      208.460       41889.948
       10072.534      42218.4      209.456       42218.418
       10073.620      41904.8      208.889       41904.748
       10074.706      43126.8      211.435       43126.796
       10075.792      43510.2      212.576       43510.235
       10076.878      44061.3      213.755       44061.279
       10077.964      44109.8      213.883       44109.782
       10079.050      44243.0      214.029       44242.989
       10080.136      44418.1      214.636       44418.079
       10081.222      44568.2      214.873       44568.151
       10082.308      44891.5      215.690       44891.495
       10083.394      44944.5      215.842       44944.460
       10084.480      45505.3      217.435       45505.322
       10085.566      45358.5      217.031       45358.505
       10086.652      45412.4      217.408       45412.394
       10087.738      44777.6      215.744       44777.578
       10088.824      45032.3      215.859       45032.258
       10089.910      45304.4      216.633       45304.434
       10090.995      44769.5      215.472       44769.495
       10092.081      44262.8      214.233       44262.798
       10093.167      45186.3      216.279       45186.259
       10094.253      45724.3      217.623       45724.319
       10095.339      45947.4      217.975       45947.438
       10096.425      46047.8      218.249       46047.760
       10097.511      47178.5      221.001       47178.482
       10098.597      47615.7      221.895       47615.689
       10099.683      47518.6      221.666       47518.592
       10100.769      47566.9      221.836       47566.853
       10101.855      47723.3      222.228       47723.279
       10102.941      48039.4      222.904       48039.418
       10104.027      48297.2      223.552       48297.153
       10105.113      48258.7      223.510       48258.721
       10106.199      48069.3      223.166       48069.315
       10107.285      48060.1      223.054       48060.085
       10108.371      48002.9      222.862       48002.887
       10109.457      47894.1      222.511       47894.086
       10110.543      48333.0      223.484       48332.959
       10111.629      48620.1      224.247       48620.066
       10112.715      48387.2      223.579       48387.152
       10113.801      48178.1      223.090       48178.145
       10114.887      48512.4      223.934       48512.386
       10115.973      48731.9      224.420       48731.854
       10117.059      48757.8      224.541       48757.813
       10118.145      48772.8      224.530       48772.812
       10119.231      48960.5      224.952       48960.470
       10120.317      48585.7      224.112       48585.712
       10121.403      48754.9      224.419       48754.930
       10122.489      48934.9      224.889       48934.926
       10123.575      49025.1      225.110       49025.072
       10124.661      49243.0      225.781       49243.018
       10125.747      49285.0      226.066       49285.009
       10126.833      49338.1      226.355       49338.062
       10127.919      49200.3      226.053       49200.258
       10129.005      49272.9      225.917       49272.930
       10130.090      49443.3      225.968       49443.312
