       9750.0000         -NaN         -NaN             NaN
       9915.0679      47014.4      215.533       47014.429
       9916.1538      47720.3      219.236       47720.310
       9917.2398      47660.6      218.958       47660.578
       9918.3258      47365.4      219.121       47365.376
       9919.4118      47463.7      218.209       47463.721
       9920.4977      48046.4      216.446       48046.422
       9921.5837      48183.8      223.445       48183.786
       9922.6697      48094.7      219.181       48094.672
       9923.7557      48041.0      219.089       48040.964
       9924.8416      48148.4      219.876       48148.442
       9925.9276      48313.5      221.137       48313.474
       9927.0136      48171.4      219.279       48171.370
       9928.0995      48229.9      214.515       48229.854
       9929.1855      47985.7      218.356       47985.712
       9930.2715      48931.7      210.821       48931.691
       9931.3575      49184.3      197.982       49184.275
       9932.4434      49371.5      224.116       49371.507
       9933.5294      48600.3      218.536       48600.280
       9934.6154      48927.0      221.082       48927.004
       9935.7014      49487.8      220.166       49487.779
       9936.7873      49704.5      222.952       49704.506
       9937.8733      49769.3      223.226       49769.301
       9938.9593      49514.3      221.741       49514.326
       9940.0452      49803.2      217.042       49803.160
       9941.1312      49768.0      254.140       49768.037
       9942.2172      50005.5      223.805       50005.547
       9943.3032      50234.9      223.790       50234.948
       9944.3891      49967.4      220.822       49967.365
       9945.4751      50690.2      225.291       50690.224
       9946.5611      51239.5      226.375       51239.522
       9947.6471      50748.5      224.698       50748.485
       9948.7330      51150.7      224.315       51150.742
       9949.8190      51210.2      226.111       51210.187
       9950.9050      50969.3      227.144       50969.302
       9951.9910      51079.8      225.901       51079.785
       9953.0769      51671.3      226.427       51671.308
       9954.1629      51656.3      256.952       51656.310
       9955.2489      52143.7      229.173       52143.710
       9956.3348      52009.6      226.383       52009.612
       9957.4208      51798.5      228.032       51798.498
       9958.5068      51528.9      227.421       51528.934
       9959.5928      51737.3      227.658       51737.331
       9960.6787      52181.4      229.234       52181.352
       9961.7647      52174.3      229.847       52174.317
       9962.8507      52068.4      226.882       52068.354
       9963.9367      51840.7      225.804       51840.655
       9965.0226      52359.2      229.833       52359.153
       9966.1086      52569.6      229.586       52569.584
       9967.1946      52188.2      228.406       52188.202
       9968.2805      52525.3      229.051       52525.338
       9969.3665      52724.9      229.576       52724.911
       9970.4525      52583.1      228.970       52583.132
       9971.5385      52879.8      230.068       52879.824
       9972.6244      52944.7      229.125       52944.712
       9973.7104      53560.6      232.162       53560.604
       9974.7964      54056.2      233.027       54056.247
       9975.8824      53467.2      231.729       53467.232
       9976.9683      53467.5      232.454       53467.505
       9978.0543      53623.8      231.522       53623.815
       9979.1403      53630.7      231.741       53630.691
       9980.2262      53648.9      232.431       53648.896
       9981.3122      53518.6      231.367       53518.595
       9982.3982      53524.3      235.815       53524.327
       9983.4842      53650.3      235.548       53650.252
       9984.5701      53974.1      233.386       53974.063
       9985.6561      53875.3      230.635       53875.252
       9986.7421      54052.5      233.089       54052.519
       9987.8281      53708.3      230.317       53708.322
       9988.9140      54124.9      233.035       54124.882
       9990.0000      54321.1      232.618       54321.137
       9991.0860      54166.8      231.927       54166.815
       9992.1719      53795.2      234.268       53795.196
       9993.2579      52790.0      228.822       52789.996
       9994.3439      53091.7      224.530       53091.655
       9995.4299      54024.3      222.793       54024.320
       9996.5158      53738.8      226.353       53738.756
       9997.6018      53901.6      232.226       53901.600
       9998.6878      53997.5      232.121       53997.531
       9999.7738      53609.8      231.860       53609.800
       10000.860      53843.7      233.381       53843.725
