       9750.0000         -NaN         -NaN             NaN
       9751.0860      24960.7      162.718       24960.694
       9752.1719      24991.2      162.698       24991.241
       9753.2579      26565.8      167.459       26565.849
       9754.3439      26970.0      168.480       26970.036
       9755.4299      26678.6      168.100       26678.554
       9756.5158      26402.0      167.284       26402.003
       9757.6018      27040.6      169.307       27040.593
       9758.6878      26718.7      168.133       26718.712
       9759.7738      26360.7      167.168       26360.660
       9760.8597      26868.2      168.531       26868.205
       9761.9457      28535.1      173.677       28535.063
       9763.0317      28670.0      173.815       28669.968
       9764.1176      27971.6      171.986       27971.583
       9765.2036      27220.7      169.728       27220.745
       9766.2896      27690.0      170.988       27689.987
       9767.3756      29258.6      175.399       29258.646
       9768.4615      29962.6      177.574       29962.580
       9769.5475      30375.3      178.813       30375.337
       9770.6335      30548.7      179.521       30548.724
       9771.7195      30766.4      179.733       30766.397
       9772.8054      31000.2      180.588       31000.156
       9773.8914      30940.0      180.245       30940.008
       9774.9774      30904.4      180.311       30904.353
       9776.0633      30711.1      179.439       30711.130
       9777.1493      31187.0      180.728       31187.007
       9778.2353      31062.9      180.619       31062.865
       9779.3213      31127.0      180.808       31126.996
       9780.4072      31179.5      180.831       31179.543
       9781.4932      31278.1      181.237       31278.122
       9782.5792      31428.1      181.776       31428.081
       9783.6652      30645.9      179.364       30645.925
       9784.7511      30404.3      178.666       30404.275
       9785.8371      31469.6      181.827       31469.563
       9786.9231      32337.4      184.036       32337.400
       9788.0090      32582.1      184.887       32582.085
       9789.0950      32732.2      185.283       32732.170
       9790.1810      32581.6      185.062       32581.598
       9791.2670      32465.5      184.612       32465.507
       9792.3529      32350.7      184.508       32350.657
       9793.4389      31965.0      183.310       31964.970
       9794.5249      32019.3      183.576       32019.346
       9795.6109      31927.1      183.157       31927.142
       9796.6968      32691.5      185.168       32691.458
       9797.7828      33394.4      187.108       33394.370
       9798.8688      33144.7      186.330       33144.740
       9799.9548      33065.5      186.003       33065.526
       9801.0407      32522.6      184.651       32522.585
       9802.1267      32119.4      183.526       32119.424
       9803.2127      32540.3      184.924       32540.257
       9804.2986      32713.7      185.627       32713.721
       9805.3846      33284.2      187.072       33284.171
       9806.4706      34301.0      189.531       34300.991
       9807.5566      34622.7      190.464       34622.682
       9808.6425      34475.7      190.164       34475.693
       9809.7285      34901.3      191.266       34901.278
       9810.8145      34715.7      190.587       34715.709
       9811.9005      34201.8      189.479       34201.836
       9812.9864      33704.9      188.117       33704.872
       9814.0724      34153.5      189.420       34153.524
       9815.1584      34920.4      191.242       34920.437
       9816.2443      35332.6      192.425       35332.557
       9817.3303      35179.1      191.851       35179.096
       9818.4163      34981.6      191.518       34981.599
       9819.5023      35414.4      192.638       35414.446
       9820.5882      35620.7      193.113       35620.696
       9821.6742      35505.3      192.613       35505.338
       9822.7602      35431.1      192.576       35431.108
       9823.8462      35232.4      191.875       35232.438
       9824.9321      34894.2      191.205       34894.229
       9826.0181      34449.8      190.043       34449.815
       9827.1041      34747.7      190.876       34747.701
       9828.1900      34536.4      190.199       34536.386
       9829.2760      34981.0      191.483       34981.039
       9830.3620      35692.9      193.330       35692.910
       9831.4480      35814.4      193.777       35814.431
       9832.5339      35815.0      193.459       35815.045
       9833.6199      35404.4      192.417       35404.391
       9834.7059      35435.3      192.662       35435.304
       9835.7919      36060.6      194.016       36060.554
       9836.8778      36328.6      194.768       36328.556
       9837.9638      36176.3      194.522       36176.293
       9839.0498      36217.3      194.611       36217.347
       9840.1357      36335.2      194.906       36335.188
       9841.2217      36331.4      194.993       36331.404
       9842.3077      36483.2      195.330       36483.202
       9843.3937      36737.1      195.802       36737.056
       9844.4796      36723.8      195.918       36723.750
       9845.5656      36492.9      195.398       36492.855
       9846.6516      36351.7      194.948       36351.703
       9847.7376      36731.2      195.975       36731.250
       9848.8235      36594.2      195.593       36594.153
       9849.9095      36449.5      195.379       36449.531
       9850.9955      36429.4      195.214       36429.374
       9852.0814      36887.4      196.130       36887.361
       9853.1674      36872.5      196.214       36872.522
       9854.2534      36825.8      196.163       36825.840
       9855.3394      36876.5      196.506       36876.506
       9856.4253      36227.9      194.775       36227.917
       9857.5113      36393.4      195.184       36393.417
       9858.5973      37142.2      197.240       37142.250
       9859.6833      37456.9      197.905       37456.899
       9860.7692      37385.9      197.537       37385.863
       9861.8552      37404.9      197.694       37404.943
       9862.9412      37462.1      197.967       37462.075
       9864.0271      37118.9      197.196       37118.933
       9865.1131      37497.8      198.028       37497.803
       9866.1991      37804.2      198.762       37804.246
       9867.2851      37681.5      198.544       37681.543
       9868.3710      37763.1      198.680       37763.052
       9869.4570      37762.9      198.676       37762.860
       9870.5430      37527.4      198.352       37527.435
       9871.6290      37818.5      198.979       37818.506
       9872.7149      37837.8      198.950       37837.824
       9873.8009      37459.6      198.195       37459.569
       9874.8869      37631.9      198.671       37631.888
