       9750.0000         -NaN         -NaN             NaN
       9751.0860      18641.1      140.074       18641.100
       9752.1719      19051.0      142.558       19051.037
       9753.2579      19629.9      144.467       19629.855
       9754.3439      19809.9      145.079       19809.914
       9755.4299      19944.7      145.417       19944.709
       9756.5158      19947.3      145.506       19947.282
       9757.6018      20127.9      145.982       20127.868
       9758.6878      20009.3      145.788       20009.269
       9759.7738      20162.6      145.923       20162.588
       9760.8597      20363.2      146.250       20363.178
       9761.9457      20677.0      147.749       20677.035
       9763.0317      20837.9      148.684       20837.894
       9764.1176      20750.1      147.807       20750.084
       9765.2036      20502.6      146.987       20502.628
       9766.2896      20894.1      148.730       20894.073
       9767.3756      21539.3      150.881       21539.287
       9768.4615      21795.0      151.417       21794.962
       9769.5475      21833.5      151.682       21833.534
       9770.6335      22287.6      152.806       22287.588
       9771.7195      22204.5      152.588       22204.504
       9772.8054      22447.0      153.534       22446.983
       9773.8914      22380.9      153.145       22380.866
       9774.9774      22267.6      153.104       22267.569
       9776.0633      22186.9      152.793       22186.890
       9777.1493      22415.5      153.497       22415.480
       9778.2353      22439.2      153.812       22439.209
       9779.3213      22726.3      154.454       22726.295
       9780.4072      22699.2      154.831       22699.188
       9781.4932      22932.7      155.414       22932.696
       9782.5792      22902.3      155.069       22902.310
       9783.6652      22553.4      154.182       22553.432
       9784.7511      22413.7      154.112       22413.712
       9785.8371      22663.6      154.888       22663.582
       9786.9231      22939.6      155.620       22939.562
       9788.0090      23296.1      156.348       23296.063
       9789.0950      23494.1      157.562       23494.106
       9790.1810      23496.5      157.061       23496.491
       9791.2670      23238.5      156.246       23238.544
       9792.3529      23214.4      157.000       23214.408
       9793.4389      22972.1      155.976       22972.091
       9794.5249      22768.5      155.650       22768.510
       9795.6109      22996.8      156.103       22996.816
       9796.6968      23419.8      156.639       23419.819
       9797.7828      23582.4      157.168       23582.420
       9798.8688      23659.0      158.027       23658.988
       9799.9548      24051.2      159.607       24051.179
       9801.0407      24111.5      159.320       24111.470
       9802.1267      23935.3      159.010       23935.314
       9803.2127      23677.4      157.911       23677.449
       9804.2986      23305.4      157.063       23305.418
       9805.3846      23960.9      158.969       23960.927
       9806.4706      24647.3      160.542       24647.337
       9807.5566      24974.7      161.088       24974.694
       9808.6425      24978.7      160.973       24978.700
       9809.7285      25094.3      161.529       25094.280
       9810.8145      25249.8      162.439       25249.758
       9811.9005      25385.6      162.615       25385.567
       9812.9864      25163.6      161.857       25163.609
       9814.0724      25145.9      161.850       25145.888
       9815.1584      24929.6      161.146       24929.625
       9816.2443      24552.2      159.074       24552.184
       9817.3303      24969.0      160.647       24968.962
       9818.4163      25579.8      162.150       25579.756
       9819.5023      25694.7      163.132       25694.736
       9820.5882      26002.2      163.607       26002.201
       9821.6742      25745.2      162.983       25745.190
       9822.7602      25915.3      163.100       25915.348
       9823.8462      25802.1      163.306       25802.104
       9824.9321      25284.8      161.739       25284.794
       9826.0181      25129.2      161.403       25129.173
       9827.1041      25589.2      162.544       25589.184
       9828.1900      25360.1      161.559       25360.138
       9829.2760      25468.2      162.211       25468.152
       9830.3620      25795.1      163.078       25795.050
       9831.4480      25940.1      163.599       25940.147
       9832.5339      26040.3      164.129       26040.328
       9833.6199      26157.1      164.054       26157.054
       9834.7059      26037.5      163.069       26037.476
