       9750.0000         -NaN         -NaN             NaN
       9915.0679      37433.0      197.452       37432.999
       9916.1538      37601.7      198.155       37601.727
       9917.2398      37605.2      198.086       37605.233
       9918.3258      37826.0      198.484       37825.953
       9919.4118      38010.3      198.763       38010.335
       9920.4977      37981.2      198.608       37981.234
       9921.5837      37957.7      198.528       37957.739
       9922.6697      37955.7      198.509       37955.686
       9923.7557      37890.0      198.469       37889.952
       9924.8416      38088.6      198.896       38088.616
       9925.9276      38344.8      199.395       38344.768
       9927.0136      38523.2      199.780       38523.161
       9928.0995      38032.3      198.625       38032.291
       9929.1855      37435.1      197.277       37435.052
       9930.2715      37815.0      198.218       37815.020
       9931.3575      38461.3      199.933       38461.338
       9932.4434      38448.0      199.843       38448.000
       9933.5294      38502.4      199.981       38502.433
       9934.6154      38815.7      200.736       38815.710
       9935.7014      38829.1      200.873       38829.121
       9936.7873      38916.3      201.096       38916.333
       9937.8733      38957.7      201.218       38957.710
       9938.9593      38912.2      201.076       38912.217
       9940.0452      38337.9      199.764       38337.929
       9941.1312      38482.8      200.253       38482.837
       9942.2172      38689.8      200.538       38689.842
       9943.3032      39068.6      201.589       39068.571
       9944.3891      38908.1      201.216       38908.087
       9945.4751      39263.0      202.176       39263.048
       9946.5611      39470.4      202.714       39470.379
       9947.6471      39280.1      202.227       39280.125
       9948.7330      39314.7      202.243       39314.726
       9949.8190      39413.4      202.511       39413.358
       9950.9050      39590.5      203.061       39590.483
       9951.9910      40007.3      203.963       40007.327
       9953.0769      40357.7      204.716       40357.674
       9954.1629      40191.3      204.309       40191.292
       9955.2489      40032.4      203.826       40032.350
       9956.3348      40043.7      203.890       40043.744
       9957.4208      40693.6      205.704       40693.549
       9958.5068      40616.8      205.594       40616.814
       9959.5928      40861.8      206.257       40861.771
       9960.6787      40785.8      206.039       40785.765
       9961.7647      40765.0      205.810       40764.976
       9962.8507      40775.3      205.939       40775.253
       9963.9367      40819.4      205.956       40819.354
       9965.0226      40765.6      205.818       40765.629
       9966.1086      41137.2      206.862       41137.248
       9967.1946      41278.2      206.900       41278.153
       9968.2805      41155.9      206.565       41155.899
       9969.3665      41342.5      207.063       41342.500
       9970.4525      41384.8      207.144       41384.748
       9971.5385      41352.7      206.961       41352.688
       9972.6244      41639.5      207.692       41639.532
       9973.7104      41523.9      207.427       41523.860
       9974.7964      41663.2      207.864       41663.229
       9975.8824      41804.0      208.235       41803.981
       9976.9683      42129.7      208.892       42129.700
       9978.0543      42109.8      208.990       42109.819
       9979.1403      41697.3      207.888       41697.346
       9980.2262      41743.1      208.115       41743.125
       9981.3122      42330.3      209.456       42330.287
       9982.3982      42281.5      209.280       42281.507
       9983.4842      42552.5      209.932       42552.517
       9984.5701      42345.6      209.584       42345.591
       9985.6561      42447.5      209.733       42447.469
       9986.7421      42201.9      209.129       42201.883
       9987.8281      41947.9      208.499       41947.862
       9988.9140      42302.2      209.377       42302.197
       9990.0000      42278.1      209.459       42278.118
       9991.0860      42249.7      209.355       42249.746
       9992.1719      42321.4      209.396       42321.402
       9993.2579      42369.3      209.616       42369.302
       9994.3439      42631.8      210.170       42631.761
       9995.4299      42323.8      209.380       42323.824
       9996.5158      42381.4      209.564       42381.423
       9997.6018      42350.9      209.457       42350.944
       9998.6878      41748.5      207.941       41748.473
       9999.7738      41653.7      207.845       41653.669
       10000.860      41962.7      208.627       41962.689
       10001.946      41942.9      208.608       41942.905
       10003.032      42138.5      208.817       42138.530
       10004.118      41909.5      208.501       41909.492
       10005.204      41765.2      208.055       41765.230
       10006.290      42081.7      208.942       42081.690
       10007.376      41979.0      208.667       41979.043
       10008.462      42149.7      209.130       42149.725
       10009.548      41777.7      208.106       41777.705
       10010.633      42124.6      208.987       42124.649
       10011.719      41935.1      208.706       41935.146
       10012.805      41739.7      208.270       41739.733
       10013.891      41716.7      208.639       41716.678
       10014.977      41829.8      209.085       41829.792
       10016.063      41736.0      208.652       41736.043
       10017.149      41748.1      208.616       41748.116
       10018.235      41221.3      207.079       41221.338
       10019.321      40926.0      206.075       40926.045
       10020.407      41632.9      207.801       41632.913
       10021.493      41622.5      207.852       41622.476
       10022.579      41638.0      207.915       41638.017
       10023.665      41292.2      207.015       41292.224
       10024.751      40830.2      205.921       40830.227
       10025.837      40780.3      205.787       40780.336
       10026.923      41214.8      206.990       41214.768
       10028.009      40752.1      205.957       40752.093
       10029.095      40283.8      204.877       40283.810
       10030.181      39437.4      202.928       39437.389
       10031.267      39614.6      203.330       39614.560
       10032.353      39381.6      202.334       39381.647
       10033.439      38204.2      199.258       38204.240
       10034.525      37662.3      197.990       37662.279
       10035.611      37888.0      198.516       37887.996
       10036.697      37968.3      198.760       37968.343
       10037.783      37873.7      198.498       37873.673
       10038.869      37231.2      196.679       37231.233
       10039.955      36559.6      195.007       36559.559
       10041.041      35721.3      192.858       35721.307
       10042.127      35287.2      191.652       35287.247
       10043.213      34610.0      189.793       34610.035
       10044.299      33794.2      187.756       33794.207
       10045.385      33083.7      185.896       33083.686
       10046.471      32085.3      183.008       32085.296
       10047.557      31453.7      181.367       31453.714
       10048.643      30835.9      179.692       30835.870
       10049.729      30243.2      177.942       30243.209
       10050.814      29896.6      176.714       29896.598
       10051.900      29735.3      176.684       29735.296
       10052.986      30231.3      178.076       30231.261
       10054.072      30285.4      178.128       30285.436
       10055.158      30594.7      179.078       30594.716
       10056.244      31793.4      182.315       31793.362
       10057.330      32987.6      185.736       32987.603
       10058.416      33892.2      188.085       33892.183
       10059.502      34790.2      190.463       34790.229
       10060.588      35508.0      192.425       35508.031
       10061.674      36525.2      195.244       36525.152
       10062.760      37186.6      196.932       37186.605
