"#  name" airmass UT
HD13027_Y_A-B_0138-0139_1dspec_2014dec30_iraf.dat 1.07815341 04:46:45.72
HD13027_Y_B-A_0139-0138_1dspec_2014dec30_iraf.dat 1.07774144 04:47:02.62
HD40335_Y_A-B_0241-0242_1dspec_2014dec30_iraf.dat 1.05188186 09:37:01.25
HD40335_Y_B-A_0242-0241_1dspec_2014dec30_iraf.dat 1.05181697 09:37:16.20
HD40335_Y_A-B_0243-0244_1dspec_2014dec30_iraf.dat 1.05165681 09:38:12.75
HD40335_Y_B-A_0244-0243_1dspec_2014dec30_iraf.dat 1.05161161 09:38:27.15
HIP43018_Y_A-B_0251-0252_1dspec_2014dec30_iraf.dat 1.30092929 09:49:21.40
HIP43018_Y_B-A_0252-0251_1dspec_2014dec30_iraf.dat 1.29931104 09:49:43.45
HIP55627_Y_A-B_0350-0351_1dspec_2014dec30_iraf.dat 1.03868225 15:39:52.74
HIP55627_Y_B-A_0351-0350_1dspec_2014dec30_iraf.dat 1.0388865 15:40:15.44
