       9750.0000         -NaN         -NaN             NaN
       9751.0860      83298.2      289.533       83298.191
       9752.1719      85047.3      292.405       85047.277
       9753.2579      87341.7      300.365       87341.691
       9754.3439      87221.2      298.211       87221.176
       9755.4299      87674.6      296.463       87674.644
       9756.5158      87602.6      302.757       87602.568
       9757.6018      87631.9      298.328       87631.891
       9758.6878      86841.3      299.555       86841.322
       9759.7738      86196.3      298.943       86196.342
       9760.8597      89451.7      300.042       89451.731
       9761.9457      91942.9      302.957       91942.917
       9763.0317      92579.6      304.735       92579.605
       9764.1176      91877.9      303.411       91877.915
       9765.2036      91784.7      302.477       91784.712
       9766.2896      93566.0      304.382       93565.951
       9767.3756      95776.8      306.944       95776.813
       9768.4615      96711.6      312.357       96711.624
       9769.5475      96733.1      311.840       96733.065
       9770.6335      100910.      320.027       100910.10
       9771.7195      102558.      320.700       102557.93
       9772.8054      103114.      318.760       103113.70
       9773.8914      103579.      322.121       103578.71
       9774.9774      103071.      321.403       103071.05
       9776.0633      103498.      320.281       103497.87
       9777.1493      103677.      329.429       103676.57
       9778.2353      103190.      325.564       103190.15
       9779.3213      103682.      322.917       103682.01
       9780.4072      103299.      320.329       103298.51
       9781.4932      103843.      325.013       103842.63
       9782.5792      103114.      320.674       103114.25
       9783.6652      101853.      319.088       101853.17
       9784.7511      102635.      375.368       102634.57
       9785.8371      106113.      327.252       106113.10
       9786.9231      107004.      328.277       107004.08
       9788.0090      107787.      325.429       107786.69
       9789.0950      108095.      329.971       108094.87
       9790.1810      108565.      334.226       108564.80
       9791.2670      107885.      330.974       107885.27
       9792.3529      106626.      324.189       106626.28
       9793.4389      105008.      324.839       105007.75
       9794.5249      103421.      321.487       103420.64
       9795.6109      104865.      328.295       104864.92
       9796.6968      107662.      327.879       107661.83
       9797.7828      110592.      332.267       110591.78
       9798.8688      112309.      336.401       112309.17
       9799.9548      111065.      334.964       111065.23
       9801.0407      109796.      332.033       109795.64
       9802.1267      108377.      327.613       108376.51
       9803.2127      107481.      329.411       107481.08
       9804.2986      107766.      329.775       107765.71
       9805.3846      108711.      330.612       108710.70
       9806.4706      112769.      334.933       112768.69
       9807.5566      115233.      339.561       115233.40
       9808.6425      115747.      343.135       115747.23
       9809.7285      115946.      342.328       115946.36
       9810.8145      117111.      341.748       117110.64
       9811.9005      117099.      340.372       117098.93
       9812.9864      117143.      341.578       117142.69
       9814.0724      116585.      342.612       116585.47
       9815.1584      116094.      338.608       116094.28
       9816.2443      115392.      341.633       115392.10
       9817.3303      114856.      339.746       114855.56
       9818.4163      115632.      341.497       115631.78
       9819.5023      116391.      341.747       116390.78
       9820.5882      116857.      342.629       116857.20
       9821.6742      117527.      344.062       117527.38
       9822.7602      118375.      344.414       118375.33
       9823.8462      118296.      417.519       118296.23
       9824.9321      117518.      338.720       117517.50
       9826.0181      115012.      339.434       115012.09
       9827.1041      114731.      336.964       114731.05
