   # lambda  flux(e-/s)    stddev 
   9750.000     0.04835   0.04385 
   9751.086    -0.01546   0.03614 
   9752.172    -0.00048   0.02788 
   9753.258     0.02429   0.02428 
   9754.344     0.09438   0.02438 
   9755.430     0.05495   0.02515 
   9756.516     0.08347   0.02626 
   9757.602     0.25810   0.02695 
   9758.688     0.06041       nan 
   9759.774     0.07334   0.02670 
   9760.860     0.15637   0.02560 
   9761.946     0.01472   0.02674 
   9763.032     0.07957   0.02942 
   9764.118     0.00044   0.02512 
   9765.204    -0.03546   0.02495 
   9766.290    -0.03637   0.02477 
   9767.376     0.09504   0.02502 
   9768.462     0.11369   0.02864 
   9769.548     0.06536   0.03062 
   9770.633     0.16596   0.02524 
   9771.719     0.17524   0.02467 
   9772.805     0.11142   0.02468 
   9773.891     0.13831       nan 
   9774.977     0.07922       nan 
   9776.063     0.08773   0.02403 
   9777.149     0.00014   0.02385 
   9778.235    -0.03770   0.02402 
   9779.321    -0.01598   0.02463 
   9780.407     0.05995   0.02501 
   9781.493     0.02706   0.02556 
   9782.579     0.05867   0.02535 
   9783.665     0.05217       nan 
   9784.751     0.12237       nan 
   9785.837     0.09778   0.03034 
   9786.923     0.05868   0.02476 
   9788.009     0.12075   0.02532 
   9789.095     0.13720   0.03079 
   9790.181     0.12004   0.05173 
   9791.267    -0.01246   0.09557 
   9792.353     0.14224   0.14133 
   9793.439    -0.06282   0.15806 
   9794.525    -0.06968   0.14635 
   9795.611    -0.05197   0.12542 
   9796.697     0.07214   0.05947 
   9797.783     0.02182   0.03895 
   9798.869     0.04035   0.04028 
   9799.955     0.16701   0.05632 
   9801.041     0.12920   0.08331 
   9802.127     0.11550   0.09093 
   9803.213     0.00217   0.08594 
   9804.299    -0.01323   0.06789 
   9805.385     0.19239   0.04441 
   9806.471     0.13205   0.03015 
   9807.557     0.05276   0.03230 
   9808.643     0.00638   0.03944 
   9809.729     0.04761   0.04075 
   9810.814    -0.01839   0.04060 
   9811.900     0.07384   0.04877 
   9812.986     0.10959   0.05379 
   9814.072     0.02354   0.05809 
   9815.158     0.14887   0.05661 
   9816.244     0.17994   0.05958 
   9817.330     0.04921   0.09811 
   9818.416    -0.10495   0.03829 
   9819.502     0.01817   0.04010 
   9820.588     0.08885   0.04106 
   9821.674     0.07406   0.03832 
   9822.760     0.09611       nan 
   9823.846     0.09625   0.02910 
   9824.932     0.12527   0.02859 
   9826.018    -0.02298   0.02919 
   9827.104     0.02102   0.02908 
   9828.190     0.02890   0.03208 
   9829.276     0.06721   0.03578 
   9830.362     0.10215   0.03846 
   9831.448     0.00280   0.03851 
   9832.534     0.11694   0.03728 
   9833.620     0.11629   0.03376 
   9834.706     0.05126   0.02949 
   9835.792     0.09012   0.02822 
   9836.878     0.08520   0.03098 
   9837.964     0.10769   0.03052 
   9839.050     0.07079   0.02779 
   9840.136     0.08798   0.02705 
   9841.222     0.12836   0.02960 
   9842.308     0.13871   0.02713 
   9843.394     0.06276   0.02605 
   9844.480     0.13177   0.02608 
   9845.566     0.09256   0.02674 
   9846.652     0.07032   0.02751 
   9847.738     0.12127   0.03102 
   9848.824     0.10003   0.05187 
   9849.910     0.10569   0.08582 
   9850.995     0.16751   0.08673 
   9852.081     0.05379   0.09917 
   9853.167     0.09046   0.07085 
   9854.253     0.09001   0.03811 
   9855.339     0.07893   0.02757 
   9856.425    -0.09448   0.02687 
   9857.511    -0.04126   0.02690 
   9858.597    -0.01906   0.02645 
   9859.683     0.13681   0.02696 
   9860.769     0.11403   0.02712 
   9861.855     0.04715   0.02938 
   9862.941     0.00515   0.02699 
   9864.027     0.08003   0.02721 
   9865.113     0.16057   0.02858 
   9866.199     0.08662   0.02727 
   9867.285     0.06882   0.02756 
   9868.371     0.03245   0.02800 
   9869.457     0.01232   0.02813 
   9870.543    -0.06101   0.03071 
   9871.629     0.10043   0.04461 
   9872.715    -0.02332   0.10306 
   9873.801    -0.22159   0.14966 
   9874.887     0.06054   0.15525 
   9875.973     0.11838   0.15477 
   9877.059    -0.07061   0.09222 
   9878.145    -0.02335   0.03985 
   9879.231     0.08627   0.02999 
   9880.317     0.11039   0.02770 
   9881.403    -0.01989   0.04060 
   9882.489     0.01020   0.03258 
   9883.575     0.13929   0.02921 
   9884.661     0.03354   0.03428 
   9885.747     0.00591   0.03203 
   9886.833     0.09293   0.04159 
   9887.919     0.14011   0.03953 
   9889.005     0.06070   0.03897 
   9890.090     0.09338   0.03759 
   9891.176    -0.06122   0.03232 
   9892.262    -0.00914   0.03041 
   9893.348     0.06393   0.02922 
   9894.434     0.13856   0.03863 
   9895.520     0.07929   0.07872 
   9896.606     0.04544   0.10176 
   9897.692    -0.02678   0.10346 
   9898.778    -0.05459   0.09802 
   9899.864     0.02919   0.06009 
   9900.950     0.16227   0.03612 
   9902.036     0.04337   0.03728 
   9903.122     0.04564   0.03289 
   9904.208     0.03060   0.03769 
   9905.294     0.06586   0.03290 
   9906.380     0.06532   0.02942 
   9907.466     0.08826   0.02825 
   9908.552     0.08080   0.02846 
   9909.638     0.14086   0.02841 
   9910.724    -0.00412   0.03084 
   9911.810     0.05033   0.03810 
   9912.896     0.04783   0.03213 
   9913.982     0.01427   0.04118 
   9915.068    -0.06669   0.09418 
   9916.154     0.00630   0.15940 
   9917.240     0.22698   0.16669 
   9918.326     0.51979   0.16620 
   9919.412     0.09124   0.11765 
   9920.498     0.02956   0.04399 
   9921.584     0.17267   0.03014 
   9922.670     0.14228   0.02830 
   9923.756     0.11920   0.02815 
   9924.842     0.08137       nan 
   9925.928     0.02105   0.02845 
   9927.014     0.06936   0.02852 
   9928.100     0.07109   0.02841 
   9929.186     0.02899   0.02835 
   9930.271    -0.01010   0.03303 
   9931.357     0.02812   0.03544 
   9932.443     0.05834   0.02982 
   9933.529     0.07017   0.03536 
   9934.615     0.19779   0.02928 
   9935.701     0.04389   0.02892 
   9936.787    -0.03563   0.02957 
   9937.873    -0.02320   0.03020 
   9938.959    -0.06021   0.03171 
   9940.045     0.00282   0.10033 
   9941.131     0.07889   0.05651 
   9942.217     0.16970   0.07782 
   9943.303     0.29816   0.12004 
   9944.389     0.09131   0.12238 
   9945.475    -0.33374   0.13460 
   9946.561    -0.08279   0.15648 
   9947.647    -0.25605   0.16082 
   9948.733    -0.34571   0.17367 
   9949.819    -0.30723   0.19800 
   9950.905    -0.00681   0.16588 
   9951.991     0.02986   0.11077 
   9953.077     0.00047   0.07064 
   9954.163    -0.09504   0.04641 
   9955.249     0.02415   0.03711 
   9956.335     0.00300   0.05860 
   9957.421    -0.03021   0.15026 
   9958.507    -0.08116   0.14860 
   9959.593    -0.15605   0.14850 
   9960.679    -0.09439   0.14373 
   9961.765    -0.15941   0.11696 
   9962.851    -0.13184   0.12962 
   9963.937     0.18868   0.14778 
   9965.023     0.09216   0.14785 
   9966.109    -0.12576   0.14310 
   9967.195     0.09623   0.06945 
   9968.281     0.08880   0.03548 
   9969.367    -0.02970   0.03123 
   9970.452     0.12796   0.03145 
