   # lambda  flux(e-/s)    stddev 
   9750.000     0.07762   0.03817 
   9751.086     0.03660   0.03187 
   9752.172     0.02950   0.02820 
   9753.258    -0.05333   0.02605 
   9754.344     0.06206   0.02527 
   9755.430     0.00786   0.02496 
   9756.516    -0.00971   0.02602 
   9757.602     0.06561   0.02965 
   9758.688     0.11339   0.02667 
   9759.774     0.11632   0.02935 
   9760.860     0.05385   0.02765 
   9761.946     0.03624   0.02858 
   9763.032     0.02983   0.02715 
   9764.118    -0.04063   0.02703 
   9765.204     0.00573   0.02934 
   9766.290     0.03400   0.04665 
   9767.376     0.00449   0.03793 
   9768.462     0.01866   0.09515 
   9769.548    -0.11495   0.03403 
   9770.633     0.04554   0.02889 
   9771.719     0.04048   0.02573 
   9772.805     0.00209   0.02562 
   9773.891     0.02331   0.02728 
   9774.977     0.07507   0.02803 
   9776.063     0.02071   0.03108 
   9777.149    -0.03966   0.02677 
   9778.235     0.03869   0.02560 
   9779.321     0.05590   0.02525 
   9780.407    -0.04753       nan 
   9781.493    -0.03050   0.02610 
   9782.579    -0.02822   0.02901 
   9783.665     0.09980   0.02797 
   9784.751     0.08086   0.02823 
   9785.837    -0.02571   0.02719 
   9786.923    -0.04188   0.02687 
   9788.009     0.07063   0.02744 
   9789.095     0.12746   0.03950 
   9790.181     0.08241   0.05137 
   9791.267     0.20372   0.08094 
   9792.353     0.12909   0.13563 
   9793.439     0.19132   0.14618 
   9794.525    -0.11082   0.15662 
   9795.611    -0.00582   0.11361 
   9796.697    -0.08150   0.05295 
   9797.783     0.05526   0.04271 
   9798.869     0.09959   0.04203 
   9799.955     0.02979   0.05381 
   9801.041     0.07513   0.07973 
   9802.127     0.10035   0.08256 
   9803.213     0.09086   0.08481 
   9804.299    -0.09425   0.06651 
   9805.385    -0.12438   0.03545 
   9806.471     0.04808   0.03009 
   9807.557     0.01967   0.03128 
   9808.643     0.01992   0.04384 
   9809.729    -0.02416   0.04777 
   9810.814     0.06162   0.04075 
   9811.900     0.01579   0.04420 
   9812.986    -0.00599   0.05222 
   9814.072    -0.04175   0.05537 
   9815.158     0.05122   0.05533 
   9816.244     0.04543   0.05323 
   9817.330     0.01440   0.04322 
   9818.416    -0.01220   0.04023 
   9819.502    -0.10983   0.06454 
   9820.588    -0.03377   0.04575 
   9821.674     0.02401   0.03679 
   9822.760     0.08846   0.03198 
   9823.846     0.08680   0.02922 
   9824.932     0.06202   0.03629 
   9826.018     0.01295   0.05005 
   9827.104     0.04501   0.03130 
   9828.190     0.03406   0.03171 
   9829.276     0.10830   0.03560 
   9830.362    -0.04408   0.04006 
   9831.448    -0.00694   0.03843 
   9832.534     0.03955   0.03574 
   9833.620     0.05510   0.03185 
   9834.706     0.14179   0.02874 
   9835.792     0.17670   0.02781 
   9836.878     0.09536   0.02879 
   9837.964     0.08534   0.02809 
   9839.050     0.03270   0.02797 
   9840.136     0.06152   0.02856 
   9841.222     0.11529   0.03287 
   9842.308     0.06000   0.03034 
   9843.394     0.03129   0.02723 
   9844.480    -0.01073   0.03811 
   9845.566     0.09373   0.02891 
   9846.652     0.01630   0.02786 
   9847.738     0.01805   0.03051 
   9848.824    -0.04377   0.05120 
   9849.910     0.08767   0.08577 
   9850.995     0.19733   0.09097 
   9852.081     0.22230   0.08717 
   9853.167     0.04959   0.07317 
   9854.253     0.10987   0.03641 
   9855.339     0.02872   0.02782 
   9856.425     0.03184   0.02762 
   9857.511     0.05591   0.02897 
   9858.597    -0.00912   0.02824 
   9859.683     0.04256   0.03069 
   9860.769     0.06662   0.03187 
   9861.855     0.01875   0.02800 
   9862.941     0.00031   0.02865 
   9864.027     0.00428   0.02765 
   9865.113     0.05217   0.02839 
   9866.199     0.00357   0.02691 
   9867.285     0.08015   0.02726 
   9868.371     0.01633   0.02780 
   9869.457     0.09732   0.03195 
   9870.543     0.09937   0.03004 
   9871.629     0.06901   0.03953 
   9872.715     0.33388   0.09440 
   9873.801     0.10054   0.14679 
   9874.887    -0.21831   0.25860 
   9875.973     0.11355   0.46631 
   9877.059     0.07748   0.08910 
   9878.145     0.05216   0.04101 
   9879.231     0.10387   0.03003 
   9880.317     0.04468   0.02893 
   9881.403     0.02564   0.02847 
   9882.489     0.05705   0.02895 
   9883.575     0.00580   0.02959 
   9884.661     0.00732   0.03021 
   9885.747     0.01989   0.03270 
   9886.833     0.08892   0.03798 
   9887.919    -0.13253   0.03779 
   9889.005    -0.16881   0.03980 
   9890.090     0.02215   0.03600 
   9891.176     0.04229   0.03182 
   9892.262    -0.02280   0.02950 
   9893.348     0.08133   0.03026 
   9894.434     0.06848   0.03865 
   9895.520     0.07878   0.07615 
   9896.606    -0.21095   0.10029 
   9897.692     0.06282   0.11466 
   9898.778     0.02618   0.10076 
   9899.864     0.04585   0.06685 
   9900.950     0.03976   0.03998 
   9902.036     0.11907   0.03324 
   9903.122     0.08312   0.03277 
   9904.208     0.02102   0.03683 
   9905.294    -0.00920   0.03063 
   9906.380     0.10372   0.02891 
   9907.466     0.06616   0.02782 
   9908.552     0.00537       nan 
