       9750.0000         -NaN         -NaN             NaN
       9912.8959      14617.8      121.103       14617.808
       9913.9819      14619.8      120.988       14619.803
       9915.0679      14528.1      121.025       14528.087
       9916.1538      14664.1      121.825       14664.124
       9917.2398      14643.1      121.822       14643.136
       9918.3258      14559.7      121.206       14559.711
       9919.4118      14552.8      121.191       14552.848
       9920.4977      14774.4      121.859       14774.377
       9921.5837      14729.5      121.757       14729.493
       9922.6697      14708.0      121.511       14707.995
       9923.7557      14696.3      121.323       14696.285
       9924.8416      14734.5      121.423       14734.458
       9925.9276      14770.1      121.686       14770.116
       9927.0136      14703.1      121.387       14703.111
       9928.0995      14723.3      120.958       14723.272
       9929.1855      14738.6      121.951       14738.629
       9930.2715      14937.7      122.154       14937.704
       9931.3575      15127.1      122.353       15127.121
       9932.4434      15147.6      121.825       15147.646
       9933.5294      14930.0      122.395       14929.985
       9934.6154      15157.3      122.816       15157.282
       9935.7014      15281.2      123.500       15281.180
       9936.7873      15286.2      123.671       15286.182
       9937.8733      15421.8      123.439       15421.756
       9938.9593      15357.9      123.366       15357.921
       9940.0452      15408.4      123.810       15408.428
       9941.1312      15365.4      123.643       15365.397
       9942.2172      15388.3      124.114       15388.319
       9943.3032      15551.8      125.382       15551.850
       9944.3891      15486.3      125.010       15486.320
       9945.4751      15665.4      125.805       15665.406
       9946.5611      15634.8      125.614       15634.785
       9947.6471      15743.2      126.097       15743.202
       9948.7330      15760.0      126.401       15759.978
       9949.8190      15739.4      126.466       15739.373
       9950.9050      15687.0      125.985       15687.009
       9951.9910      15659.6      125.432       15659.602
       9953.0769      15820.0      126.265       15820.010
       9954.1629      15886.3      125.726       15886.313
       9955.2489      16011.5      126.453       16011.545
       9956.3348      15918.0      121.780       15917.957
       9957.4208      15948.7      126.746       15948.739
       9958.5068      15905.1      126.820       15905.147
       9959.5928      15930.3      126.973       15930.270
       9960.6787      16075.2      127.597       16075.216
       9961.7647      16027.3      126.904       16027.313
       9962.8507      16041.3      126.967       16041.347
       9963.9367      15880.5      126.370       15880.470
       9965.0226      15977.6      125.658       15977.646
       9966.1086      16119.4      127.212       16119.394
       9967.1946      16199.2      127.344       16199.218
       9968.2805      16219.5      127.377       16219.530
       9969.3665      16306.5      127.316       16306.501
       9970.4525      16249.3      127.408       16249.303
       9971.5385      16286.2      127.321       16286.206
       9972.6244      16294.7      127.499       16294.738
       9973.7104      16365.1      127.705       16365.139
       9974.7964      16516.4      128.250       16516.394
       9975.8824      16413.9      127.963       16413.876
       9976.9683      16424.8      128.930       16424.763
       9978.0543      16420.3      127.792       16420.254
       9979.1403      16526.5      128.181       16526.511
       9980.2262      16602.0      128.976       16602.022
       9981.3122      16441.2      128.119       16441.230
       9982.3982      16508.3      128.444       16508.262
       9983.4842      16568.6      128.423       16568.605
       9984.5701      16518.4      128.454       16518.414
       9985.6561      16521.4      128.693       16521.420
       9986.7421      16622.0      129.041       16622.042
       9987.8281      16615.9      129.089       16615.927
       9988.9140      16694.2      129.289       16694.193
       9990.0000      16714.1      129.180       16714.085
       9991.0860      16631.7      128.898       16631.657
       9992.1719      16526.6      128.541       16526.567
       9993.2579      16304.7      127.538       16304.707
       9994.3439      16441.7      128.380       16441.655
       9995.4299      16779.6      129.498       16779.597
       9996.5158      16750.4      128.970       16750.434
       9997.6018      16762.6      126.686       16762.636
       9998.6878      16868.7      129.447       16868.676
       9999.7738      16658.9      129.233       16658.874
       10000.860      16571.8      131.748       16571.753
       10001.946      16584.4      129.281       16584.433
       10003.032      16558.6      129.020       16558.594
       10004.118      16582.9      128.522       16582.929
       10005.204      16704.9      130.807       16704.876
       10006.290      16599.7      128.752       16599.697
       10007.376      16478.4      128.660       16478.404
       10008.462      16470.1      129.023       16470.099
       10009.548      16678.5      129.234       16678.483
       10010.633      16559.5      128.808       16559.489
       10011.719      16553.6      128.582       16553.586
       10012.805      16604.9      129.321       16604.883
       10013.891      16613.8      129.898       16613.753
       10014.977      16447.8      129.589       16447.774
       10016.063      16264.9      128.820       16264.854
       10017.149      16417.7      129.444       16417.711
       10018.235      16460.3      129.148       16460.285
       10019.321      16401.1      127.875       16401.147
       10020.407      16367.3      128.182       16367.291
       10021.493      16294.1      127.821       16294.098
       10022.579      16297.0      127.664       16297.006
       10023.665      16071.9      126.727       16071.931
       10024.751      15898.3      126.375       15898.327
       10025.837      16064.3      127.117       16064.325
       10026.923      16058.8      127.296       16058.792
       10028.009      16019.2      127.304       16019.178
       10029.095      15991.4      127.161       15991.446
       10030.181      15872.4      126.422       15872.390
       10031.267      15797.2      125.775       15797.191
       10032.353      15727.0      125.494       15726.970
       10033.439      15710.6      125.024       15710.554
       10034.525      15487.6      124.439       15487.614
       10035.611      15335.3      123.970       15335.334
       10036.697      15220.6      124.265       15220.603
       10037.783      15007.5      122.467       15007.520
       10038.869      14875.1      123.495       14875.081
       10039.955      14760.3      121.652       14760.320
       10041.041      14498.1      120.346       14498.145
       10042.127      14232.8      119.332       14232.804
       10043.213      13962.6      118.510       13962.649
       10044.299      13744.2      116.485       13744.227
       10045.385      13439.3      116.280       13439.321
       10046.471      13008.9      114.515       13008.890
       10047.557      12387.6      111.247       12387.645
       10048.643      11934.0      109.223       11934.019
       10049.729      11495.9      106.829       11495.918
       10050.814      10619.9      103.002       10619.930
       10051.900      9695.15      98.4597       9695.1458
       10052.986      9651.53      98.6913       9651.5298
       10054.072      10462.6      101.222       10462.563
       10055.158      11471.6      107.059       11471.613
       10056.244      12241.7      110.609       12241.676
       10057.330      12846.6      113.500       12846.641
       10058.416      13285.9      115.672       13285.945
       10059.502      13571.3      117.204       13571.291
       10060.588      13764.7      117.640       13764.672
       10061.674      14154.2      119.293       14154.184
       10062.760      14615.4      121.710       14615.396
       10063.846      14918.5      122.824       14918.459
       10064.932      15331.1      124.420       15331.073
       10066.018      15417.5      124.105       15417.540
       10067.104      15474.2      125.712       15474.176
       10068.190      15542.9      125.088       15542.856
       10069.276      15795.1      126.129       15795.066
       10070.362      16098.2      127.382       16098.232
       10071.448      16293.4      128.181       16293.359
       10072.534      16477.4      128.878       16477.373
       10073.620      16484.7      128.949       16484.724
