   # lambda  flux(e-/s)    stddev 
   9750.000     0.08770   0.03321 
   9751.086     0.08187   0.02704 
   9752.172    -0.05971   0.02265 
   9753.258     0.01085   0.01986 
   9754.344    -0.03152   0.02496 
   9755.430     0.02524   0.02017 
   9756.516     0.06519   0.02074 
   9757.602     0.03145   0.02115 
   9758.688     0.07314   0.02069 
   9759.774     0.02404   0.02182 
   9760.860    -0.04304   0.02150 
   9761.946     0.01412   0.01980 
   9763.032    -0.03487   0.01948 
   9764.118    -0.03412   0.01950 
   9765.204     0.00556   0.01976 
   9766.290     0.06123   0.02067 
   9767.376    -0.02625   0.01954 
   9768.462    -0.02600   0.01950 
   9769.548    -0.06413   0.01945 
   9770.633    -0.06264   0.01987 
   9771.719     0.04649   0.02010 
   9772.805    -0.03598   0.01988 
   9773.891    -0.01340   0.02121 
   9774.977     0.02413   0.03248 
   9776.063     0.06390   0.02051 
   9777.149     0.02634   0.01995 
   9778.235     0.02225   0.01981 
   9779.321    -0.00355   0.02025 
   9780.407     0.10801   0.02121 
   9781.493     0.12935   0.02647 
   9782.579     0.03234   0.05102 
   9783.665     0.10374   0.01990 
   9784.751     0.05394   0.01949 
   9785.837     0.00395   0.02212 
   9786.923    -0.02146   0.02091 
   9788.009    -0.03784   0.02102 
   9789.095    -0.02450   0.02559 
   9790.181    -0.02930   0.04276 
   9791.267     0.00043   0.07146 
   9792.353    -0.42697   0.11694 
   9793.439    -0.36374   0.12925 
   9794.525     0.19307   0.12458 
   9795.611     0.08797   0.09859 
   9796.697    -0.09738   0.04745 
   9797.783    -0.08961   0.03339 
   9798.869    -0.09509   0.03520 
   9799.955    -0.01985   0.04952 
   9801.041    -0.07725   0.06939 
   9802.127    -0.12045   0.08358 
   9803.213     0.05085   0.07313 
   9804.299     0.03521   0.05708 
   9805.385    -0.00067   0.03750 
   9806.471     0.09732   0.02297 
   9807.557     0.05608   0.02481 
   9808.643     0.04604   0.03075 
   9809.729     0.07704   0.03397 
   9810.814    -0.09007   0.03495 
   9811.900    -0.04095   0.03802 
   9812.986    -0.01601   0.04631 
   9814.072    -0.01612   0.05123 
   9815.158    -0.04983   0.04954 
   9816.244    -0.05458   0.04510 
   9817.330    -0.06590   0.03553 
   9818.416    -0.06311   0.03277 
   9819.502    -0.02718   0.03710 
   9820.588    -0.03016   0.04266 
   9821.674    -0.00449   0.03286 
   9822.760    -0.02863   0.02735 
   9823.846    -0.02844   0.02816 
   9824.932     0.04539   0.02404 
   9826.018     0.05546   0.02267 
   9827.104     0.03212   0.02349 
   9828.190    -0.04545   0.02668 
   9829.276    -0.07379   0.03117 
   9830.362     0.06393   0.04281 
   9831.448    -0.06420   0.03398 
   9832.534    -0.04705   0.03155 
   9833.620    -0.03062   0.02701 
   9834.706     0.03546   0.02386 
   9835.792    -0.03843   0.02251 
   9836.878     0.02367   0.02276 
   9837.964     0.09826   0.02236 
   9839.050     0.07578   0.02378 
   9840.136     0.09696   0.02165 
   9841.222     0.02864   0.02299 
   9842.308     0.15162   0.02040 
   9843.394     0.04461   0.02065 
   9844.480     0.04880   0.02189 
   9845.566     0.05352   0.02291 
   9846.652     0.03240   0.02237 
   9847.738     0.05533   0.02672 
   9848.824     0.02922   0.05429 
   9849.910     0.12263   0.07634 
   9850.995    -0.04868   0.07547 
   9852.081     0.00118   0.07423 
   9853.167    -0.02564   0.05527 
   9854.253    -0.03284   0.02975 
   9855.339     0.06546   0.03191 
   9856.425     0.00740   0.02179 
   9857.511    -0.06301   0.02139 
   9858.597    -0.00176   0.02976 
   9859.683     0.10941   0.02382 
   9860.769     0.07972   0.02352 
   9861.855     0.04179   0.02433 
   9862.941     0.11218   0.02307 
   9864.027     0.05258   0.02085 
   9865.113     0.17427   0.02120 
   9866.199     0.09650   0.02144 
   9867.285     0.03638   0.02456 
   9868.371     0.08522   0.02347 
   9869.457     0.11245   0.02309 
   9870.543     0.10709   0.02629 
   9871.629     0.22088   0.04012 
   9872.715     0.08606   0.08453 
   9873.801    -0.04233   0.13022 
   9874.887    -0.14938   0.14076 
   9875.973     0.15830   0.12924 
   9877.059    -0.08753   0.08668 
   9878.145     0.02440   0.03406 
   9879.231     0.02315   0.02341 
   9880.317    -0.01432   0.02245 
   9881.403     0.02150   0.02240 
   9882.489     0.01661   0.02237 
   9883.575     0.02656   0.02313 
   9884.661     0.02538   0.02580 
   9885.747    -0.09007   0.02609 
   9886.833     0.09849   0.03000 
   9887.919     0.03792   0.03198 
   9889.005     0.04846   0.03141 
   9890.090     0.08645   0.02993 
   9891.176     0.16720   0.02584 
   9892.262    -0.05626   0.02317 
   9893.348    -0.00446   0.02394 
   9894.434    -0.02356   0.03263 
   9895.520    -0.02477   0.06791 
   9896.606     0.04480   0.09234 
   9897.692    -0.07038   0.09368 
   9898.778     0.02323   0.08550 
   9899.864    -0.05794   0.05343 
   9900.950     0.07472   0.03159 
   9902.036     0.12869   0.02736 
   9903.122     0.13468   0.02724 
   9904.208     0.13904   0.02744 
   9905.294     0.04253   0.02596 
   9906.380     0.01826   0.02373 
   9907.466     0.13978   0.02276 
   9908.552     0.03042   0.02251 
   9909.638     0.04087   0.02322 
   9910.724     0.06119   0.02250 
   9911.810     0.10647   0.02346 
   9912.896    -0.04150   0.02674 
   9913.982    -0.13608   0.03780 
   9915.068    -0.00341   0.08987 
   9916.154    -0.02070   0.14747 
   9917.240     0.12539   0.14950 
   9918.326    -0.09458   0.15037 
   9919.412     0.01556   0.10488 
   9920.498     0.08321   0.04085 
   9921.584     0.07551   0.02449 
   9922.670     0.06714   0.02633 
   9923.756     0.05438   0.02869 
   9924.842     0.07936   0.02299 
   9925.928    -0.00069   0.02421 
   9927.014     0.02517   0.02476 
   9928.100     0.05859   0.02460 
   9929.186     0.00030   0.02296 
   9930.271    -0.01778   0.02280 
   9931.357     0.00553   0.02287 
   9932.443     0.04791   0.02225 
   9933.529    -0.02812   0.02289 
   9934.615     0.00673   0.02445 
   9935.701     0.02958   0.02388 
   9936.787     0.02318   0.02352 
   9937.873    -0.03318   0.02329 
   9938.959     0.02437   0.02385 
   9940.045     0.05472   0.02552 
   9941.131     0.14497   0.03156 
   9942.217     0.20996   0.06204 
   9943.303     0.14817   0.10623 
   9944.389     0.10095   0.12346 
   9945.475     0.12950   0.12342 
   9946.561     0.15003   0.14304 
   9947.647     0.17929   0.14365 
   9948.733    -0.00611   0.15525 
   9949.819     0.02573   0.18963 
   9950.905     0.04726   0.12953 
   9951.991     0.02420   0.08713 
   9953.077     0.09772   0.05712 
   9954.163     0.07581   0.03927 
   9955.249    -0.01591   0.03215 
   9956.335    -0.05752   0.04324 
   9957.421    -0.09549   0.09721 
   9958.507    -0.01020   0.12859 
   9959.593     0.08788   0.13920 
   9960.679    -0.25803   0.12362 
   9961.765    -0.08646   0.09890 
   9962.851     0.01551   0.12084 
   9963.937     0.08276   0.14612 
   9965.023     0.00457   0.15393 
   9966.109     0.03688   0.12134 
   9967.195     0.12884   0.06238 
   9968.281     0.03968   0.03136 
   9969.367     0.11778   0.03583 
   9970.452     0.02132   0.02823 
   9971.538    -0.01881   0.02982 
   9972.624     0.00369   0.04553 
   9973.710    -0.03914   0.06916 
   9974.796    -0.09266   0.07598 
   9975.882    -0.04461   0.07729 
   9976.968    -0.11327   0.06335 
   9978.054    -0.16225   0.04246 
   9979.140     0.02612   0.04250 
   9980.226     0.07355   0.04363 
   9981.312     0.07234   0.04277 
   9982.398     0.05547   0.04115 
   9983.484    -0.04634   0.03460 
   9984.570     0.02083   0.03137 
   9985.656     0.07207   0.02681 
   9986.742     0.12522   0.02402 
   9987.828     0.06882   0.02413 
   9988.914    -0.00272   0.02560 
   9990.000    -0.01300   0.02412 
   9991.086     0.10319   0.02429 
   9992.172     0.07471   0.02671 
   9993.258     0.05111   0.02544 
   9994.344     0.15480   0.02506 
   9995.430     0.10572   0.02464 
   9996.516    -0.02482   0.02568 
   9997.602     0.09068   0.02522 
   9998.688     0.09427   0.02591 
   9999.774     0.04265   0.03188 
  10000.860     0.09391   0.05439 
  10001.946     0.24873   0.06923 
  10003.032    -0.03358   0.07119 
  10004.118     0.08911   0.06666 
  10005.204    -0.00142   0.04431 
  10006.290     0.01836   0.03011 
  10007.376    -0.01863   0.02581 
  10008.462     0.07359   0.02422 
  10009.548     0.11615   0.02449 
  10010.633     0.06397   0.02938 
  10011.719     0.01778   0.05104 
  10012.805     0.04261   0.09661 
  10013.891    -0.32636   0.20209 
  10014.977    -0.08319   0.19539 
  10016.063     0.06027   0.19783 
  10017.149     0.10676   0.17152 
  10018.235     0.23716   0.09893 
  10019.321     0.16192   0.04638 
  10020.407    -0.02374   0.02927 
  10021.493     0.08551   0.03615 
  10022.579     0.04501   0.04401 
  10023.665     0.10518   0.04190 
  10024.751    -0.01936   0.04514 
  10025.837    -0.04670   0.06987 
  10026.923     0.22824   0.11247 
  10028.009     0.21559   0.11051 
  10029.095     0.06844   0.10827 
  10030.181     0.11618   0.07639 
  10031.267     0.07210   0.05763 
  10032.353     0.01268   0.02961 
  10033.439     0.07322   0.02676 
  10034.525     0.02901   0.02677 
  10035.611     0.03234   0.02718 
  10036.697     0.06651   0.02870 
  10037.783     0.09184   0.03088 
  10038.869     0.01173   0.03735 
  10039.955     0.04942   0.03848 
  10041.041     0.11975   0.03525 
  10042.127     0.08095   0.03157 
  10043.213    -0.01771   0.03435 
  10044.299     0.06078   0.05491 
  10045.385    -0.00566   0.06991 
  10046.471    -0.21833   0.07113 
  10047.557     0.02542   0.06600 
  10048.643     0.05142   0.04230 
  10049.729     0.08014   0.02745 
  10050.814     0.00855   0.02422 
  10051.900     0.03320   0.02413 
  10052.986     0.14166   0.02364 
  10054.072     0.04192   0.02402 
  10055.158    -0.00570   0.02628 
  10056.244     0.05972   0.02487 
  10057.330     0.05209   0.02451 
  10058.416     0.04746   0.02736 
  10059.502     0.11598   0.03624 
  10060.588     0.12872   0.05588 
  10061.674    -0.03455   0.09451 
  10062.760    -0.14124   0.11430 
  10063.846     0.04387   0.13472 
  10064.932     0.08573   0.08531 
  10066.018    -0.01919   0.06054 
  10067.104     0.12110   0.04045 
  10068.190     0.18598   0.04516 
  10069.276     0.15396   0.04924 
  10070.362     0.08050   0.05600 
  10071.448     0.02651   0.06792 
  10072.534     0.08933   0.06894 
  10073.620     0.05344   0.06869 
  10074.706    -0.08248   0.06614 
  10075.792    -0.06615   0.06005 
  10076.878    -0.06874   0.03764 
  10077.964     0.06492   0.05326 
  10079.050     0.12111   0.04306 
  10080.136     0.18490   0.03186 
  10081.222     0.05392   0.03563 
  10082.308    -0.03272   0.05041 
  10083.394     0.24370   0.12272 
  10084.480     0.10214   0.24270 
  10085.566     0.09184   0.17898 
  10086.652     0.50862   0.13861 
  10087.738     0.14606   0.10246 
  10088.824    -0.01873   0.03194 
  10089.910     0.02490   0.02689 
  10090.995     0.04339   0.02769 
  10092.081     0.04410   0.02851 
  10093.167    -0.01189   0.03070 
  10094.253     0.02284   0.02739 
  10095.339     0.00567   0.02733 
  10096.425     0.03710   0.03259 
  10097.511    -0.00863   0.03400 
  10098.597     0.05449   0.03459 
  10099.683     0.05145   0.03585 
  10100.769     0.03546   0.03584 
  10101.855     0.03899   0.03896 
  10102.941    -0.01935   0.03869 
  10104.027     0.10184   0.06085 
  10105.113    -0.18041   0.10055 
  10106.199     0.04165   0.12007 
  10107.285     0.35419   0.10359 
  10108.371     0.19936   0.07452 
  10109.457     0.06483   0.03357 
  10110.543    -0.04134   0.02600 
  10111.629     0.03125   0.02551 
  10112.715    -0.00662   0.02555 
  10113.801     0.12447   0.02509 
  10114.887     0.08681   0.02472 
  10115.973     0.01642   0.02509 
  10117.059     0.02180   0.02524 
  10118.145     0.01599   0.02951 
  10119.231     0.14783   0.02542 
  10120.317     0.13679   0.02714 
  10121.403     0.01017   0.02936 
  10122.489    -0.00480   0.03841 
  10123.575     0.07648   0.05553 
  10124.661    -0.04605   0.13372 
  10125.747    -0.18641   0.17097 
  10126.833     0.05471   0.22124 
  10127.919     0.39225   0.16512 
  10129.005     0.39059   0.09173 
  10130.090     0.19977   0.03815 
  10131.176     0.08306   0.03074 
  10132.262     0.13042   0.03399 
  10133.348     0.10803   0.03841 
  10134.434    -0.00918   0.04448 
  10135.520    -0.03061   0.04710 
  10136.606     0.02645   0.04334 
  10137.692     0.05183   0.03710 
  10138.778     0.15216   0.02990 
  10139.864     0.01271   0.02964 
  10140.950     0.14400   0.03123 
  10142.036     0.07985   0.02845 
  10143.122     0.05806   0.03089 
  10144.208     0.07413   0.05238 
  10145.294     0.04400   0.07244 
  10146.380     0.10741   0.06312 
  10147.466     0.00072   0.05376 
  10148.552     0.04371   0.05087 
  10149.638     0.03127   0.05464 
  10150.724     0.01486   0.05682 
  10151.810     0.04612   0.05372 
  10152.896     0.06828   0.06638 
  10153.982     0.17036   0.10083 
  10155.068    -0.05733   0.11216 
  10156.154    -0.03393   0.15861 
  10157.240     0.10462   0.10886 
  10158.326     0.08572   0.07021 
  10159.412     0.15375   0.06687 
  10160.498     0.06537   0.07555 
  10161.584    -0.11087   0.07574 
  10162.670    -0.08383   0.07048 
  10163.756    -0.10941   0.04819 
  10164.842     0.02752   0.04796 
  10165.928     0.09668   0.14214 
  10167.014     0.09620   0.06148 
  10168.100     0.05307   0.22827 
  10169.186     0.07644   0.05408 
  10170.271     0.10330   0.04452 
  10171.357     0.05029   0.05728 
  10172.443    -0.04768   0.12404 
  10173.529     0.11962   0.29545 
  10174.615     0.14979   0.19432 
  10175.701     0.00193   0.18581 
  10176.787     0.07411   0.11550 
  10177.873     0.08990   0.04414 
  10178.959     0.08323   0.02955 
  10180.045     0.17936   0.02926 
  10181.131     0.13589   0.04025 
  10182.217     0.17735   0.07402 
  10183.303     0.13041   0.09953 
  10184.389    -0.04220   0.16534 
  10185.475     0.14067   0.20397 
  10186.561     0.13978   0.05213 
  10187.647     0.11510   0.03866 
  10188.733     0.21253   0.08605 
  10189.819     0.14930   0.08072 
  10190.905     0.14410   0.13745 
  10191.991     0.02276   0.15704 
  10193.077     0.06912   0.20882 
  10194.163     0.00060   0.13065 
  10195.249     0.08280   0.05711 
  10196.335     0.04901   0.03726 
  10197.421    -0.01857   0.03576 
  10198.507     0.05865   0.03558 
  10199.593     0.12970   0.03487 
  10200.679    -0.03621   0.04510 
  10201.765    -0.14357   0.44393 
