       9750.0000         -NaN         -NaN             NaN
       9913.9819      14639.1      121.342       14639.095
       9915.0679      14757.2      122.180       14757.227
       9916.1538      14770.9      122.562       14770.853
       9917.2398      14840.0      122.833       14839.972
       9918.3258      14978.1      123.435       14978.144
       9919.4118      15026.7      123.148       15026.665
       9920.4977      14981.9      123.086       14981.903
       9921.5837      15031.9      122.917       15031.925
       9922.6697      14906.5      122.423       14906.497
       9923.7557      14901.3      122.517       14901.264
       9924.8416      15042.6      122.749       15042.622
       9925.9276      15145.3      123.381       15145.339
       9927.0136      15144.4      123.175       15144.448
       9928.0995      15067.5      123.358       15067.495
       9929.1855      14918.3      122.496       14918.312
       9930.2715      15034.0      122.339       15034.001
       9931.3575      15230.3      123.856       15230.308
       9932.4434      15233.5      123.674       15233.477
       9933.5294      15170.0      123.545       15169.981
       9934.6154      15235.1      123.836       15235.057
       9935.7014      15335.2      124.156       15335.172
       9936.7873      15390.8      124.190       15390.825
       9937.8733      15404.1      124.394       15404.109
       9938.9593      15339.1      123.597       15339.092
       9940.0452      14853.6      122.591       14853.553
       9941.1312      15062.9      124.404       15062.912
       9942.2172      15330.4      124.314       15330.356
       9943.3032      15484.0      125.066       15483.994
       9944.3891      15451.5      125.150       15451.525
       9945.4751      15569.2      125.865       15569.237
       9946.5611      15646.6      126.086       15646.604
       9947.6471      15427.2      125.274       15427.159
       9948.7330      15477.4      125.676       15477.416
       9949.8190      15389.4      125.430       15389.373
       9950.9050      15438.7      125.373       15438.670
       9951.9910      15795.3      126.432       15795.323
       9953.0769      15856.1      126.525       15856.102
       9954.1629      15843.6      126.316       15843.575
       9955.2489      15866.8      126.406       15866.793
       9956.3348      15878.5      126.431       15878.450
       9957.4208      16054.5      127.531       16054.547
       9958.5068      16062.9      127.767       16062.935
       9959.5928      16017.1      127.642       16017.124
       9960.6787      16085.3      127.679       16085.259
       9961.7647      16076.3      127.509       16076.268
       9962.8507      16130.7      127.723       16130.652
       9963.9367      16038.3      127.455       16038.320
       9965.0226      16101.2      127.825       16101.234
       9966.1086      16176.6      127.902       16176.606
       9967.1946      16233.9      128.099       16233.869
       9968.2805      16286.8      128.090       16286.824
       9969.3665      16282.0      127.108       16282.022
       9970.4525      16325.4      128.203       16325.431
       9971.5385      16402.4      126.738       16402.434
       9972.6244      16419.9      128.537       16419.943
       9973.7104      16401.1      128.328       16401.066
       9974.7964      16412.8      128.763       16412.792
       9975.8824      16486.8      130.923       16486.772
       9976.9683      16620.3      129.505       16620.321
       9978.0543      16624.7      129.879       16624.656
       9979.1403      16478.5      133.374       16478.544
       9980.2262      16457.8      127.897       16457.808
       9981.3122      16719.2      133.110       16719.209
       9982.3982      16802.8      129.996       16802.793
       9983.4842      16828.7      129.913       16828.721
       9984.5701      16707.0      129.654       16707.043
       9985.6561      16663.5      129.380       16663.543
       9986.7421      16717.2      125.913       16717.205
       9987.8281      16577.0      129.061       16576.989
       9988.9140      16818.5      129.665       16818.468
       9990.0000      16691.4      131.588       16691.354
       9991.0860      16744.5      129.857       16744.531
       9992.1719      16595.1      129.629       16595.125
       9993.2579      16719.1      132.203       16719.141
       9994.3439      16801.6      129.951       16801.635
       9995.4299      16736.2      129.456       16736.150
       9996.5158      16829.2      130.212       16829.233
       9997.6018      16926.5      127.661       16926.546
       9998.6878      16712.2      130.877       16712.176
       9999.7738      16596.7      129.413       16596.684
       10000.860      16638.0      129.761       16637.951
       10001.946      16698.2      129.732       16698.197
       10003.032      16866.2      130.637       16866.178
       10004.118      16648.7      129.488       16648.700
       10005.204      16518.6      128.983       16518.635
       10006.290      16667.2      129.742       16667.247
       10007.376      16665.9      131.143       16665.945
       10008.462      16807.9      135.567       16807.924
       10009.548      16561.3      129.306       16561.330
       10010.633      16670.6      129.844       16670.559
       10011.719      16691.8      129.958       16691.786
       10012.805      16691.3      129.898       16691.311
       10013.891      16622.5      130.336       16622.464
       10014.977      16718.3      130.951       16718.276
       10016.063      16691.4      130.817       16691.363
       10017.149      16556.5      130.122       16556.507
       10018.235      16202.1      128.254       16202.097
       10019.321      16208.4      127.817       16208.363
       10020.407      16578.8      129.140       16578.781
       10021.493      16643.8      129.081       16643.842
       10022.579      16669.3      129.551       16669.271
       10023.665      16540.2      129.113       16540.229
       10024.751      16330.5      128.431       16330.476
       10025.837      16417.6      128.775       16417.584
       10026.923      16613.9      130.043       16613.913
       10028.009      16499.2      129.613       16499.217
       10029.095      16307.7      128.754       16307.672
       10030.181      15980.0      127.447       15980.025
       10031.267      15961.5      127.329       15961.506
       10032.353      15973.1      125.131       15973.079
       10033.439      15413.3      124.202       15413.289
       10034.525      15388.9      124.160       15388.914
       10035.611      15557.3      125.067       15557.305
       10036.697      15554.9      124.926       15554.936
       10037.783      15480.2      124.934       15480.201
       10038.869      15367.6      124.481       15367.603
       10039.955      15093.4      123.548       15093.371
       10041.041      14775.9      123.352       14775.857
       10042.127      14550.1      121.255       14550.140
       10043.213      14373.7      120.357       14373.650
       10044.299      14030.0      118.763       14029.997
       10045.385      13796.8      117.879       13796.777
       10046.471      13413.9      114.613       13413.912
       10047.557      13159.1      114.999       13159.127
       10048.643      12579.8      112.580       12579.830
       10049.729      11893.3      109.429       11893.333
       10050.814      10950.5      105.055       10950.509
       10051.900      10052.6      100.392       10052.648
       10052.986      10044.8      99.7293       10044.841
       10054.072      10795.1      104.117       10795.117
       10055.158      11579.6      107.982       11579.585
       10056.244      12533.0      112.033       12532.964
       10057.330      13170.0      114.564       13169.981
       10058.416      13723.2      117.209       13723.217
       10059.502      14029.9      118.634       14029.865
       10060.588      14233.2      119.768       14233.250
       10061.674      14617.9      122.998       14617.946
       10062.760      14891.2      122.768       14891.237
       10063.846      15282.0      124.543       15282.036
       10064.932      15613.7      125.761       15613.728
       10066.018      15499.5      125.161       15499.537
       10067.104      15544.0      125.294       15544.002
       10068.190      15906.3      126.852       15906.311
       10069.276      16104.1      127.370       16104.063
       10070.362      16385.8      128.542       16385.765
       10071.448      16432.3      128.653       16432.268
       10072.534      16496.3      129.145       16496.331
       10073.620      16251.6      128.195       16251.611
       10074.706      16825.1      130.426       16825.120
       10075.792      16974.0      130.876       16973.980
       10076.878      17262.1      131.884       17262.134
       10077.964      17356.8      132.213       17356.820
       10079.050      17370.6      132.288       17370.645
       10080.136      17442.2      132.494       17442.234
       10081.222      17356.9      132.452       17356.937
       10082.308      17578.0      133.322       17577.971
       10083.394      17623.7      133.925       17623.666
       10084.480      17782.6      134.754       17782.606
       10085.566      17734.5      134.669       17734.469
       10086.652      17736.8      134.642       17736.758
       10087.738      17370.2      133.042       17370.225
       10088.824      17508.8      132.760       17508.809
       10089.910      17716.6      133.313       17716.568
       10090.995      17228.3      131.597       17228.261
       10092.081      17157.4      131.621       17157.422
       10093.167      17795.0      133.941       17795.039
       10094.253      17883.9      134.398       17883.932
       10095.339      17984.9      134.707       17984.937
       10096.425      18029.2      134.902       18029.193
       10097.511      18469.6      136.470       18469.591
       10098.597      18652.6      137.260       18652.591
       10099.683      18531.4      136.825       18531.373
       10100.769      18408.3      136.355       18408.263
       10101.855      18489.6      136.289       18489.649
       10102.941      18642.3      137.126       18642.339
       10104.027      18837.8      137.927       18837.761
       10105.113      18765.9      137.988       18765.945
       10106.199      18747.4      137.940       18747.394
       10107.285      18683.5      137.773       18683.487
       10108.371      18745.8      137.968       18745.787
       10109.457      18619.5      137.207       18619.501
       10110.543      18916.8      138.017       18916.755
       10111.629      18945.1      138.166       18945.073
       10112.715      18869.8      137.843       18869.848
       10113.801      18839.9      137.842       18839.941
       10114.887      18898.9      138.054       18898.901
       10115.973      18870.8      138.050       18870.816
       10117.059      18802.5      137.825       18802.540
       10118.145      18838.1      137.910       18838.077
       10119.231      19004.7      138.649       19004.727
       10120.317      18901.3      137.881       18901.306
       10121.403      19020.0      138.498       19020.037
       10122.489      19063.0      138.710       19062.980
       10123.575      19094.3      138.798       19094.314
       10124.661      19121.5      139.326       19121.481
       10125.747      19207.8      140.130       19207.844
       10126.833      19099.4      139.846       19099.423
       10127.919      19077.9      139.691       19077.855
       10129.005      19219.8      139.808       19219.765
       10130.090      19291.1      139.500       19291.132
       10131.176      19326.4      139.668       19326.450
       10132.262      19371.9      139.704       19371.897
       10133.348      19288.9      139.450       19288.895
       10134.434      19377.9      139.826       19377.891
       10135.520      19370.9      140.017       19370.862
       10136.606      19333.8      139.631       19333.822
       10137.692      19287.3      139.514       19287.257
       10138.778      19272.0      139.498       19272.000
       10139.864      19278.7      139.564       19278.675
       10140.950      19455.8      139.915       19455.774
       10142.036      19439.7      140.118       19439.706
       10143.122      19409.3      140.029       19409.313
       10144.208      19335.3      139.862       19335.334
