   # lambda  flux(e-/s)    stddev 
   9750.000     0.01673   0.03464 
   9751.086    -0.00278   0.02810 
   9752.172     0.06781   0.02214 
   9753.258     0.00887   0.02037 
   9754.344     0.00577   0.02025 
   9755.430     0.03470   0.02023 
   9756.516     0.11282   0.02114 
   9757.602    -0.03688   0.02201 
   9758.688     0.03477   0.02331 
   9759.774    -0.07799       nan 
   9760.860    -0.08792   0.02638 
   9761.946    -0.02989   0.02671 
   9763.032    -0.01972   0.02233 
   9764.118    -0.01729   0.02192 
   9765.204    -0.00170   0.02230 
   9766.290    -0.01660   0.02198 
   9767.376     0.01404   0.02175 
   9768.462     0.03035   0.02529 
   9769.548    -0.01605   0.02328 
   9770.633     0.00552   0.02278 
   9771.719    -0.01422   0.02404 
   9772.805     0.03398   0.02351 
   9773.891    -0.07445   0.03309 
   9774.977    -0.02360   0.03895 
   9776.063    -0.03474   0.02364 
   9777.149    -0.12950   0.02259 
   9778.235    -0.08856   0.03742 
   9779.321    -0.04231   0.02339 
   9780.407    -0.05171   0.04029 
   9781.493    -0.02177   0.02272 
   9782.579     0.11208   0.02296 
   9783.665     0.09177   0.03084 
   9784.751    -0.05207   0.05065 
   9785.837     0.02493   0.02374 
   9786.923     0.04349   0.02512 
   9788.009    -0.00531   0.02413 
   9789.095    -0.10959   0.02963 
   9790.181     0.00308   0.04631 
   9791.267    -0.08551   0.07791 
   9792.353    -0.24271   0.12723 
   9793.439    -0.31954   0.16035 
   9794.525    -0.15040   0.14886 
   9795.611    -0.09072   0.18485 
   9796.697     0.05001   0.10360 
   9797.783     0.03595   0.05581 
   9798.869     0.04342   0.04187 
   9799.955    -0.00338   0.07923 
   9801.041     0.11418   0.07760 
   9802.127     0.03669   0.08013 
   9803.213    -0.07035   0.07875 
   9804.299    -0.05854   0.11580 
   9805.385    -0.06656   0.07330 
   9806.471    -0.01764   0.02873 
   9807.557     0.02012   0.05226 
   9808.643    -0.04683   0.03422 
   9809.729    -0.05963   0.03979 
   9810.814    -0.09675   0.03762 
   9811.900    -0.08484   0.04224 
