       9750.0000         -NaN         -NaN             NaN
       9751.0860      50171.0      222.769       50170.986
       9752.1719      51810.7      227.126       51810.743
       9753.2579      52318.4      232.261       52318.412
       9754.3439      53177.3      229.306       53177.279
       9755.4299      53034.3      227.418       53034.270
       9756.5158      53514.1      237.864       53514.076
       9757.6018      53812.9      232.088       53812.885
       9758.6878      53738.7      230.878       53738.689
       9759.7738      54384.5      231.676       54384.472
       9760.8597      56300.0      236.346       56299.956
       9761.9457      57997.9      247.756       57997.902
       9763.0317      57195.6      238.038       57195.649
       9764.1176      56539.0      238.702       56539.010
       9765.2036      56267.2      236.441       56267.234
       9766.2896      56539.3      239.842       56539.316
       9767.3756      57229.1      238.111       57229.058
       9768.4615      58502.8      241.577       58502.834
       9769.5475      60788.9      248.508       60788.925
       9770.6335      61802.6      249.929       61802.586
       9771.7195      61886.0      247.255       61885.993
       9772.8054      61636.9      247.062       61636.877
       9773.8914      62373.3      249.129       62373.305
       9774.9774      61963.9      260.605       61963.860
       9776.0633      62013.2      247.819       62013.215
       9777.1493      62181.9      248.778       62181.854
       9778.2353      62717.5      249.669       62717.480
       9779.3213      63337.3      251.303       63337.278
       9780.4072      62954.8      250.068       62954.782
       9781.4932      62511.9      249.788       62511.941
       9782.5792      62092.2      247.731       62092.200
       9783.6652      61796.9      251.277       61796.850
       9784.7511      63281.5      251.714       63281.470
       9785.8371      64171.0      260.053       64170.997
       9786.9231      64994.6      252.608       64994.645
       9788.0090      65139.8      255.591       65139.801
       9789.0950      65183.9      254.686       65183.924
       9790.1810      65161.8      254.404       65161.762
       9791.2670      65395.6      244.159       65395.591
       9792.3529      64717.8      254.097       64717.799
       9793.4389      64570.5      254.695       64570.469
       9794.5249      64892.6      254.926       64892.592
       9795.6109      65854.1      256.884       65854.081
       9796.6968      67368.4      261.749       67368.442
       9797.7828      67899.8      260.503       67899.812
       9798.8688      67357.2      260.542       67357.209
       9799.9548      67105.8      261.544       67105.818
       9801.0407      66722.4      258.464       66722.361
       9802.1267      65762.2      254.608       65762.233
       9803.2127      65574.1      262.434       65574.138
       9804.2986      66292.7      257.048       66292.653
       9805.3846      67450.1      258.947       67450.070
       9806.4706      68882.7      260.917       68882.700
       9807.5566      69778.5      262.130       69778.544
       9808.6425      70385.3      266.319       70385.317
       9809.7285      69915.2      262.617       69915.193
       9810.8145      70414.9      265.735       70414.944
       9811.9005      70607.9      266.375       70607.854
       9812.9864      69489.6      262.743       69489.622
       9814.0724      70099.3      264.292       70099.344
       9815.1584      69752.5      263.009       69752.467
       9816.2443      69986.3      265.094       69986.266
       9817.3303      70760.3      267.739       70760.292
       9818.4163      70339.8      267.718       70339.773
       9819.5023      70347.2      263.444       70347.225
       9820.5882      71089.7      266.156       71089.688
       9821.6742      71769.3      263.278       71769.336
       9822.7602      72119.2      271.485       72119.196
       9823.8462      70933.5      268.552       70933.542
       9824.9321      69830.9      263.459       69830.878
       9826.0181      69429.5      259.421       69429.523
       9827.1041      69993.4      263.211       69993.438
       9828.1900      70795.5      265.736       70795.526
       9829.2760      71910.1      265.488       71910.120
       9830.3620      71784.7      266.376       71784.661
       9831.4480      71693.1      267.744       71693.089
       9832.5339      71536.6      267.930       71536.553
       9833.6199      71577.6      265.927       71577.564
       9834.7059      72019.7      268.993       72019.698
       9835.7919      71996.9      269.469       71996.854
       9836.8778      71559.1      269.277       71559.066
       9837.9638      71949.9      265.438       71949.928
       9839.0498      72947.0      273.624       72946.966
       9840.1357      73396.2      271.943       73396.170
       9841.2217      73140.2      268.009       73140.196
       9842.3077      73080.6      271.529       73080.575
       9843.3937      73334.2      269.443       73334.180
       9844.4796      73086.5      272.392       73086.502
       9845.5656      73043.6      269.976       73043.607
       9846.6516      73241.2      271.194       73241.213
       9847.7376      73635.2      263.268       73635.189
       9848.8235      73883.3      271.096       73883.270
       9849.9095      73587.4      270.516       73587.389
       9850.9955      73539.6      265.275       73539.572
       9852.0814      74013.6      264.245       74013.632
       9853.1674      74336.1      269.538       74336.119
       9854.2534      75005.4      268.648       75005.359
       9855.3394      75137.6      278.235       75137.616
       9856.4253      74379.5      217.636       74379.470
       9857.5113      74466.2      271.923       74466.209
       9858.5973      74711.8      271.981       74711.792
       9859.6833      75408.9      309.063       75408.935
       9860.7692      76852.8      279.460       76852.756
       9861.8552      77070.1      292.134       77070.059
       9862.9412      76550.1      275.129       76550.132
       9864.0271      75696.0      277.237       75695.972
       9865.1131      75665.6      274.978       75665.596
       9866.1991      76165.3      267.142       76165.345
       9867.2851      77153.4      246.685       77153.416
       9868.3710      76866.3      286.967       76866.263
       9869.4570      75941.0      276.802       75940.994
       9870.5430      76202.7      301.227       76202.679
       9871.6290      75883.7      273.731       75883.697
       9872.7149      75905.4      275.369       75905.414
       9873.8009      76177.1      277.194       76177.130
       9874.8869      77047.4      277.971       77047.368
       9875.9729      77233.3      282.673       77233.259
       9877.0588      76909.5      272.910       76909.453
       9878.1448      76917.8      283.129       76917.824
       9879.2308      77718.0      258.308       77718.039
       9880.3167      78347.0      280.832       78346.954
       9881.4027      78669.4      284.666       78669.405
       9882.4887      78665.5      276.077       78665.479
       9883.5747      78500.2      277.176       78500.229
       9884.6606      78462.5      277.186       78462.534
       9885.7466      79477.3      282.445       79477.295
       9886.8326      79635.3      278.821       79635.341
       9887.9186      79735.2      283.573       79735.204
       9889.0045      79621.0      282.215       79620.983
       9890.0905      79022.9      280.190       79022.927
       9891.1765      78098.4      295.161       78098.398
       9892.2624      76311.8      279.491       76311.777
       9893.3484      75746.6      273.477       75746.592
       9894.4344      77225.7      278.036       77225.694
       9895.5204      78932.4      279.711       78932.382
       9896.6063      80924.1      283.471       80924.107
       9897.6923      81402.5      281.470       81402.488
       9898.7783      80946.7      284.222       80946.737
       9899.8643      80367.3      280.764       80367.280
       9900.9502      79841.2      281.554       79841.205
       9902.0362      80743.2      281.509       80743.161
       9903.1222      81609.3      286.926       81609.274
       9904.2081      82436.6      290.386       82436.557
       9905.2941      82390.6      286.445       82390.617
       9906.3801      81697.4      283.593       81697.353
       9907.4661      83619.7      285.926       83619.743
       9908.5520      83294.6      288.192       83294.591
       9909.6380      82547.4      288.792       82547.405
       9910.7240      82435.6      275.729       82435.578
       9911.8100      83461.5      287.569       83461.457
       9912.8959      84115.3      280.165       84115.318
       9913.9819      83821.2      288.519       83821.202
       9915.0679      83714.9      288.391       83714.925
       9916.1538      84245.2      288.895       84245.177
       9917.2398      84490.2      292.413       84490.207
       9918.3258      84946.9      288.294       84946.935
       9919.4118      85073.6      291.682       85073.646
       9920.4977      85490.4      290.330       85490.358
       9921.5837      85709.0      291.772       85709.031
       9922.6697      85276.5      288.771       85276.450
       9923.7557      84621.6      291.167       84621.649
       9924.8416      85637.4      291.628       85637.386
       9925.9276      86821.8      291.546       86821.807
       9927.0136      86971.8      294.321       86971.765
       9928.0995      87090.7      298.408       87090.715
       9929.1855      86672.8      286.862       86672.762
       9930.2715      86819.5      293.485       86819.489
       9931.3575      87247.6      299.059       87247.632
       9932.4434      87010.6      295.545       87010.576
       9933.5294      86298.2      293.218       86298.177
       9934.6154      86573.5      293.138       86573.452
       9935.7014      87838.4      423.544       87838.365
       9936.7873      88582.0      289.938       88581.997
       9937.8733      89089.9      299.230       89089.901
       9938.9593      89229.4      297.133       89229.348
       9940.0452      88832.5      293.831       88832.462
       9941.1312      89321.1      306.865       89321.102
       9942.2172      89615.9      298.429       89615.889
       9943.3032      89952.9      305.603       89952.899
       9944.3891      90117.9      297.780       90117.855
       9945.4751      90272.0      304.177       90271.980
       9946.5611      90325.9      303.583       90325.852
       9947.6471      88836.2      295.228       88836.241
       9948.7330      87493.6      295.507       87493.594
       9949.8190      89457.1      299.215       89457.058
       9950.9050      90854.2      300.171       90854.210
       9951.9910      90940.6      297.407       90940.564
       9953.0769      91259.6      261.606       91259.608
       9954.1629      91165.9      303.049       91165.890
       9955.2489      91846.0      302.015       91845.952
       9956.3348      91802.4      301.955       91802.377
       9957.4208      91618.4      303.357       91618.437
       9958.5068      91837.9      302.266       91837.943
       9959.5928      91909.2      302.084       91909.165
       9960.6787      92380.6      299.884       92380.622
       9961.7647      92877.4      304.827       92877.427
       9962.8507      92087.1      300.585       92087.112
       9963.9367      87767.2      293.119       87767.252
       9965.0226      88139.8      294.250       88139.786
       9966.1086      94356.9      303.120       94356.871
       9967.1946      94658.6      307.041       94658.554
       9968.2805      94491.0      307.403       94490.972
       9969.3665      94723.4      305.907       94723.358
       9970.4525      94355.7      307.832       94355.731
       9971.5385      94490.9      306.294       94490.928
       9972.6244      94954.2      308.151       94954.230
       9973.7104      94835.3      303.124       94835.300
       9974.7964      94905.6      305.871       94905.640
       9975.8824      95714.0      307.631       95713.975
       9976.9683      95910.8      314.101       95910.759
       9978.0543      96198.0      309.985       96198.033
       9979.1403      95322.4      315.388       95322.386
       9980.2262      95965.4      311.994       95965.357
       9981.3122      96782.7      315.509       96782.655
       9982.3982      96500.4      307.142       96500.427
       9983.4842      96514.6      310.124       96514.581
       9984.5701      96159.6      309.350       96159.638
       9985.6561      96179.7      306.570       96179.695
       9986.7421      96031.4      308.399       96031.355
       9987.8281      96451.8      295.367       96451.835
       9988.9140      96114.3      293.551       96114.327
       9990.0000      96018.3      308.723       96018.324
       9991.0860      96689.6      308.645       96689.599
       9992.1719      96231.3      310.238       96231.312
       9993.2579      95111.7      309.940       95111.713
       9994.3439      95333.4      323.710       95333.389
       9995.4299      96490.2      308.817       96490.197
       9996.5158      96913.0      315.126       96912.991
       9997.6018      96105.6      309.019       96105.558
       9998.6878      95331.5      308.357       95331.468
       9999.7738      93914.0      302.759       93913.998
       10000.860      92801.7      302.719       92801.689
       10001.946      94115.8      305.641       94115.793
       10003.032      95805.9      312.533       95805.933
       10004.118      95669.9      308.655       95669.866
       10005.204      96414.4      317.688       96414.353
       10006.290      97157.5      307.791       97157.482
       10007.376      97315.6      312.265       97315.601
       10008.462      97272.7      317.654       97272.653
       10009.548      97472.8      311.105       97472.783
       10010.633      97520.8      313.114       97520.821
       10011.719      96875.4      305.139       96875.412
       10012.805      96757.4      310.883       96757.433
       10013.891      96528.9      306.888       96528.947
       10014.977      96286.5      310.656       96286.454
       10016.063      96295.4      311.611       96295.402
       10017.149      95993.1      309.032       95993.055
       10018.235      95969.6      309.174       95969.581
       10019.321      95697.7      299.045       95697.723
       10020.407      96251.1      308.238       96251.131
       10021.493      96076.0      307.465       96075.974
       10022.579      95625.8      310.135       95625.815
       10023.665      95532.9      309.273       95532.915
       10024.751      95411.1      295.544       95411.082
       10025.837      95174.9      301.341       95174.908
       10026.923      93107.2      279.537       93107.235
       10028.009      92755.8      304.139       92755.845
       10029.095      93917.9      307.878       93917.884
       10030.181      93822.8      307.163       93822.769
       10031.267      93975.7      306.249       93975.714
       10032.353      93543.3      302.892       93543.284
       10033.439      93144.6      302.403       93144.618
       10034.525      92255.7      298.745       92255.654
       10035.611      92304.6      302.750       92304.633
       10036.697      91234.7      303.479       91234.669
       10037.783      89294.6      308.985       89294.582
       10038.869      86826.8      294.323       86826.823
       10039.955      85240.5      292.430       85240.523
       10041.041      84951.0      289.902       84951.035
       10042.127      85557.0      316.168       85557.031
       10043.213      85529.4      287.200       85529.358
