   # lambda  flux(e-/s)    stddev 
   9750.000     0.03120   0.02893 
   9751.086     0.03807   0.02381 
   9752.172     0.00574   0.01980 
   9753.258    -0.04357   0.01834 
   9754.344    -0.03067   0.01901 
   9755.430    -0.02162   0.02715 
   9756.516    -0.02993   0.01896 
   9757.602     0.03289   0.01857 
   9758.688    -0.02141   0.02173 
   9759.774     0.01726   0.01982 
   9760.860     0.07453   0.02019 
   9761.946     0.03458   0.01854 
   9763.032     0.02778   0.01940 
   9764.118     0.07096   0.01835 
   9765.204     0.09108   0.02442 
   9766.290     0.04872   0.01800 
   9767.376     0.01593   0.01750 
   9768.462     0.04160   0.01989 
   9769.548     0.05896   0.01873 
   9770.633     0.01822   0.01768 
   9771.719    -0.01962   0.01825 
   9772.805     0.05962   0.01897 
   9773.891     0.08639   0.02068 
   9774.977    -0.00613   0.03356 
   9776.063    -0.00195   0.01908 
   9777.149    -0.02470   0.01855 
   9778.235     0.01571   0.01787 
   9779.321     0.03911   0.01859 
   9780.407     0.05689   0.01784 
   9781.493     0.01066   0.01825 
   9782.579     0.04148   0.01938 
   9783.665     0.03399   0.01789 
   9784.751     0.03941   0.01835 
   9785.837    -0.05495   0.01886 
   9786.923    -0.07935   0.01780 
   9788.009    -0.02450   0.02152 
   9789.095    -0.00202   0.02360 
   9790.181    -0.04653   0.03648 
   9791.267     0.02127   0.05830 
   9792.353    -0.04218   0.09943 
   9793.439    -0.11624   0.10787 
   9794.525    -0.02091   0.10454 
   9795.611    -0.09589   0.08719 
   9796.697     0.02484   0.03813 
   9797.783     0.05729   0.02651 
   9798.869     0.09567   0.02820 
   9799.955     0.06179   0.04149 
   9801.041     0.04587   0.06102 
   9802.127    -0.05869   0.07010 
   9803.213    -0.01088   0.07021 
   9804.299    -0.08644   0.05870 
   9805.385    -0.03306   0.02669 
   9806.471     0.07951   0.01996 
   9807.557     0.04866   0.02149 
   9808.643     0.01947   0.02610 
   9809.729    -0.04519   0.03016 
   9810.814    -0.04082   0.03305 
   9811.900    -0.01106   0.03344 
   9812.986     0.00293   0.03753 
   9814.072     0.05555   0.04210 
   9815.158    -0.04082   0.04311 
   9816.244    -0.00168   0.03747 
   9817.330    -0.00793   0.02955 
   9818.416    -0.02844   0.02735 
   9819.502    -0.02602   0.02852 
   9820.588     0.08047   0.02883 
   9821.674     0.03855   0.02679 
   9822.760     0.02690   0.02301 
   9823.846     0.02356   0.02032 
   9824.932     0.10242   0.02038 
   9826.018     0.05688   0.03213 
   9827.104    -0.00351   0.02360 
   9828.190     0.01646   0.02783 
   9829.276    -0.00810   0.03017 
   9830.362     0.02947   0.02913 
   9831.448     0.02424   0.02757 
   9832.534     0.06400   0.02597 
   9833.620    -0.04387   0.02371 
   9834.706     0.00561   0.02231 
   9835.792     0.01964   0.02286 
   9836.878     0.00806   0.02080 
   9837.964     0.03471   0.02562 
   9839.050     0.01162   0.02014 
   9840.136     0.00307   0.02159 
   9841.222     0.07731   0.02239 
   9842.308     0.08124   0.01922 
   9843.394     0.01300   0.01976 
   9844.480     0.00340   0.01922 
   9845.566    -0.01893   0.01922 
   9846.652     0.01186   0.01972 
   9847.738    -0.02656   0.02159 
   9848.824    -0.10200   0.03634 
   9849.910    -0.04748   0.05762 
   9850.995     0.04279   0.06014 
   9852.081    -0.05717   0.05950 
   9853.167     0.00804   0.05126 
   9854.253     0.00102   0.02703 
   9855.339     0.01449   0.01977 
   9856.425    -0.00095   0.01957 
   9857.511    -0.03384   0.02067 
   9858.597    -0.01568   0.02147 
   9859.683    -0.00280   0.02267 
   9860.769    -0.01027   0.02247 
