      9750.00    0.0662217     0.257336
      9751.09    0.0634017     0.251797
      9752.17   -0.0178465     0.319695
      9753.26    0.0551749     0.234893
      9754.34    0.0748673     0.273619
      9755.43    0.0306995     0.175213
      9756.52    0.0924524     0.304060
      9757.60     0.103681     0.321995
      9758.69    0.0821919     0.286691
      9759.77    0.0936747     0.306063
      9760.86    0.0130930     0.114425
      9761.95    0.0452134     0.212634
      9763.03    0.0298114     0.172660
      9764.12    0.0342130     0.184968
      9765.20    0.0584068     0.241675
      9766.29    0.0624594     0.249919
      9767.38    0.0394597     0.198645
      9768.46    0.0739387     0.271917
      9769.55    0.0644549     0.253880
      9770.63    0.0859250     0.293130
      9771.72    0.0869239     0.294829
      9772.81    0.0531463     0.230535
      9773.89    0.0323800     0.179944
      9774.98    0.0562502     0.237171
      9776.06   0.00957953    0.0978751
      9777.15     0.106672     0.326607
      9778.24    0.0632640     0.251523
      9779.32    0.0830198     0.288132
      9780.41    0.0364328     0.190874
      9781.49    0.0538876     0.232137
      9782.58    0.0488793     0.221087
      9783.67    0.0793102     0.281621
      9784.75    0.0668573     0.258568
      9785.84    0.0623876     0.249775
      9786.92    0.0628652     0.250729
      9788.01     0.113966     0.337589
      9789.09    0.0973887     0.312072
      9790.18    0.0695303     0.263686
      9791.27   -0.0256712     0.319695
      9792.35     0.106820     0.326834
      9793.44     0.191677     0.437809
      9794.52    0.0978813     0.312860
      9795.61     0.113809     0.337357
      9796.70    0.0866355     0.294339
      9797.78    0.0840470     0.289909
      9798.87  -0.00411553     0.319695
      9799.96    0.0706294     0.265762
      9801.04     0.128190     0.358036
      9802.13    0.0953525     0.308792
      9803.21     0.118019     0.343540
      9804.30    0.0328207     0.181165
      9805.38     0.112125     0.334851
      9806.47    0.0434862     0.208533
      9807.56    0.0465503     0.215755
      9808.64  0.000726415    0.0269521
      9809.73    0.0656108     0.256146
      9810.81     0.115034     0.339167
      9811.90     0.127263     0.356739
      9812.99     0.120238     0.346753
      9814.07    0.0637882     0.252563
      9815.16    0.0106281     0.103093
      9816.24    0.0495525     0.222604
      9817.33     0.138343     0.371945
      9818.42     0.100715     0.317356
      9819.50     0.123692     0.351699
      9820.59    0.0674393     0.259691
      9821.67    0.0120882     0.109947
      9822.76    0.0635696     0.252130
      9823.85    0.0421816     0.205382
      9824.93    0.0711482     0.266736
      9826.02    0.0756487     0.275043
      9827.10    0.0458339     0.214089
      9828.19   0.00177448    0.0421246
      9829.28    0.0535470     0.231402
      9830.36    0.0764680     0.276528
      9831.45    0.0638931     0.252771
      9832.53    0.0574537     0.239695
      9833.62   0.00970454    0.0985116
      9834.71    0.0219819     0.148263
      9835.79    0.0869330     0.294844
      9836.88     0.103440     0.321620
      9837.96     0.104649     0.323495
      9839.05    0.0614732     0.247938
      9840.14    0.0868616     0.294723
      9841.22    0.0403933     0.200981
