       9750.0000         -NaN         -NaN             NaN
       9751.0860      9249.84      97.2785       9249.8429
       9752.1719      9428.52      97.5735       9428.5161
       9753.2579      9723.93      98.6658       9723.9293
       9754.3439      9865.38      99.0611       9865.3747
       9755.4299      9871.53      99.1701       9871.5314
       9756.5158      9843.90      100.914       9843.8993
       9757.6018      9873.03      97.9546       9873.0270
       9758.6878      9866.56      98.5592       9866.5588
       9759.7738      9900.10      99.5430       9900.0953
       9760.8597      9968.61      100.078       9968.6097
       9761.9457      10165.1      87.0375       10165.096
       9763.0317      10353.7      101.980       10353.696
       9764.1176      10343.1      90.3049       10343.063
       9765.2036      10192.6      103.272       10192.553
       9766.2896      10330.9      101.566       10330.918
       9767.3756      10581.0      103.330       10581.035
       9768.4615      10815.6      97.4463       10815.630
       9769.5475      10850.0      104.126       10850.036
       9770.6335      10937.1      104.671       10937.135
       9771.7195      10947.8      107.769       10947.813
       9772.8054      11146.4      105.574       11146.380
       9773.8914      11065.2      105.398       11065.163
       9774.9774      10990.2      105.311       10990.246
       9776.0633      11048.1      105.804       11048.107
       9777.1493      11093.6      104.930       11093.589
       9778.2353      11113.2      103.046       11113.168
       9779.3213      11163.3      105.914       11163.333
       9780.4072      11239.8      107.395       11239.796
       9781.4932      11232.1      106.040       11232.069
       9782.5792      11291.4      106.273       11291.386
       9783.6652      11167.1      106.378       11167.054
       9784.7511      11055.1      105.542       11055.056
       9785.8371      11319.9      107.015       11319.854
       9786.9231      11523.5      108.148       11523.452
       9788.0090      11682.6      108.068       11682.595
       9789.0950      11699.5      109.421       11699.485
       9790.1810      11718.4      109.121       11718.363
       9791.2670      11658.3      107.369       11658.272
       9792.3529      11718.0      108.962       11717.999
       9793.4389      11684.5      108.696       11684.536
       9794.5249      11585.1      108.209       11585.090
       9795.6109      11597.8      107.216       11597.786
       9796.6968      11846.2      108.464       11846.230
       9797.7828      11988.0      110.156       11987.997
       9798.8688      11963.6      122.166       11963.598
       9799.9548      12105.8      110.639       12105.815
       9801.0407      12137.8      110.776       12137.810
       9802.1267      11982.4      109.858       11982.358
       9803.2127      11754.5      109.146       11754.495
       9804.2986      11434.4      106.381       11434.358
       9805.3846      11756.0      108.053       11756.000
       9806.4706      12157.1      110.425       12157.068
       9807.5566      12152.7      110.446       12152.708
       9808.6425      11959.8      109.248       11959.820
       9809.7285      11894.6      109.334       11894.612
       9810.8145      12377.8      111.576       12377.817
       9811.9005      12461.5      108.606       12461.523
       9812.9864      12481.1      114.499       12481.061
       9814.0724      12426.7      111.763       12426.655
       9815.1584      12196.5      110.563       12196.547
       9816.2443      12099.1      109.195       12099.128
       9817.3303      12274.4      110.463       12274.369
       9818.4163      12386.9      112.695       12386.886
       9819.5023      12480.4      112.646       12480.405
       9820.5882      12565.5      112.474       12565.463
       9821.6742      12593.8      112.898       12593.787
       9822.7602      12511.0      111.671       12511.033
       9823.8462      12617.5      110.200       12617.509
       9824.9321      12611.5      110.891       12611.497
       9826.0181      12445.6      111.640       12445.611
       9827.1041      12440.5      111.924       12440.488
       9828.1900      12462.9      111.813       12462.942
       9829.2760      12653.3      112.562       12653.306
       9830.3620      12757.4      94.4161       12757.402
       9831.4480      12773.4      113.071       12773.399
       9832.5339      12766.8      113.181       12766.804
       9833.6199      12762.3      112.903       12762.347
       9834.7059      12680.2      112.843       12680.241
       9835.7919      12718.6      113.366       12718.629
       9836.8778      12944.8      114.603       12944.793
       9837.9638      12914.5      114.049       12914.482
       9839.0498      12824.9      113.780       12824.913
       9840.1357      12922.9      113.955       12922.906
       9841.2217      12897.6      114.305       12897.635
       9842.3077      12939.1      114.431       12939.108
       9843.3937      12862.8      113.708       12862.765
       9844.4796      12771.8      117.344       12771.807
       9845.5656      12915.8      114.171       12915.781
       9846.6516      12969.7      114.038       12969.728
       9847.7376      13013.7      114.703       13013.711
       9848.8235      13022.2      114.651       13022.243
       9849.9095      12956.3      114.220       12956.282
