   # lambda  flux(e-/s)    stddev 
   9750.000    -0.35538   0.04393 
   9751.086    -0.39266   0.03508 
   9752.172    -0.29323   0.02775 
   9753.258    -0.19166   0.02586 
   9754.344    -0.37081   0.02574 
   9755.430    -0.40909   0.02784 
   9756.516    -0.39977   0.03129 
   9757.602    -0.33485   0.02862 
   9758.688    -0.40183   0.03235 
   9759.774    -0.37335   0.02947 
   9760.860    -0.40334   0.02804 
   9761.946    -0.43270   0.02688 
   9763.032    -0.32782   0.02645 
   9764.118    -0.42012   0.02612 
   9765.204    -0.31309   0.02619 
   9766.290    -0.40778   0.02781 
   9767.376    -0.40946   0.02594 
   9768.462    -0.36018   0.03402 
   9769.548    -0.41133   0.03714 
   9770.633    -0.41516   0.02620 
   9771.719    -0.34331   0.02777 
   9772.805    -0.38925   0.02931 
   9773.891    -0.38989   0.02607 
   9774.977    -0.34468   0.02590 
   9776.063    -0.32414   0.02611 
   9777.149    -0.38095   0.02611 
   9778.235    -0.49207   0.03399 
   9779.321    -0.35963   0.04063 
   9780.407    -0.32095   0.02697 
   9781.493    -0.40143   0.02666 
   9782.579    -0.41852   0.04443 
   9783.665    -0.34207   0.02613 
   9784.751    -0.39366   0.02585 
   9785.837    -0.43561   0.03598 
   9786.923    -0.43765   0.03083 
   9788.009    -0.37488   0.03225 
   9789.095    -0.35695   0.03358 
   9790.181    -0.28898   0.05139 
   9791.267    -0.45295   0.12176 
   9792.353    -0.56025   0.16294 
   9793.439    -0.21354   0.16245 
   9794.525    -0.56303   0.16940 
   9795.611    -0.43692   0.12139 
   9796.697    -0.43688   0.06560 
   9797.783    -0.28929   0.04630 
   9798.869    -0.39469   0.04245 
   9799.955    -0.50054   0.05839 
   9801.041    -0.29488   0.08819 
   9802.127    -0.42890   0.09019 
   9803.213    -0.19383   0.08855 
   9804.299    -0.22078   0.06884 
   9805.385    -0.34386   0.03749 
   9806.471    -0.30342   0.02932 
   9807.557    -0.35964   0.03323 
   9808.643    -0.32774   0.03945 
   9809.729    -0.36172   0.04449 
   9810.814    -0.41312   0.04309 
   9811.900    -0.32567   0.04607 
   9812.986    -0.42854   0.05498 
   9814.072    -0.36865   0.06586 
   9815.158    -0.41456   0.05969 
   9816.244    -0.55214   0.05421 
   9817.330    -0.47796   0.04303 
   9818.416    -0.51592   0.03968 
   9819.502    -0.43510   0.04249 
   9820.588    -0.37871   0.04739 
   9821.674    -0.35558   0.05234 
   9822.760    -0.39926   0.03336 
   9823.846    -0.35909   0.02905 
   9824.932    -0.36891   0.02993 
   9826.018    -0.50581   0.02930 
   9827.104    -0.44390   0.03514 
   9828.190    -0.34154   0.03382 
   9829.276    -0.40835   0.04748 
   9830.362    -0.42544   0.04079 
   9831.448    -0.31148   0.04110 
   9832.534    -0.25477   0.03816 
   9833.620    -0.30085   0.03393 
   9834.706    -0.36311   0.03470 
   9835.792    -0.37364   0.03404 
   9836.878    -0.38607   0.02971 
   9837.964    -0.46760   0.02905 
   9839.050    -0.57220   0.02873 
   9840.136    -0.44613   0.02863 
   9841.222    -0.46109       nan 
   9842.308    -0.34161       nan 
   9843.394    -0.40811   0.03718 
   9844.480    -0.34105   0.02879 
   9845.566    -0.40281   0.03024 
   9846.652    -0.46667   0.02912 
   9847.738    -0.42608   0.03974 
   9848.824    -0.46465   0.05165 
   9849.910    -0.52241   0.08378 
   9850.995    -0.51472   0.09056 
   9852.081    -0.47853   0.10314 
   9853.167    -0.41240   0.07131 
   9854.253    -0.42954   0.03625 
   9855.339    -0.55042   0.03021 
   9856.425    -0.54794       nan 
   9857.511    -0.45086   0.02743 
   9858.597    -0.55713   0.03019 
   9859.683    -0.50706   0.03132 
   9860.769    -0.52572   0.05028 
   9861.855    -0.50744   0.02693 
   9862.941    -0.46309   0.02720 
   9864.027    -0.41187   0.03137 
   9865.113    -0.37289   0.04215 
   9866.199    -0.48533   0.03416 
   9867.285    -0.37972   0.03614 
   9868.371    -0.49471   0.02899 
   9869.457    -0.54309   0.02975 
   9870.543    -0.46886   0.03453 
   9871.629    -0.48238   0.04184 
   9872.715    -0.26239   0.10202 
   9873.801    -0.45200   0.15679 
   9874.887    -0.75503   0.16095 
   9875.973    -0.76434   0.15345 
   9877.059    -0.60428   0.08926 
   9878.145    -0.54264   0.03928 
   9879.231    -0.47225   0.02986 
   9880.317    -0.39009   0.03082 
   9881.403    -0.54019   0.02939 
   9882.489    -0.53212       nan 
   9883.575    -0.51262   0.03040 
   9884.661    -0.47180   0.07806 
   9885.747    -0.50304   0.03724 
   9886.833    -0.46077   0.03785 
   9887.919    -0.54089   0.04092 
   9889.005    -0.48985   0.05837 
   9890.090    -0.40500   0.04954 
   9891.176    -0.33358   0.03253 
   9892.262    -0.44044   0.03014 
   9893.348    -0.51734   0.03259 
   9894.434    -0.61063   0.03910 
   9895.520    -0.61129   0.08303 
   9896.606    -0.64055   0.10664 
   9897.692    -0.53480   0.10865 
   9898.778    -0.33967   0.10612 
   9899.864    -0.56569   0.06301 
   9900.950    -0.55692   0.03834 
   9902.036    -0.52615   0.03422 
   9903.122    -0.52462   0.03354 
   9904.208    -0.37374   0.03414 
   9905.294    -0.51453   0.03317 
   9906.380    -0.48829   0.03004 
   9907.466    -0.44735   0.02836 
   9908.552    -0.49960   0.02940 
   9909.638    -0.53182   0.03817 
   9910.724    -0.42486   0.03191 
   9911.810    -0.53613   0.03005 
   9912.896    -0.51769   0.03261 
   9913.982    -0.55187   0.04365 
   9915.068    -0.48461   0.09628 
   9916.154    -0.34050   0.17087 
   9917.240    -0.29085   0.18951 
   9918.326    -0.38419   0.17189 
   9919.412    -0.18278   0.11425 
   9920.498    -0.43943   0.04785 
   9921.584    -0.62811   0.05429 
   9922.670    -0.69926   0.03125 
   9923.756    -0.58844   0.03016 
   9924.842    -0.61612   0.02989 
   9925.928    -0.52200   0.03002 
   9927.014    -0.54939   0.03054 
   9928.100    -0.48487   0.02937 
   9929.186    -0.63991   0.02911 
   9930.271    -0.50507   0.02943 
   9931.357    -0.56438   0.03711 
   9932.443    -0.55144       nan 
   9933.529    -0.40077   0.03133 
   9934.615    -0.37179   0.03099 
   9935.701    -0.44655   0.04015 
