       9750.0000         -NaN         -NaN             NaN
       9751.0860      9065.27      97.4081       9065.2715
       9752.1719      9279.65      98.4844       9279.6533
       9753.2579      9451.63      99.4141       9451.6349
       9754.3439      9768.14      101.045       9768.1366
       9755.4299      9729.77      100.968       9729.7686
       9756.5158      9815.83      101.224       9815.8270
       9757.6018      9855.88      101.402       9855.8822
       9758.6878      9680.36      100.455       9680.3556
       9759.7738      9621.46      100.113       9621.4590
       9760.8597      10070.7      102.359       10070.685
       9761.9457      10410.0      104.020       10410.001
       9763.0317      10329.7      103.868       10329.738
       9764.1176      10050.3      102.589       10050.342
       9765.2036      10170.5      102.685       10170.513
       9766.2896      10468.0      104.361       10468.006
       9767.3756      10584.3      104.896       10584.275
       9768.4615      10759.0      105.656       10758.985
       9769.5475      11031.6      107.161       11031.589
       9770.6335      11004.9      106.804       11004.925
       9771.7195      11121.5      107.391       11121.506
       9772.8054      11181.9      107.533       11181.935
       9773.8914      11180.4      107.629       11180.437
       9774.9774      10968.6      106.579       10968.564
       9776.0633      11074.2      107.287       11074.157
       9777.1493      11184.4      107.853       11184.443
       9778.2353      11275.0      108.251       11275.041
       9779.3213      11393.1      108.833       11393.067
       9780.4072      11395.3      108.743       11395.296
       9781.4932      11396.0      108.720       11396.046
       9782.5792      11239.6      107.807       11239.576
       9783.6652      11102.9      107.282       11102.860
       9784.7511      11247.2      107.935       11247.162
       9785.8371      11576.4      109.527       11576.386
       9786.9231      11910.1      111.068       11910.113
       9788.0090      11915.4      111.251       11915.420
       9789.0950      11769.3      110.462       11769.277
       9790.1810      11770.1      110.353       11770.077
       9791.2670      11715.4      110.435       11715.426
       9792.3529      11523.8      109.772       11523.823
       9793.4389      11449.9      109.496       11449.860
       9794.5249      11499.1      109.817       11499.137
       9795.6109      11787.4      110.863       11787.423
       9796.6968      12061.3      111.768       12061.321
       9797.7828      12246.2      112.476       12246.179
       9798.8688      12303.0      112.903       12302.967
       9799.9548      12180.6      112.305       12180.623
       9801.0407      11954.0      111.313       11954.018
       9802.1267      11964.5      111.375       11964.494
       9803.2127      11935.5      111.405       11935.536
