   # lambda  flux(e-/s)    stddev 
   9750.000     0.06404   0.06741 
   9751.086     0.08268   0.05123 
   9752.172    -0.00196   0.04056 
   9753.258     0.02916   0.03708 
   9754.344    -0.08130   0.03650 
   9755.430    -0.00781   0.03643 
   9756.516     0.07562   0.03762 
   9757.602     0.15462   0.11384 
   9758.688     0.04019   0.04719 
   9759.774    -0.00065   0.04341 
   9760.860     0.11657   0.03932 
   9761.946     0.06338   0.04092 
   9763.032    -0.11882   0.03880 
   9764.118    -0.29812   0.03947 
   9765.204    -0.08453   0.03706 
   9766.290     0.03789   0.03790 
   9767.376     0.12323   0.03816 
   9768.462     0.16270   0.05163 
   9769.548     0.05403   0.03782 
   9770.633     0.02760   0.04339 
   9771.719    -0.04241   0.07383 
   9772.805    -0.12719   0.04804 
   9773.891    -0.03470   0.03819 
   9774.977     0.17092   0.03868 
   9776.063    -0.00605   0.03822 
   9777.149     0.05336   0.03998 
   9778.235     0.15326   0.03960 
   9779.321     0.04140   0.03667 
   9780.407     0.09588   0.03645 
   9781.493     0.12497   0.04003 
   9782.579     0.11468   0.04292 
   9783.665     0.23333       nan 
   9784.751     0.20065       nan 
   9785.837     0.08573   0.04649 
   9786.923     0.07405   0.04196 
   9788.009     0.26294   0.03961 
   9789.095     0.25041   0.04905 
   9790.181     0.05344   0.07924 
   9791.267    -0.08115   0.14104 
   9792.353     0.07433   0.21301 
   9793.439    -0.03275   0.23068 
   9794.525    -0.00291   0.22383 
   9795.611     0.00246   0.19282 
   9796.697     0.24091   0.11778 
   9797.783     0.18909   0.08846 
   9798.869     0.26895   0.06765 
   9799.955     0.11718   0.08929 
   9801.041     0.12158   0.12974 
   9802.127     0.12934   0.14636 
   9803.213     0.07821   0.13084 
   9804.299     0.13137   0.11683 
   9805.385     0.10430   0.07628 
   9806.471     0.08478   0.05320 
   9807.557     0.16501   0.04538 
   9808.643     0.09958   0.05598 
   9809.729    -0.08788   0.05952 
   9810.814     0.02192   0.06192 
   9811.900    -0.05964   0.07013 
   9812.986    -0.02784   0.08579 
   9814.072    -0.01410   0.24303 
   9815.158    -0.06506   0.08606 
   9816.244     0.03857   0.08069 
   9817.330     0.14267   0.06871 
   9818.416     0.14313   0.05960 
   9819.502     0.18108   0.06192 
   9820.588     0.07142   0.06562 
   9821.674     0.07547   0.07819 
   9822.760     0.20673   0.04935 
   9823.846    -0.00075   0.04182 
   9824.932     0.03757   0.04460 
   9826.018     0.08287   0.04486 
   9827.104     0.15738   0.04347 
   9828.190     0.24556   0.05120 
   9829.276     0.28696   0.05469 
   9830.362     0.18783   0.05855 
   9831.448     0.12154   0.06136 
   9832.534     0.22340   0.10338 
   9833.620     0.12003   0.05023 
   9834.706     0.21481   0.04359 
   9835.792     0.25295   0.04205 
