       9750.0000         -NaN         -NaN             NaN
       9910.7240      13113.2      117.505       13113.207
       9911.8100      13016.2      116.671       13016.232
       9912.8959      13095.6      117.187       13095.559
       9913.9819      13145.9      117.672       13145.937
       9915.0679      13233.9      118.043       13233.888
       9916.1538      13315.1      118.633       13315.138
       9917.2398      13426.9      119.299       13426.938
       9918.3258      13547.3      119.771       13547.275
       9919.4118      13379.6      118.826       13379.552
       9920.4977      13353.7      118.467       13353.690
       9921.5837      13445.0      118.823       13445.011
       9922.6697      13462.6      118.765       13462.646
       9923.7557      13468.1      118.808       13468.081
       9924.8416      13556.1      119.096       13556.107
       9925.9276      13561.6      119.106       13561.585
       9927.0136      13455.6      118.566       13455.600
       9928.0995      13678.4      119.706       13678.420
       9929.1855      13745.2      119.961       13745.156
       9930.2715      13646.5      119.382       13646.481
       9931.3575      13832.7      120.291       13832.685
       9932.4434      13706.7      119.829       13706.677
       9933.5294      13771.0      119.851       13771.046
       9934.6154      13849.2      120.340       13849.230
       9935.7014      13752.9      119.980       13752.853
       9936.7873      13767.0      119.868       13766.985
       9937.8733      13825.6      120.236       13825.617
       9938.9593      13985.5      120.802       13985.453
       9940.0452      13962.9      120.703       13962.931
       9941.1312      14066.2      121.348       14066.194
       9942.2172      14090.5      121.702       14090.529
       9943.3032      14066.9      121.594       14066.897
       9944.3891      14111.7      121.885       14111.654
       9945.4751      14281.1      122.570       14281.071
       9946.5611      14301.3      122.887       14301.289
       9947.6471      14151.2      122.119       14151.177
       9948.7330      14308.1      122.838       14308.112
       9949.8190      14274.5      122.711       14274.482
       9950.9050      14351.8      122.873       14351.821
       9951.9910      14444.0      123.389       14443.959
       9953.0769      14323.6      122.600       14323.634
       9954.1629      14473.3      122.932       14473.342
       9955.2489      14551.5      123.382       14551.464
       9956.3348      14475.4      123.274       14475.385
       9957.4208      14514.6      123.548       14514.572
       9958.5068      14397.4      123.033       14397.409
       9959.5928      14478.4      123.009       14478.449
       9960.6787      14608.7      123.497       14608.736
       9961.7647      14673.3      124.084       14673.311
       9962.8507      14743.9      124.345       14743.933
       9963.9367      14495.8      123.635       14495.760
       9965.0226      14723.3      124.419       14723.305
       9966.1086      14632.7      124.367       14632.695
       9967.1946      14719.8      124.454       14719.830
       9968.2805      14756.0      124.176       14755.977
       9969.3665      14762.8      124.221       14762.778
       9970.4525      14863.1      124.608       14863.132
       9971.5385      14839.3      124.373       14839.272
       9972.6244      14653.6      123.789       14653.559
       9973.7104      13991.0      121.618       13991.010
       9974.7964      14572.3      123.593       14572.284
       9975.8824      14797.9      124.328       14797.927
       9976.9683      14834.7      124.793       14834.717
       9978.0543      15039.5      125.139       15039.537
       9979.1403      14989.4      125.220       14989.411
       9980.2262      15269.6      126.508       15269.575
       9981.3122      15006.8      124.957       15006.838
       9982.3982      15089.9      125.475       15089.916
       9983.4842      15142.9      126.031       15142.908
       9984.5701      15234.1      126.238       15234.113
       9985.6561      15001.4      117.211       15001.370
       9986.7421      15088.2      125.564       15088.213
       9987.8281      14938.3      125.065       14938.306
       9988.9140      15232.1      126.172       15232.085
       9990.0000      15089.0      125.666       15089.011
       9991.0860      15214.0      126.015       15214.022
       9992.1719      15142.4      125.730       15142.361
       9993.2579      15236.8      126.166       15236.774
       9994.3439      15152.5      125.998       15152.548
       9995.4299      15204.0      126.047       15204.019
       9996.5158      15325.2      126.677       15325.222
       9997.6018      15301.3      126.348       15301.259
       9998.6878      15228.1      126.104       15228.117
       9999.7738      15254.8      126.280       15254.844
       10000.860      15251.2      126.285       15251.210
       10001.946      14965.6      125.468       14965.641
       10003.032      15058.7      125.434       15058.652
       10004.118      14972.5      125.314       14972.454
       10005.204      15099.7      125.532       15099.721
       10006.290      15139.7      125.436       15139.666
       10007.376      15004.0      125.114       15003.983
       10008.462      15084.9      125.645       15084.874
       10009.548      15008.3      125.431       15008.261
       10010.633      15018.5      125.179       15018.530
       10011.719      15008.3      125.235       15008.317
       10012.805      14974.4      125.505       14974.433
       10013.891      14965.0      125.628       14964.973
       10014.977      15007.1      125.648       15007.145
       10016.063      14925.5      125.755       14925.484
       10017.149      14946.9      126.031       14946.899
       10018.235      14821.3      125.057       14821.339
       10019.321      14737.7      124.297       14737.655
       10020.407      14504.6      123.093       14504.592
       10021.493      14712.5      124.036       14712.473
       10022.579      14718.8      124.012       14718.782
       10023.665      14419.8      122.835       14419.781
       10024.751      14701.2      124.111       14701.197
       10025.837      14656.9      123.918       14656.872
       10026.923      14667.8      124.331       14667.807
       10028.009      14680.2      124.184       14680.245
       10029.095      14378.3      122.885       14378.330
       10030.181      14309.2      122.511       14309.178
       10031.267      14306.5      122.538       14306.475
       10032.353      14345.0      122.492       14344.960
       10033.439      14342.5      122.595       14342.507
       10034.525      14104.3      121.520       14104.337
       10035.611      13789.2      120.385       13789.225
       10036.697      13782.9      120.014       13782.858
       10037.783      13749.1      119.896       13749.089
       10038.869      13259.5      117.794       13259.519
       10039.955      13457.2      119.000       13457.156
       10041.041      13410.0      118.843       13410.035
       10042.127      13155.6      117.443       13155.600
       10043.213      12692.0      115.429       12692.019
       10044.299      12262.6      113.824       12262.600
       10045.385      11922.3      112.155       11922.277
       10046.471      11881.9      111.923       11881.904
       10047.557      11697.8      110.805       11697.770
       10048.643      11040.5      107.944       11040.493
