       9750.0000         -NaN         -NaN             NaN
       9751.0860      24616.8      160.522       24616.798
       9752.1719      24528.2      160.304       24528.204
       9753.2579      25181.3      162.091       25181.349
       9754.3439      25982.7      164.949       25982.673
       9755.4299      26112.9      165.170       26112.946
       9756.5158      25494.6      163.344       25494.640
       9757.6018      25660.4      163.784       25660.367
       9758.6878      26297.6      165.657       26297.629
       9759.7738      26064.4      164.981       26064.368
       9760.8597      25611.2      163.582       25611.150
       9761.9457      26574.4      166.756       26574.421
       9763.0317      27500.3      169.445       27500.329
       9764.1176      27621.5      169.596       27621.526
       9765.2036      27141.0      168.447       27140.951
       9766.2896      27215.3      168.514       27215.337
       9767.3756      27875.0      170.468       27874.956
       9768.4615      28133.3      171.305       28133.328
       9769.5475      28936.6      173.630       28936.554
       9770.6335      29231.9      174.415       29231.861
       9771.7195      29454.0      175.074       29454.050
       9772.8054      29471.4      175.006       29471.401
       9773.8914      29830.0      176.234       29830.041
       9774.9774      29741.8      175.843       29741.773
       9776.0633      29768.8      175.748       29768.844
       9777.1493      29907.8      176.352       29907.835
       9778.2353      29963.9      176.523       29963.886
       9779.3213      30344.1      177.632       30344.086
       9780.4072      30408.8      177.526       30408.769
       9781.4932      28665.5      172.807       28665.535
       9782.5792      28977.3      173.682       28977.286
       9783.6652      29750.5      176.041       29750.485
       9784.7511      29931.1      176.598       29931.117
       9785.8371      29975.6      176.594       29975.555
       9786.9231      30663.8      178.386       30663.798
       9788.0090      31449.4      180.821       31449.446
       9789.0950      31426.2      180.777       31426.234
       9790.1810      31236.9      180.200       31236.942
       9791.2670      31314.8      180.617       31314.755
       9792.3529      31634.3      181.819       31634.265
       9793.4389      31015.5      180.130       31015.533
       9794.5249      30751.2      179.088       30751.173
       9795.6109      30872.6      179.144       30872.644
       9796.6968      31388.6      180.565       31388.582
       9797.7828      32116.3      182.501       32116.318
       9798.8688      32605.1      184.063       32605.124
       9799.9548      32546.9      183.837       32546.892
       9801.0407      32694.9      184.346       32694.942
       9802.1267      32279.6      183.240       32279.645
       9803.2127      32040.8      182.506       32040.818
       9804.2986      31790.4      181.751       31790.370
       9805.3846      31786.2      181.643       31786.228
       9806.4706      32643.1      184.108       32643.124
       9807.5566      33342.7      185.867       33342.721
       9808.6425      33257.8      185.822       33257.772
       9809.7285      33886.1      187.541       33886.126
       9810.8145      33292.8      185.712       33292.823
       9811.9005      33848.8      187.339       33848.776
       9812.9864      33294.3      185.796       33294.325
       9814.0724      33622.4      186.745       33622.409
       9815.1584      33478.0      186.577       33477.959
       9816.2443      33354.7      186.106       33354.674
       9817.3303      33253.1      185.751       33253.064
       9818.4163      33208.2      185.604       33208.151
       9819.5023      33521.3      186.422       33521.333
       9820.5882      33755.8      187.274       33755.811
       9821.6742      33674.4      187.051       33674.448
       9822.7602      34011.9      187.907       34011.924
       9823.8462      33809.4      187.251       33809.417
       9824.9321      33664.8      186.802       33664.814
       9826.0181      33542.2      186.529       33542.170
       9827.1041      33389.1      186.056       33389.136
       9828.1900      33091.3      185.196       33091.257
       9829.2760      33765.0      187.219       33765.002
       9830.3620      34278.6      188.392       34278.650
       9831.4480      34499.3      189.217       34499.290
       9832.5339      34031.3      188.082       34031.302
       9833.6199      34329.0      188.612       34328.980
       9834.7059      34443.1      188.917       34443.138
       9835.7919      34591.6      189.594       34591.594
       9836.8778      34289.5      188.526       34289.498
       9837.9638      34591.7      189.415       34591.664
       9839.0498      34748.0      189.946       34748.004
       9840.1357      35063.7      190.598       35063.668
       9841.2217      34424.2      188.931       34424.160
       9842.3077      34810.8      190.058       34810.824
       9843.3937      35120.1      190.686       35120.084
       9844.4796      35384.3      191.383       35384.335
       9845.5656      34730.3      189.838       34730.298
       9846.6516      34215.8      188.334       34215.796
       9847.7376      34805.9      190.064       34805.927
       9848.8235      34655.2      189.598       34655.233
       9849.9095      34042.6      188.027       34042.606
       9850.9955      34988.5      190.651       34988.509
       9852.0814      35483.0      191.865       35483.043
       9853.1674      35408.8      191.598       35408.772
       9854.2534      35722.9      192.474       35722.873
