   # lambda  flux(e-/s)    stddev 
   9946.561     0.04810   0.11287 
   9947.647     0.00958   0.12169 
   9948.733    -0.03979   0.15143 
   9949.819    -0.04675   0.13351 
   9950.905    -0.18150   0.10617 
   9951.991    -0.00477   0.07577 
   9953.077     0.08205   0.05209 
   9954.163     0.00764   0.04553 
   9955.249     0.01550   0.03477 
   9956.335    -0.06915   0.04655 
   9957.421     0.04302   0.08506 
   9958.507    -0.03227   0.10791 
   9959.593     0.13827   0.11231 
   9960.679     0.02524   0.10516 
   9961.765    -0.04478   0.09209 
   9962.851    -0.15028   0.09691 
   9963.937    -0.17038   0.10812 
   9965.023     0.06560   0.11158 
   9966.109     0.00033   0.09497 
   9967.195     0.03323   0.05679 
   9968.281    -0.03870   0.02689 
   9969.367     0.00561   0.02567 
   9970.452     0.05290   0.03085 
   9971.538    -0.00524   0.02896 
   9972.624     0.07949   0.04131 
   9973.710     0.02878   0.05982 
   9974.796     0.06996   0.07176 
   9975.882    -0.07530   0.06418 
   9976.968    -0.16064   0.05495 
   9978.054     0.03790   0.04153 
   9979.140     0.03024   0.03538 
   9980.226     0.07339   0.03587 
   9981.312     0.06280   0.04408 
   9982.398     0.03352   0.03527 
   9983.484    -0.00102   0.03025 
   9984.570     0.04019   0.02533 
   9985.656     0.03376   0.02324 
   9986.742    -0.01341   0.02054 
   9987.828     0.02408   0.02122 
   9988.914     0.03179   0.01966 
   9990.000     0.10965   0.01996 
   9991.086     0.04748   0.02055 
   9992.172    -0.02432   0.02250 
   9993.258    -0.06076   0.02206 
   9994.344    -0.02439   0.02256 
   9995.430    -0.03255   0.02110 
   9996.516     0.04255   0.02102 
   9997.602    -0.01678   0.02131 
   9998.688     0.03430   0.02542 
   9999.774    -0.03807   0.03146 
  10000.860     0.00028   0.04828 
  10001.946    -0.07588   0.06494 
  10003.032    -0.01068   0.05826 
  10004.118    -0.07131   0.05564 
  10005.204    -0.10106   0.04333 
  10006.290     0.02912   0.02750 
  10007.376     0.07149   0.02292 
  10008.462     0.03476   0.02369 
  10009.548     0.04990   0.02993 
  10010.633    -0.03891   0.03303 
  10011.719    -0.04861   0.05030 
  10012.805    -0.00095   0.08434 
  10013.891     0.17147   0.14500 
  10014.977     0.18853   0.16518 
  10016.063    -0.07386   0.16557 
  10017.149    -0.32650   0.15894 
