       9750.0000         -NaN         -NaN             NaN
       9751.0860      50216.5      228.380       50216.458
       9752.1719      51057.6      229.819       51057.648
       9753.2579      51953.1      232.090       51953.136
       9754.3439      51951.4      231.972       51951.363
       9755.4299      51716.1      231.369       51716.102
       9756.5158      52521.9      233.274       52521.895
       9757.6018      52580.5      233.488       52580.460
       9758.6878      51830.7      231.895       51830.669
       9759.7738      53172.0      234.865       53171.971
       9760.8597      54428.5      237.431       54428.464
       9761.9457      54974.6      238.234       54974.573
       9763.0317      55067.3      238.459       55067.274
       9764.1176      54831.2      238.085       54831.163
       9765.2036      54265.6      237.155       54265.608
       9766.2896      53393.3      235.143       53393.278
       9767.3756      55073.7      238.299       55073.739
       9768.4615      56577.4      241.760       56577.363
       9769.5475      57361.2      243.186       57361.251
       9770.6335      59028.7      247.076       59028.669
       9771.7195      59795.5      248.500       59795.545
       9772.8054      60548.6      249.889       60548.601
       9773.8914      60887.5      250.623       60887.495
       9774.9774      60981.8      251.074       60981.757
       9776.0633      60875.8      250.696       60875.756
       9777.1493      61601.7      252.162       61601.651
       9778.2353      61725.1      252.170       61725.115
       9779.3213      61816.2      252.369       61816.161
       9780.4072      60955.0      250.699       60954.965
       9781.4932      61253.6      251.345       61253.606
       9782.5792      60299.9      249.640       60299.852
       9783.6652      60255.6      249.259       60255.635
       9784.7511      61660.8      252.172       61660.751
       9785.8371      63031.2      255.004       63031.151
       9786.9231      63459.7      255.832       63459.688
       9788.0090      63952.0      256.437       63952.035
       9789.0950      64546.6      257.508       64546.595
       9790.1810      64765.3      258.392       64765.312
       9791.2670      63780.7      256.443       63780.717
       9792.3529      63129.0      255.408       63129.003
       9793.4389      63032.6      254.876       63032.635
       9794.5249      61792.6      252.391       61792.567
       9795.6109      62955.2      255.264       62955.211
       9796.6968      64811.5      258.147       64811.516
       9797.7828      65556.6      259.543       65556.641
       9798.8688      66370.4      261.329       66370.443
       9799.9548      65282.3      259.217       65282.288
       9801.0407      63700.7      256.157       63700.658
       9802.1267      63070.5      255.174       63070.541
       9803.2127      63504.2      255.980       63504.226
       9804.2986      64173.7      257.111       64173.695
       9805.3846      64907.4      258.833       64907.362
       9806.4706      66179.2      261.169       66179.198
       9807.5566      67607.2      263.823       67607.212
       9808.6425      68026.6      264.639       68026.584
       9809.7285      67740.8      263.963       67740.793
       9810.8145      68697.5      265.762       68697.541
       9811.9005      68384.2      265.259       68384.204
       9812.9864      69052.9      266.777       69052.888
       9814.0724      68190.8      265.097       68190.814
       9815.1584      67639.2      263.799       67639.178
       9816.2443      68556.0      265.619       68556.050
       9817.3303      68738.9      265.819       68738.880
       9818.4163      69405.1      267.515       69405.087
       9819.5023      69652.6      267.837       69652.643
       9820.5882      69797.6      267.966       69797.574
       9821.6742      69149.8      266.501       69149.771
       9822.7602      69690.5      267.918       69690.497
       9823.8462      69917.8      268.440       69917.759
       9824.9321      70047.4      268.462       70047.442
       9826.0181      69085.8      266.560       69085.769
       9827.1041      69070.1      266.916       69070.086
       9828.1900      69570.2      267.586       69570.205
       9829.2760      69240.2      267.094       69240.251
       9830.3620      69932.5      268.257       69932.526
       9831.4480      70941.5      269.889       70941.480
       9832.5339      70041.4      268.521       70041.437
       9833.6199      70399.5      269.222       70399.467
       9834.7059      70374.2      268.982       70374.236
       9835.7919      70834.9      269.865       70834.879
       9836.8778      71083.5      270.312       71083.453
       9837.9638      70776.8      270.015       70776.820
       9839.0498      71888.4      271.940       71888.349
       9840.1357      71270.5      270.797       71270.512
       9841.2217      71934.8      272.087       71934.819
       9842.3077      73175.8      274.281       73175.813
       9843.3937      72253.5      272.555       72253.455
       9844.4796      71897.1      272.023       71897.085
       9845.5656      71513.3      271.383       71513.291
       9846.6516      71787.1      271.948       71787.130
       9847.7376      72293.1      272.710       72293.141
       9848.8235      71542.1      271.452       71542.069
       9849.9095      71812.5      272.041       71812.538
       9850.9955      72585.9      273.163       72585.878
       9852.0814      72737.1      272.741       72737.092
       9853.1674      72355.5      273.089       72355.485
       9854.2534      73170.6      274.310       73170.631
       9855.3394      73826.8      275.560       73826.776
