       9750.0000         -NaN         -NaN             NaN
       9912.8959      13540.1      119.309       13540.092
       9913.9819      13499.4      119.181       13499.420
       9915.0679      13605.4      119.922       13605.354
       9916.1538      13747.5      120.594       13747.514
       9917.2398      13776.0      120.799       13775.963
       9918.3258      13863.7      121.022       13863.675
       9919.4118      13854.5      120.863       13854.489
       9920.4977      14047.7      121.615       14047.664
       9921.5837      13812.2      120.608       13812.169
       9922.6697      13922.4      120.884       13922.378
       9923.7557      13844.5      120.733       13844.538
       9924.8416      13850.9      120.636       13850.913
       9925.9276      13921.4      120.905       13921.430
       9927.0136      14037.5      121.257       14037.475
       9928.0995      13895.4      120.690       13895.384
       9929.1855      13622.4      119.223       13622.370
       9930.2715      13966.4      120.801       13966.374
       9931.3575      14244.8      122.193       14244.827
       9932.4434      14276.8      122.442       14276.780
       9933.5294      14231.3      122.244       14231.328
       9934.6154      14254.0      122.213       14254.028
       9935.7014      14243.2      122.280       14243.222
       9936.7873      14236.0      122.362       14236.000
       9937.8733      14384.5      122.980       14384.465
       9938.9593      14435.6      122.981       14435.578
       9940.0452      14364.1      122.667       14364.100
       9941.1312      14235.1      122.507       14235.079
       9942.2172      14316.6      122.799       14316.638
       9943.3032      14454.7      123.188       14454.712
       9944.3891      14299.9      122.812       14299.886
       9945.4751      14399.7      123.188       14399.664
       9946.5611      14460.4      123.452       14460.364
       9947.6471      14371.5      122.994       14371.527
       9948.7330      14374.5      123.114       14374.453
       9949.8190      14360.6      122.983       14360.594
       9950.9050      14174.8      122.073       14174.755
       9951.9910      14413.2      122.929       14413.163
       9953.0769      14676.5      123.994       14676.470
       9954.1629      14520.5      123.334       14520.536
       9955.2489      14584.8      123.672       14584.757
       9956.3348      14669.7      124.045       14669.701
       9957.4208      14616.6      123.894       14616.616
       9958.5068      14639.2      124.210       14639.201
       9959.5928      14848.7      125.313       14848.678
       9960.6787      14854.0      124.918       14854.028
       9961.7647      14741.5      124.560       14741.538
       9962.8507      14342.6      123.045       14342.602
       9963.9367      14318.0      122.955       14318.001
       9965.0226      14819.0      124.868       14819.046
       9966.1086      14965.7      125.461       14965.690
       9967.1946      15017.9      125.532       15017.903
       9968.2805      15061.8      125.645       15061.842
       9969.3665      15141.3      126.047       15141.294
       9970.4525      15200.4      126.199       15200.397
       9971.5385      15128.9      125.916       15128.929
       9972.6244      15227.6      126.565       15227.637
       9973.7104      15107.8      126.119       15107.834
       9974.7964      15230.8      126.407       15230.843
       9975.8824      15379.5      127.106       15379.505
       9976.9683      15431.4      127.189       15431.431
       9978.0543      15418.5      127.060       15418.453
       9979.1403      15344.9      126.849       15344.940
       9980.2262      15355.0      126.804       15354.967
       9981.3122      15400.0      127.037       15399.954
       9982.3982      15425.8      127.128       15425.817
       9983.4842      15577.6      127.701       15577.615
       9984.5701      15474.4      127.277       15474.434
       9985.6561      15456.6      127.486       15456.643
       9986.7421      15444.0      127.253       15444.046
       9987.8281      15348.9      126.800       15348.852
       9988.9140      15498.3      127.403       15498.272
       9990.0000      15495.0      127.430       15494.987
       9991.0860      15358.4      126.813       15358.445
       9992.1719      15529.7      127.656       15529.661
       9993.2579      15619.4      128.030       15619.353
       9994.3439      15484.0      127.166       15484.048
       9995.4299      15719.0      128.246       15719.041
       9996.5158      15625.6      128.015       15625.640
       9997.6018      15718.1      128.341       15718.138
       9998.6878      15720.4      128.374       15720.381
       9999.7738      15562.5      127.674       15562.484
       10000.860      15567.5      127.721       15567.546
       10001.946      15541.9      127.626       15541.895
       10003.032      15518.3      127.627       15518.317
       10004.118      15545.3      127.688       15545.349
       10005.204      15641.4      128.256       15641.373
       10006.290      15703.3      128.181       15703.312
       10007.376      15605.6      127.993       15605.570
       10008.462      15661.1      128.092       15661.072
       10009.548      15581.7      127.691       15581.748
       10010.633      15591.6      127.744       15591.584
       10011.719      15663.5      128.086       15663.465
       10012.805      15536.5      127.888       15536.512
       10013.891      15482.5      127.945       15482.514
       10014.977      15437.6      127.903       15437.576
       10016.063      15482.4      128.106       15482.353
       10017.149      15493.1      127.977       15493.114
       10018.235      15471.0      127.561       15471.048
       10019.321      15388.5      127.121       15388.520
       10020.407      15467.7      127.402       15467.708
       10021.493      15483.7      127.501       15483.661
       10022.579      15513.8      127.570       15513.845
       10023.665      15380.4      126.920       15380.354
       10024.751      15283.0      126.546       15283.009
       10025.837      15326.4      126.896       15326.370
       10026.923      15294.5      126.654       15294.468
       10028.009      15433.0      127.479       15433.034
       10029.095      15337.7      127.147       15337.743
       10030.181      15205.3      126.589       15205.309
       10031.267      14994.5      125.575       14994.520
       10032.353      14794.7      124.561       14794.657
       10033.439      14880.7      125.088       14880.706
       10034.525      14833.8      124.905       14833.764
       10035.611      14663.9      124.129       14663.898
       10036.697      14551.5      123.685       14551.514
       10037.783      14438.2      123.166       14438.197
       10038.869      14109.2      121.703       14109.207
       10039.955      13930.9      120.955       13930.941
       10041.041      13686.0      119.715       13686.003
       10042.127      13539.2      119.080       13539.235
       10043.213      13356.9      118.528       13356.864
       10044.299      12982.5      116.803       12982.481
       10045.385      12501.8      114.852       12501.795
       10046.471      12359.7      114.187       12359.660
       10047.557      12062.5      113.140       12062.478
       10048.643      11496.6      110.775       11496.560
       10049.729      10931.3      107.571       10931.324
       10050.814      10055.7      103.163       10055.731
       10051.900      9298.49      99.5396       9298.4864
       10052.986      9595.62      100.894       9595.6191
       10054.072      10400.4      104.986       10400.421
       10055.158      11146.3      108.409       11146.266
       10056.244      11708.6      111.229       11708.631
       10057.330      12285.1      114.096       12285.082
       10058.416      12668.7      115.720       12668.652
       10059.502      12971.2      116.846       12971.161
       10060.588      13354.7      118.655       13354.676
       10061.674      13679.8      120.090       13679.830
       10062.760      13925.5      121.138       13925.522
       10063.846      14134.0      121.992       14133.980
       10064.932      14276.9      122.532       14276.899
       10066.018      14605.9      123.857       14605.861
       10067.104      14742.6      124.516       14742.551
       10068.190      14868.8      124.989       14868.839
       10069.276      14960.7      125.267       14960.749
       10070.362      15173.6      126.224       15173.601
       10071.448      15385.9      127.057       15385.852
       10072.534      15632.7      127.853       15632.670
       10073.620      15723.9      128.254       15723.852
       10074.706      15763.5      128.463       15763.537
       10075.792      15895.9      129.086       15895.870
       10076.878      15888.6      129.060       15888.588
       10077.964      15938.5      129.176       15938.529
       10079.050      16089.7      129.639       16089.671
       10080.136      16153.7      129.832       16153.663
       10081.222      16251.8      130.241       16251.758
       10082.308      16346.5      130.896       16346.544
       10083.394      16210.2      130.651       16210.193
       10084.480      16260.4      130.948       16260.372
       10085.566      16348.0      131.162       16348.035
       10086.652      16386.9      131.221       16386.898
       10087.738      16474.4      131.503       16474.425
       10088.824      16579.5      131.753       16579.514
       10089.910      16623.9      131.832       16623.945
       10090.995      16698.4      132.238       16698.421
       10092.081      16697.6      132.088       16697.566
       10093.167      16572.3      131.369       16572.335
       10094.253      16609.0      131.540       16608.985
       10095.339      16491.1      131.146       16491.134
       10096.425      16674.1      131.857       16674.083
       10097.511      17108.6      133.615       17108.572
       10098.597      17211.7      133.973       17211.698
       10099.683      17317.2      134.314       17317.188
       10100.769      17150.5      133.894       17150.501
       10101.855      17357.9      134.705       17357.890
       10102.941      17483.1      135.055       17483.122
       10104.027      17306.5      134.466       17306.500
       10105.113      17308.1      134.594       17308.133
       10106.199      17200.3      134.108       17200.283
       10107.285      17284.6      134.447       17284.612
       10108.371      17329.0      134.605       17328.971
       10109.457      17320.5      134.517       17320.515
       10110.543      17305.2      134.158       17305.210
       10111.629      17430.5      134.791       17430.513
       10112.715      17437.2      134.713       17437.234
       10113.801      17549.3      135.262       17549.297
       10114.887      17341.4      134.416       17341.351
       10115.973      17349.6      134.405       17349.632
       10117.059      17361.2      134.384       17361.169
       10118.145      17443.5      134.940       17443.454
       10119.231      17617.3      135.625       17617.313
       10120.317      17742.7      136.055       17742.692
       10121.403      17675.1      135.964       17675.088
       10122.489      17843.3      136.622       17843.260
       10123.575      17904.6      136.826       17904.644
       10124.661      17834.2      137.080       17834.202
       10125.747      17886.1      137.349       17886.074
       10126.833      17825.4      137.050       17825.369
       10127.919      17906.8      137.353       17906.844
       10129.005      17897.0      136.910       17897.018
       10130.090      17902.0      136.645       17901.979
       10131.176      17887.0      136.633       17886.972
       10132.262      17905.6      136.705       17905.629
       10133.348      17804.7      136.315       17804.735
       10134.434      17759.9      136.069       17759.879
       10135.520      17943.8      136.724       17943.784
       10136.606      18092.6      137.343       18092.614
       10137.692      18094.6      137.460       18094.632
       10138.778      17989.2      136.919       17989.217
       10139.864      17999.1      137.077       17999.136
       10140.950      18043.7      137.391       18043.690
       10142.036      18012.4      137.027       18012.443
       10143.122      17906.1      136.704       17906.128
       10144.208      17894.5      136.651       17894.507
       10145.294      17998.7      137.080       17998.694
       10146.380      17928.1      136.692       17928.095
       10147.466      18070.9      137.495       18070.914
       10148.552      18117.4      137.631       18117.425
       10149.638      18171.4      137.595       18171.433
       10150.724      18342.6      138.182       18342.622
       10151.810      18412.7      138.485       18412.717
       10152.896      18211.1      137.928       18211.148
       10153.982      18145.2      137.758       18145.171
       10155.068      18129.5      137.565       18129.502
       10156.154      18138.2      137.636       18138.204
       10157.240      18225.5      137.963       18225.450
       10158.326      18247.8      137.950       18247.843
       10159.412      18314.8      138.309       18314.771
       10160.498      18291.1      138.002       18291.052
       10161.584      18242.6      138.031       18242.568
       10162.670      18433.7      138.634       18433.705
       10163.756      18613.1      139.402       18613.147
       10164.842      18470.6      138.907       18470.619
       10165.928      18418.4      138.724       18418.438
       10167.014      18423.2      138.643       18423.204
       10168.100      18310.1      138.255       18310.060
       10169.186      18271.6      138.276       18271.630
       10170.271      18359.2      138.326       18359.217
       10171.357      18471.7      138.850       18471.718
       10172.443      18478.9      139.257       18478.933
       10173.529      18491.9      139.324       18491.853
       10174.615      18478.1      139.512       18478.134
       10175.701      18627.1      140.138       18627.077
       10176.787      18615.1      139.934       18615.069
       10177.873      18673.5      139.864       18673.484
       10178.959      18707.6      139.723       18707.558
       10180.045      18664.6      139.538       18664.595
       10181.131      18550.8      139.027       18550.815
       10182.217      18676.6      139.618       18676.574
       10183.303      18685.4      139.631       18685.404
       10184.389      18634.5      139.479       18634.500
       10185.475      18688.6      139.549       18688.634
       10186.561      18695.5      139.635       18695.515
       10187.647      18885.9      140.550       18885.877
       10188.733      18929.4      140.706       18929.354
       10189.819      18885.9      140.597       18885.873
       10190.905      18753.3      140.348       18753.333
       10191.991      18759.6      140.429       18759.587
       10193.077      18565.7      139.664       18565.650
       10194.163      18802.5      140.421       18802.476
       10195.249      18756.7      140.164       18756.708
       10196.335      18680.7      139.905       18680.731
       10197.421      18674.2      139.565       18674.190
       10198.507      18706.3      139.776       18706.270
       10199.593      18830.6      140.258       18830.609
       10200.679      18804.6      139.993       18804.598
       10201.765      18937.8      140.522       18937.761
       10202.851      18844.3      140.223       18844.253
       10203.937      18859.6      140.473       18859.604
       10205.023      18792.9      140.350       18792.897
       10206.109      18645.6      139.615       18645.633
       10207.195      18836.7      140.437       18836.743
       10208.281      18789.8      140.316       18789.836
       10209.367      18745.2      139.842       18745.168
       10210.452      18711.6      139.889       18711.621
       10211.538      18804.3      140.733       18804.272
       10212.624      18831.7      141.123       18831.705
       10213.710      18787.4      140.636       18787.375
       10214.796      18775.6      140.281       18775.579
       10215.882      18559.8      139.450       18559.798
       10216.968      18652.6      139.580       18652.571
       10218.054      18665.0      139.578       18665.011
       10219.140      18898.7      140.357       18898.674
       10220.226      18664.1      139.685       18664.085
       10221.312      18665.4      139.530       18665.405
       10222.398      18932.9      140.541       18932.854
       10223.484      18899.5      140.364       18899.515
       10224.570      18874.3      140.368       18874.252
       10225.656      18936.3      140.641       18936.350
       10226.742      18946.3      140.819       18946.261
       10227.828      18774.2      140.504       18774.163
       10228.914      18818.3      140.361       18818.279
       10230.000      18964.1      140.940       18964.145
       10231.086      18699.0      140.002       18699.028
       10232.172      18967.6      140.817       18967.599
       10233.258      19010.0      140.945       19010.017
       10234.344      19008.5      140.936       19008.520
       10235.430      18812.0      140.201       18812.015
       10236.516      18809.3      140.202       18809.321
       10237.602      18705.3      139.547       18705.265
       10238.688      18685.5      139.421       18685.488
       10239.774      18438.6      138.618       18438.598
       10240.860      18762.6      139.925       18762.615
       10241.946      18776.5      139.803       18776.501
       10243.032      18833.6      140.004       18833.611
       10244.118      18722.5      139.750       18722.522
       10245.204      18862.1      140.310       18862.095
       10246.290      18549.0      139.105       18549.018
       10247.376      18065.2      137.442       18065.196
       10248.462      18476.3      138.827       18476.308
       10249.548      18759.8      139.848       18759.803
       10250.633      18826.0      140.116       18826.041
       10251.719      18213.9      137.897       18213.864
       10252.805      18282.3      138.207       18282.307
       10253.891      18707.0      139.623       18707.002
       10254.977      18717.3      139.779       18717.253
       10256.063      18493.6      138.975       18493.563
       10257.149      18672.0      139.666       18671.996
       10258.235      18710.0      139.635       18710.048
       10259.321      18511.7      139.442       18511.714
       10260.407      18534.2      139.624       18534.177
       10261.493      18448.6      138.879       18448.603
       10262.579      18513.3      138.936       18513.267
       10263.665      18716.2      139.882       18716.190
       10264.751      18680.8      139.634       18680.765
       10265.837      18683.2      139.635       18683.242
       10266.923      18492.1      138.987       18492.095
       10268.009      18730.3      139.849       18730.292
       10269.095      18587.8      139.296       18587.811
       10270.181      18447.2      138.936       18447.154
       10271.267      18789.3      140.142       18789.319
       10272.353      18653.3      139.695       18653.339
       10273.439      18523.2      139.201       18523.169
       10274.525      18600.8      139.207       18600.811
       10275.611      18410.0      138.662       18409.982
       10276.697      18298.6      138.250       18298.612
       10277.783      18419.2      138.706       18419.169
       10278.869      18642.6      139.294       18642.560
       10279.955      18509.8      138.947       18509.844
       10281.041      18384.6      138.627       18384.553
       10282.127      18259.6      138.148       18259.623
       10283.213      18624.3      139.482       18624.342
       10284.299      18628.3      139.436       18628.311
       10285.385      18465.6      138.897       18465.649
       10286.471      18407.5      139.251       18407.467
       10287.557      18422.5      140.328       18422.500
       10288.643      18373.7      139.911       18373.676
       10289.729      18300.1      139.630       18300.080
       10290.814      18311.7      139.666       18311.654
       10291.900      18487.2      139.801       18487.164
       10292.986      18440.4      138.943       18440.418
       10294.072      18349.1      138.562       18349.113
       10295.158      18419.6      138.928       18419.589
       10296.244      18363.8      138.886       18363.749
       10297.330      18316.9      138.952       18316.947
       10298.416      18246.8      138.532       18246.798
       10299.502      18141.0      138.133       18141.014
       10300.588      18240.5      138.493       18240.468
       10301.674      18322.4      138.725       18322.433
       10302.760      18148.1      137.901       18148.123
       10303.846      18311.1      138.451       18311.134
       10304.932      18338.6      138.448       18338.632
       10306.018      18405.0      138.714       18404.973
       10307.104      18206.7      137.980       18206.715
       10308.190      18419.4      138.744       18419.380
       10309.276      18365.4      138.607       18365.421
       10310.362      18496.8      138.826       18496.787
       10311.448      18391.6      138.693       18391.625
       10312.534      18459.7      138.828       18459.697
       10313.620      18190.7      138.080       18190.693
       10314.706      18390.5      138.643       18390.530
       10315.792      18338.0      138.445       18337.999
       10316.878      18343.3      138.430       18343.332
       10317.964      18403.4      138.588       18403.382
       10319.050      18386.4      138.504       18386.447
       10320.136      18201.6      137.816       18201.562
       10321.222      18245.7      137.908       18245.737
       10322.308      18306.2      138.221       18306.191
       10323.394      18334.8      138.420       18334.772
       10324.480      18294.7      138.153       18294.747
       10325.566      18310.0      138.267       18310.025
       10326.652      18366.0      138.613       18366.014
       10327.738      18309.2      138.239       18309.214
       10328.824      18242.6      138.033       18242.619
       10329.910      17978.7      136.991       17978.691
       10330.995      17964.6      136.852       17964.627
       10332.081      18291.0      138.210       18290.985
       10333.167      18391.3      138.412       18391.277
       10334.253      18347.3      138.275       18347.329
       10335.339      18372.1      138.588       18372.052
       10336.425      18445.8      138.758       18445.829
       10337.511      18302.4      138.154       18302.375
       10338.597      18377.6      138.420       18377.612
       10339.683      18155.4      137.473       18155.449
       10340.769      18284.2      138.012       18284.212
       10341.855      18195.2      137.980       18195.173
       10342.941      18247.1      137.891       18247.089
       10344.027      18293.5      138.111       18293.489
       10345.113      18414.0      138.657       18414.041
       10346.199      18366.7      138.460       18366.699
       10347.285      18555.9      139.286       18555.890
       10348.371      18539.5      139.426       18539.460
       10349.457      18458.1      139.285       18458.136
       10350.543      18467.5      139.167       18467.460
       10351.629      18554.6      139.566       18554.616
       10352.715      18336.0      138.537       18336.001
