            ID         z             Ha        Ha_err          NII_1     NII_1_err          NII_2     NII_2_err          SII_1      SII_1_err          SII_2      SII_2_err        OII3727    OII3727_err             Hb         Hb_err       OIII4959   OIII4959_err       OIII5007   OIII5007_err   ew_Ha   ew_Hb 
    p2_1622127   0.60590   2.619265e-17  1.137783e-18  -9.990000e+02  2.125988e-18  -9.990000e+02  1.149693e-18   2.672664e-18   6.715426e-19   5.844535e-18   1.042559e-18  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02    23.8  -999.0 
    p2_1624962   0.59800   1.098851e-16  3.715992e-18  -9.990000e+02  1.162318e-17  -9.990000e+02  8.036263e-18  -9.990000e+02   1.071420e-17  -9.990000e+02   1.157931e-17  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02   181.9  -999.0 
    p2_1626319   0.57500  -9.990000e+02  2.062604e-19  -9.990000e+02  3.475264e-19  -9.990000e+02  6.035968e-19  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02     1.1  -999.0 
    p2_1638034   0.52200  -9.990000e+02  4.026042e-17  -9.990000e+02  1.413652e-16  -9.990000e+02  1.326324e-16  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02    12.2  -999.0 
    p3_1633026   0.66686   3.169141e-17  1.753338e-18   5.791354e-18  9.217743e-19  -9.990000e+02  1.015555e-17  -9.990000e+02   2.867709e-18  -9.990000e+02   0.000000e+00  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02    29.5  -999.0 
    p3_1633440   0.61520   4.148878e-17  8.970617e-19   4.475773e-18  1.310758e-18   5.752568e-18  9.725783e-19  -9.990000e+02   3.417390e-18   3.605990e-18   1.020656e-18  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02    39.0  -999.0 
    p4_1629143   0.57800  -9.990000e+02  3.184222e-17  -9.990000e+02  2.033757e-17  -9.990000e+02  1.680760e-17  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02    22.5  -999.0 
    p4_1629865   0.60110   4.137708e-17  1.767836e-18  -9.990000e+02  1.012973e-18   7.887697e-18  8.780338e-19   1.665749e-17   3.596522e-18   1.033257e-17   2.306573e-18  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02    27.8  -999.0 
    p1_1629840   0.66212   2.123495e-17  5.865122e-19  -9.990000e+02  6.157813e-19  -9.990000e+02  5.753949e-19   4.574629e-18   1.149591e-18   1.232812e-18   3.929049e-19  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02   100.2  -999.0 
    p1_1632861   0.68040  -9.990000e+02  5.977474e-18  -9.990000e+02  1.333213e-17  -9.990000e+02  6.160423e-18  -9.990000e+02  -9.990000e+02  -9.990000e+02  -9.990000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02    19.5  -999.0 
    p1_1633136   0.68247   1.492396e-17  4.888403e-19  -9.990000e+02  8.196280e-19  -9.990000e+02  1.152350e-18  -9.990000e+02  -9.990000e+02  -9.990000e+02  -9.990000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02    74.0  -999.0 
    p1_1633414   0.66190   7.247345e-16  6.253679e-18  -9.990000e+02  6.430224e-18   3.073506e-17  3.619971e-18   5.468757e-17   7.290259e-18   3.558457e-17   4.763205e-18  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02   837.2  -999.0 
    p1_1665077   0.67400  -9.990000e+02  6.371073e-19  -9.990000e+02  5.214922e-19  -9.990000e+02  6.670095e-19  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02     1.4  -999.0 
    p2_1633625   0.53293  -9.990000e+02  1.189259e-18  -9.990000e+02  8.414232e-19  -9.990000e+02  8.299013e-19  -9.990000e+02   2.976621e-18  -9.990000e+02   8.870777e-19  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02    21.7  -999.0 
    p2_1658695   0.59700  -9.990000e+02  6.698505e-17  -9.990000e+02  2.090568e-16  -9.990000e+02  1.590477e-16  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02    26.2  -999.0 
    p2_1660928   0.59000  -9.990000e+02  8.986477e-19  -9.990000e+02  8.614940e-19  -9.990000e+02  2.909335e-18  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02     4.7  -999.0 
    p2_1665409   0.52500  -9.990000e+02  4.297982e-18  -9.990000e+02  1.992098e-18  -9.990000e+02  2.202915e-18  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02  -9.990000e+02  -1.110000e+02    13.9  -999.0 
