            ID            Hb        Hb_err   ew_Hb       OII3727   OII3727_err      OIII4363  OIII4363_err      OIII4959  OIII4959_err      OIII5007  OIII5007_err 
     stack_all  2.081344e-16  2.628046e-18    25.5  5.611496e-16  3.778350e-18  9.796961e-18  2.089432e-18  2.628699e-16  2.264358e-18  7.842086e-16  2.354867e-18 
   stack_lower  1.608274e-16  2.314996e-18    30.6  4.177664e-16  3.150869e-18  6.617858e-18  1.742588e-18  2.177820e-16  1.782894e-18  6.540588e-16  2.110860e-18 
