      9750.00    0.0620172     0.249032
      9751.09    0.0645181     0.254004
      9752.17    0.0318028     0.178334
      9753.26   -0.0187747     0.234198
      9754.34    0.0413502     0.203347
      9755.43    0.0363977     0.190782
      9756.52   0.00796007    0.0892192
      9757.60    0.0854438     0.292308
      9758.69   -0.0107086     0.234198
      9759.77   -0.0119309     0.234198
      9760.86    0.0324476     0.180132
      9761.95    0.0614289     0.247849
      9763.03   -0.0312261     0.234198
      9764.12    0.0194743     0.139550
      9765.20    0.0407103     0.201768
      9766.29    0.0547495     0.233986
      9767.38    0.0402476     0.200618
      9768.46   0.00675133    0.0821665
      9769.55 -0.000356728     0.234198
      9770.63   -0.0114962     0.234198
      9771.72    0.0575913     0.239982
      9772.81     0.279692     0.528859
      9773.89     0.110882     0.332989
      9774.98    0.0322946     0.179707
      9776.06   -0.0107206     0.234198
      9777.15   0.00238949    0.0488825
      9778.24    0.0521891     0.228449
      9779.32    0.0441694     0.210165
      9780.41    0.0353782     0.188091
      9781.49    0.0171218     0.130850
      9782.58    0.0764668     0.276526
      9783.67   0.00855822    0.0925107
      9784.75    0.0157460     0.125483
      9785.84    0.0236315     0.153725
      9786.92    0.0403937     0.200982
      9788.01    0.0405315     0.201324
      9789.09    0.0522432     0.228568
      9790.18    0.0397701     0.199424
      9791.27   0.00590331    0.0768330
      9792.35    0.0871331     0.295183
      9793.44   -0.0243372     0.234198
      9794.52     0.141536     0.376212
      9795.61    0.0722221     0.268742
      9796.70    0.0457795     0.213961
      9797.78  -0.00829145     0.234198
      9798.87  -0.00288793     0.234198
      9799.96  -0.00240082     0.234198
      9801.04   0.00957734    0.0978639
      9802.13    0.0951418     0.308451
      9803.21    0.0366494     0.191440
      9804.30   -0.0368383     0.234198
      9805.38   -0.0114731     0.234198
      9806.47    0.0696017     0.263821
      9807.56    0.0232854     0.152595
      9808.64    0.0160459     0.126672
      9809.73    0.0677883     0.260362
      9810.81    0.0877303     0.296193
      9811.90    0.0339758     0.184325
      9812.99    0.0258109     0.160658
      9814.07   -0.0194913     0.234198
      9815.16    0.0264236     0.162553
      9816.24    0.0809466     0.284511
      9817.33    0.0565881     0.237883
      9818.42    0.0794135     0.281804
      9819.50    0.0141910     0.119126
      9820.59    0.0175960     0.132650
      9821.67    0.0769699     0.277435
      9822.76    0.0513393     0.226582
      9823.85    0.0268185     0.163764
      9824.93    0.0560666     0.236784
      9826.02    0.0328141     0.181147
